AviList.v1.2025,ESI,HB,DB
Andropadus importunus,1,5,2
Stelgidillas gracilirostris,0.677780705,7,3
Calyptocichla serinus,1.045757491,3,3
Neolestes torquatus,1,5,2
Bleda syndactylus,0.920818754,4,3
Bleda eximius,1.22184875,3,2
Bleda canicapillus,0.677780705,7,3
Bleda notatus,1.22184875,2,3
Bleda ugandae,1.522878745,1,3
Atimastillas flavicollis,0.920818754,6,2
Atimastillas flavigula,1,5,2
Ixonotus guttatus,1,5,2
Thescelocichla leucopleura,0.920818754,6,2
Chlorocichla laetissima,1.397940009,2,2
Chlorocichla prigoginei,1.22184875,3,2
Chlorocichla falkensteini,1.22184875,3,2
Chlorocichla flaviventris,0.795880017,4,4
Chlorocichla simplex,0.744727495,6,3
Baeopogon indicator,1.096910013,4,2
Baeopogon clamans,1.22184875,3,2
Arizelocichla montana,1.22184875,2,3
Arizelocichla tephrolaema,1.397940009,2,2
Arizelocichla masukuensis,1.22184875,3,2
Arizelocichla neumanni,1.698970004,1,2
Arizelocichla fusciceps,1.22184875,3,2
Arizelocichla chlorigula,1.698970004,1,2
Arizelocichla kikuyuensis,0.920818754,4,3
Arizelocichla nigriceps,0.920818754,4,3
Arizelocichla striifacies,1.22184875,3,2
Arizelocichla milanjensis,1.096910013,4,2
Criniger barbatus,1.045757491,3,3
Criniger chloronotus,1.698970004,1,2
Criniger calurus,0.920818754,3,4
Criniger ndussumensis,1.698970004,1,2
Criniger olivaceus,1.698970004,1,2
Eurillas virens,0.853871964,7,2
Eurillas latirostris,0.823908741,5,3
Eurillas curvirostris,1.045757491,3,3
Eurillas gracilis,0.744727495,6,3
Eurillas ansorgei,0.920818754,4,3
Phyllastrephus debilis,1.522878745,3,1
Phyllastrephus albigula,2,1,1
Phyllastrephus albigularis,1.397940009,2,2
Phyllastrephus viridiceps,1.698970004,2,1
Phyllastrephus xavieri,1.045757491,3,3
Phyllastrephus icterinus,1.045757491,3,3
Phyllastrephus terrestris,0.795880017,4,4
Phyllastrephus poensis,1.397940009,2,2
Phyllastrephus strepitans,1.096910013,4,2
Phyllastrephus cerviniventris,1.096910013,4,2
Phyllastrephus fischeri,1.698970004,2,1
Phyllastrephus cabanisi,1.22184875,3,2
Phyllastrephus scandens,0.744727495,6,3
Phyllastrephus lorenzi,2,1,1
Phyllastrephus flavostriatus,1.096910013,4,2
Phyllastrephus poliocephalus,2,1,1
Phyllastrephus hypochloris,1.096910013,4,2
Phyllastrephus baumanni,1.22184875,3,2
Phyllastrephus fulviventris,1.301029996,5,1
Tricholestes criniger,1.698970004,1,2
Setornis criniger,1.397940009,2,2
Alophoixus phaeocephalus,1.698970004,1,2
Alophoixus frater,1.698970004,1,2
