X,Avibase.ID,AviList,Species1_BirdLife,Species2_eBird,eBird.species.group,Species3_BirdTree,Data.type,Source,Specimen.number,Sex,Age,Locality,Country_WRI,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Measurer,Protocol,Publication,Date.collected,Gape_Width,Subspecies,Comments,Mass,Lat,Lon,Locality_Corrected
1,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,1916.9.20.596,F,0,NA,Sri Lanka,NA,18.4,11.3,4.4,4.5,18,85,16,69,18.8,70,PW,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,1940.12.3.44,F,0,NA,Sri Lanka,NA,19.8,12.2,4.8,4.5,18.8,83,12.9,70.1,15.5,71,PW,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,1940.12.3.45,F,0,NA,Sri Lanka,NA,19.6,11.6,4.4,4.3,17.8,82,12.3,69.7,15,71,PW,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,1949.Whl.1.14407,M,0,NA,India,NA,19,13,5.6,5.2,19,88,16,72,18.2,85,NJTA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,86.9.1.1581,M,0,NA,India,NA,20.6,12.4,4.6,4.8,19.7,88,13.1,74.9,14.9,100,CS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,86.9.1.1583,F,0,NA,India,NA,19.9,11.8,4.8,4.8,17.2,88,12.7,75.3,14.4,77,PW,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,86.9.1.1584,M,0,NA,India,NA,21.7,13,4.8,5.3,19.3,98,15.5,82.5,15.8,86,NJTA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,86.9.1.1588,M,0,NA,India,NA,19.8,12,4.8,4.8,18.2,92,13.4,78.6,14.6,86,CS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,86.9.1.1589,F,0,NA,India,NA,19.5,11.7,4.4,4.9,16.9,88,12.3,75.7,14,83,CS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,86.9.1.1591,F,0,NA,India,NA,19.4,11.5,5.3,4.7,19,84,13.5,70.5,16.1,74,PW,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,88.4.1.478,F,0,NA,India,NA,20.7,11.7,4.5,5.1,18.8,90,13.4,76.6,14.9,86,CS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,88.4.1.488,F,0,NA,Sri Lanka,NA,20.1,12,4.8,5,17.1,85,13.6,71.4,16,72,PW,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,AVIBASE-36D71C61,Acritillas indica,Acritillas indica,Iole indica,Iole indica,Iole indica,1,NHMUK,86.9.1.1582,M,0,NA,NA,NA,22.2,NA,4.7,5.3,17.4,96,NA,NA,NA,89,GT,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,AVIBASE-AF1E4A9B,Alcurus striatus,Alcurus striatus,Pycnonotus striatus,Pycnonotus striatus,Pycnonotus striatus,1,NHMUK,1921.7.12.977,M,0,NA,India,NA,20.6,10.3,4.1,5.5,18.4,107,23.2,83.8,21.7,108,CV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,AVIBASE-AF1E4A9B,Alcurus striatus,Alcurus striatus,Pycnonotus striatus,Pycnonotus striatus,Pycnonotus striatus,1,NHMUK,1935.4.5.624,F,0,NA,Bhutan,NA,19.6,9.8,4.3,5.2,17.3,102,20.6,81.4,20.2,95,CV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,AVIBASE-AF1E4A9B,Alcurus striatus,Alcurus striatus,Pycnonotus striatus,Pycnonotus striatus,Pycnonotus striatus,1,NHMUK,1937.1.17.350,F,0,NA,Bhutan,NA,18.9,9.8,4,5,16.6,101,22.9,78.1,22.7,93,CV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,AVIBASE-AF1E4A9B,Alcurus striatus,Alcurus striatus,Pycnonotus striatus,Pycnonotus striatus,Pycnonotus striatus,1,NHMUK,1949.Whi.1.14514,M,0,NA,India,NA,18.9,10.1,4.3,5.1,19.5,101,24.7,76.3,24.5,88,CV,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,AVIBASE-AF1E4A9B,Alcurus striatus,Alcurus striatus,Pycnonotus striatus,Pycnonotus striatus,Pycnonotus striatus,1,MMUM,2846,U,0,NA,NA,NA,20.2,NA,4.7,5.5,19.1,112,NA,NA,NA,100,GT,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,AVIBASE-AE002A11,Alophoixus bres,Alophoixus bres,Alophoixus bres,Alophoixus bres,Alophoixus bres,1,NHMUK,73.5.12.130,M,0,NA,Indonesia,NA,20.6,NA,4.7,6.5,19.6,100,NA,NA,NA,90,GT,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,1921.7.12.988,F,0,NA,India,NA,19.9,11.6,4.2,6.1,20.9,104,16.4,87.6,15.8,93,CS,1,NA,NA,NA,NA,NA,NA,27.031651,88.260273,"Sukna, Darjeeling"
21,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,1935.4.5.622,F,0,NA,Bhutan,NA,20.9,12,5.4,7.6,21.4,98,16.4,81.7,16.7,88.5,CS,1,NA,NA,NA,NA,NA,NA,26.866667,91.466667,Dewangiri on Bhutan-Assam frontier
22,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,1937.1.17.349,F,0,NA,Bhutan,NA,19.7,11.5,6.1,7.3,18.5,104,18.1,85.9,17.4,96,ECJ,1,NA,NA,NA,NA,NA,NA,26.866667,91.466667,"Dewangiri, Bhutan-Assam frontier"
23,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,1949.1.14398,M,0,NA,India,NA,21.6,13.3,5.1,7.4,20.9,101,15.9,85.1,15.7,93,CS,1,NA,NA,NA,NA,NA,NA,26.831542,88.800611,"Dooars, Bengal"
24,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,86.9.1.1423,M,0,NA,India,NA,20.3,12,6,7.2,18.5,105.5,17.3,88.2,16.4,89,ECJ,1,NA,NA,NA,NA,NA,NA,27.489746,94.912796,Dibrugarh
25,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,86.9.1.1434,M,0,NA,India,NA,19.8,11.3,6.1,6.9,19.5,96,17,79,17.7,79,ECJ,1,NA,NA,NA,NA,NA,NA,24.75,93.833333,Manipur
26,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,86.9.1.1442,M,0,NA,India,NA,20.2,10.7,4.7,6.7,22.5,96,15.4,80.6,16,90,CS,1,NA,NA,NA,NA,NA,NA,23.75,91.733333,Tripura
27,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,95.7.14.1240,M,0,NA,NA,NA,21.6,NA,5.6,7.6,19,102,NA,NA,NA,92,GT,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,AVIBASE-D02FCDDF,Alophoixus pallidus,Alophoixus griseiceps,Alophoixus pallidus,Alophoixus pallidus griseiceps,Alophoixus pallidus,1,NHMUK,1948.80.14.4,M,0,NA,Myanmar,NA,19.7,NA,5.3,7,18.6,92,NA,NA,NA,100,GT,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,AVIBASE-2BC35886,Alophoixus ochraceus,Alophoixus ochraceus,Alophoixus ochraceus,Alophoixus ochraceus,Alophoixus ochraceus,1,NHMUK,86.9.1.1516,F,0,NA,Myanmar,NA,21.3,13.2,5,6.8,20.9,94.5,17.8,76.7,18.8,92,CS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,AVIBASE-2BC35886,Alophoixus ochraceus,Alophoixus ochraceus,Alophoixus ochraceus,Alophoixus ochraceus,Alophoixus ochraceus,1,NHMUK,86.9.1.1517,M,0,NA,Myanmar,NA,20.3,12.4,5.2,7.3,21.2,102.5,14.9,87.6,14.5,97,CS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
