X,Avibase.ID,AviList,Species1_BirdLife,Species2_eBird,eBird.species.group,Species3_BirdTree,Data.type,Source,Specimen.number,Sex,Age,Locality,Country_WRI,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Measurer,Protocol,Publication,Date.collected,Gape_Width,Subspecies,Comments,Mass,Lat,Lon,Locality_Corrected
1,AVIBASE-10F913B3,Spizixos canifrons,Spizixos canifrons,Spizixos canifrons,Spizixos canifrons,Spizixos canifrons,1,BNHS,1984,M,0,Pan Thabat,Myanmar,Myanmar,15.13,9.15,5.83,7.36,19.23,97.06,NA,NA,NA,83.11,ER,1,NA,46020,8.57,NA,NA,NA,23.829409,94.557365,NA
2,AVIBASE-10F913B3,Spizixos canifrons,Spizixos canifrons,Spizixos canifrons,Spizixos canifrons,Spizixos canifrons,1,BNHS,1986,U,0,Pimri Bau,India,India,16.14,8.67,6.23,7.35,19.34,95,NA,NA,NA,90,ER,1,NA,46020,9.21,NA,NA,NA,24.545258,93.770001,NA
3,AVIBASE-C72EC8C8,Microtarsus melanocephalos,Brachypodius atriceps,Brachypodius melanocephalos,Brachypodius melanocephalos,Pycnonotus atriceps,1,BNHS,1005,M,0,S.Andaman,India,India,15.61,9.13,4.49,4.57,NA,81.07,NA,NA,NA,63,ER,1,NA,46020,NA,NA,Gape glued shut,NA,12,92.75,NA
4,AVIBASE-C72EC8C8,Microtarsus melanocephalos,Brachypodius atriceps,Brachypodius melanocephalos,Brachypodius melanocephalos,Pycnonotus atriceps,1,BNHS,22074,F,0,S.Andaman,India,India,15.95,9.04,4.28,4.74,NA,78,NA,NA,NA,63.5,ER,1,NA,46020,7.14,NA,"Tarsus locked, can't measure",NA,11.828766,92.655372,NA
5,AVIBASE-C72EC8C8,Microtarsus melanocephalos,Brachypodius atriceps,Brachypodius melanocephalos,Brachypodius melanocephalos,Pycnonotus atriceps,1,BNHS,23322,F,0,S.Andaman,India,India,16.19,9.14,4.09,4.75,15.8,82.76,NA,NA,NA,65,ER,1,NA,46020,7.88,NA,NA,NA,11.828766,92.655372,NA
6,AVIBASE-C72EC8C8,Microtarsus melanocephalos,Brachypodius atriceps,Brachypodius melanocephalos,Brachypodius melanocephalos,Pycnonotus atriceps,1,BNHS,25889,M,0,S.Andaman,India,India,16.59,10.11,4.41,4.9,NA,83.2,NA,NA,NA,66,ER,1,NA,46020,8.24,NA,NA,NA,11.828766,92.655372,NA
7,AVIBASE-C72EC8C8,Microtarsus melanocephalos,Brachypodius atriceps,Brachypodius melanocephalos,Brachypodius melanocephalos,Pycnonotus atriceps,1,BNHS,22075,F,0,M.Andaman,India,India,16.31,10.17,4.51,5.07,15.92,80,NA,NA,NA,65,ER,1,NA,46020,7.92,NA,Tarsus hard to measure,NA,12.559671,92.816115,NA
8,AVIBASE-C72EC8C8,Microtarsus melanocephalos,Brachypodius atriceps,Brachypodius melanocephalos,Brachypodius melanocephalos,Pycnonotus atriceps,1,BNHS,22077,M,0,Port Blair,India,India,16.45,9.46,4.19,4.7,16.13,79,NA,NA,NA,67,ER,1,NA,46020,8.37,NA,NA,NA,11.658093,92.730345,NA
9,AVIBASE-C72EC8C8,Microtarsus melanocephalos,Brachypodius atriceps,Brachypodius melanocephalos,Brachypodius melanocephalos,Pycnonotus atriceps,1,BNHS,22076,M,0,M.Andaman,India,India,16.75,9.78,4.74,4.72,15.22,78,NA,NA,NA,62.5,ER,1,NA,46020,8.25,NA,NA,NA,12.559671,92.816115,NA
10,AVIBASE-C72EC8C8,Microtarsus melanocephalos,Brachypodius atriceps,Brachypodius melanocephalos,Brachypodius melanocephalos,Pycnonotus atriceps,1,BNHS,2089,M,0,S.Sylhet,India,India,16.56,9.15,4.31,4.65,14.72,85,NA,NA,NA,70,ER,1,NA,46020,7.21,NA,NA,NA,24.604022,91.938925,NA
