X,Var1,Freq
1,Hypsipetes affinis,4
2,Hypsipetes aureus,1
3,Alophoixus bres,1
4,Hypsipetes chloris,1
5,Iole finschii,4
6,Alophoixus flaveolus,8
7,Alophoixus frater,0
8,Hypsipetes longirostris,5
9,Hypsipetes lucasi,0
10,Hypsipetes mysticalis,4
11,Alophoixus ochraceus,5
12,Alophoixus pallidus,5
13,Alophoixus phaeocephalus,12
14,Hypsipetes platenae,0
15,Alophoixus ruficrissus,0
16,Alophoixus tephrogenys,5
17,Andropadus importunus,12
18,Arizelocichla chlorigula,4
19,Arizelocichla fusciceps,4
20,Arizelocichla masukuensis,34
21,Arizelocichla milanjensis,31
22,Arizelocichla montana,5
23,Arizelocichla neumanni,4
24,Arizelocichla nigriceps,20
25,Arizelocichla tephrolaema,5
26,Atimastillas flavicollis,9
27,Baeopogon clamans,4
28,Baeopogon indicator,8
29,Bleda canicapillus,19
30,Bleda eximius,4
31,Bleda notatus,9
32,Bleda syndactylus,7
33,Microtarsus eutilotus,6
34,Microtarsus fuscoflavescens,4
35,Microtarsus melanocephalos,5
36,Microtarsus melanoleucos,5
37,Microtarsus priocephalus,5
38,Microtarsus urostictus,5
39,Calyptocichla serinus,5
40,Chlorocichla falkensteini,5
41,Chlorocichla flaviventris,21
42,Chlorocichla laetissima,7
43,Chlorocichla prigoginei,0
44,Chlorocichla simplex,7
45,Criniger barbatus,14
46,Criniger calurus,16
47,Criniger chloronotus,10
48,Criniger ndussumensis,7
49,Criniger olivaceus,5
50,Eurillas ansorgei,6
51,Eurillas curvirostris,15
52,Eurillas gracilis,11
53,Eurillas latirostris,8
54,Eurillas virens,91
55,Hemixos castanonotus,4
56,Hemixos cinereus,5
57,Hemixos flavala,5
58,Hypsipetes amaurotis,5
59,Hypsipetes borbonicus,4
60,Hypsipetes crassirostris,5
61,Hypsipetes everetti,7
62,Hypsipetes ganeesa,4
63,Hypsipetes leucocephalus,8
64,Hypsipetes madagascariensis,5
65,Hypsipetes moheliensis,0
66,Hypsipetes nicobariensis,5
67,Hypsipetes olivaceus,5
68,Hypsipetes parvirostris,3
69,Hypsipetes philippinus,5
70,Hypsipetes rufigularis,5
71,Hypsipetes siquijorensis,2
72,Hypsipetes thompsoni,4
73,Iole charlottae,5
74,Iole crypta,1
75,Acritillas indica,13
76,Iole palawanensis,5
77,Iole propinqua,5
78,Iole viridescens,1
79,Ixonotus guttatus,5
80,Ixos malaccensis,5
81,Ixos mcclellandii,4
82,Ixos virescens,9
83,Neolestes torquatus,4
84,Nok hualon,1
85,Phyllastrephus albigula,21
86,Phyllastrephus albigularis,13
87,Phyllastrephus baumanni,5
88,Phyllastrephus cabanisi,63
89,Phyllastrephus cerviniventris,5
90,Phyllastrephus debilis,5
91,Phyllastrephus fischeri,9
92,Phyllastrephus flavostriatus,15
93,Phyllastrephus fulviventris,5
94,Phyllastrephus hypochloris,5
95,Phyllastrephus icterinus,24
96,Phyllastrephus lorenzi,0
97,Phyllastrephus poensis,11
98,Phyllastrephus poliocephalus,5
99,Phyllastrephus scandens,5
100,Phyllastrephus strepitans,9
101,Phyllastrephus terrestris,5
102,Phyllastrephus xavieri,7
103,Pycnonotus aurigaster,15
104,Pycnonotus barbatus,44
105,Pycnonotus bimaculatus,4
106,Pycnonotus blanfordi,5
107,Pycnonotus brunneus,5
108,Pycnonotus cafer,12
109,Pycnonotus capensis,4
110,Pycnonotus cinereifrons,0
111,Pycnonotus finlaysoni,6
112,Pycnonotus flavescens,6
113,Pycnonotus goiavier,6
114,Pycnonotus jocosus,9
115,Pycnonotus leucogenys,5
116,Ixos leucogrammicus,4
117,Pycnonotus leucotis,5
118,Pycnonotus luteolus,4
119,Microtarsus nieuwenhuisii,2
120,Pycnonotus nigricans,5
121,Pycnonotus penicillatus,4
122,Pycnonotus plumosus,7
123,Pycnonotus pseudosimplex,0
124,Pycnonotus simplex,7
125,Pycnonotus sinensis,10
126,Pycnonotus snouckaerti,0
127,Alcurus striatus,5
128,Pycnonotus taivanus,2
129,Pycnonotus tympanistrigus,2
130,Pycnonotus xantholaemus,4
131,Pycnonotus xanthopygos,9
132,Pycnonotus xanthorrhous,5
133,Pycnonotus zeylanicus,5
134,Rubigula cyaniventris,7
135,Rubigula dispar,4
136,Rubigula erythropthalmos,8
137,Rubigula flaviventris,6
138,Rubigula gularis,4
139,Rubigula melanictera,5
140,Rubigula montis,4
141,Rubigula squamata,5
142,Setornis criniger,5
143,Spizixos canifrons,4
144,Spizixos semitorques,8
145,Stelgidillas gracilirostris,12
146,Thescelocichla leucopleura,4
147,Tricholestes criniger,10
NA,Arizelocichla kikuyuensis,0
NA,Arizelocichla striifacies,0
NA,Atimastillas flavigula,0
NA,Bleda ugandae,0
NA,Hypsipetes catarmanensis,0
NA,Hypsipetes guimarasensis,0
NA,Hypsipetes harterti,0
NA,Hypsipetes mindorensis,0
NA,Iole cacharensis,0
NA,Ixos sumatranus,0
NA,Phyllastrephus viridiceps,0
NA,Pycnonotus conradi,0
NA,Pycnonotus davisoni,0
NA,Pycnonotus leucops,0
