"","AviList","Specimen_Count"
"1","Bleda ugandae",5
"2","Chlorocichla prigoginei",1
"3","Hypsipetes aureus",0
"4","Hypsipetes borbonicus",4
"5","Hypsipetes catarmanensis",0
"6","Hypsipetes guimarasensis",9
"7","Hypsipetes harterti",0
"8","Hypsipetes longirostris",6
"9","Hypsipetes lucasi",8
"10","Hypsipetes mindorensis",7
"11","Hypsipetes moheliensis",0
"12","Hypsipetes olivaceus",5
"13","Hypsipetes parvirostris",7
"14","Hypsipetes platenae",0
"15","Hypsipetes siquijorensis",2
"16","Hypsipetes thompsoni",8
"17","Iole cacharensis",8
"18","Ixos leucogrammicus",4
"19","Ixos sumatranus",7
"20","Microtarsus nieuwenhuisii",1
"21","Nok hualon",1
"22","Phyllastrephus hypochloris",8
"23","Phyllastrephus lorenzi",1
"24","Phyllastrephus viridiceps",0
"25","Pycnonotus leucops",7
"26","Pycnonotus pseudosimplex",1
"27","Pycnonotus snouckaerti",0
"28","Pycnonotus taivanus",3
"29","Pycnonotus tympanistrigus",2
"30","Pycnonotus xantholaemus",9
"31","Rubigula erythropthalmos",8
