,Scientific.name.x,Common.name,area_square_miles,Estimate,Lower,Upper,Order.x,Family.x,X95..Lower.CI.x,Abundance.estimate.x,X95..Upper.CI.x,Range.adjusted.x,Training.species.x,Scientific.name.y,Order.y,Family.y,X95..Lower.CI.y,Abundance.estimate.y,X95..Upper.CI.y,Range.adjusted.y,Training.species.y,X,Avibase.ID,Species2_eBird,eBird.species.group,Species3_BirdTree,Data.type,Source,Specimen.number,Sex,Age,,Locality,Country_WRI,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Measurer,Protocol,Publication,Date.collected,Gape_Width,Subspecies,Comments
1,Alophoixus flaveolus,White-throated Bulbul,216131.0688,NA,NA,NA,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,Alophoixus flaveolus,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,27,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,95.7.14.1240,M,0,,NA,NA,NA,21.6,NA,5.6,7.6,19,102,NA,NA,NA,92,GT,0,NA,NA,NA,NA,NA
2,Alophoixus flaveolus,White-throated Bulbul,216131.0688,NA,NA,NA,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,Alophoixus flaveolus,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,24,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,86.9.1.1423,M,0,,NA,India,NA,20.3,12,6,7.2,18.5,105.5,17.3,88.2,16.4,89,ECJ,1,NA,NA,NA,NA,NA
3,Alophoixus flaveolus,White-throated Bulbul,216131.0688,NA,NA,NA,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,Alophoixus flaveolus,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,20,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,1921.7.12.988,F,0,,NA,India,NA,19.9,11.6,4.2,6.1,20.9,104,16.4,87.6,15.8,93,CS,1,NA,NA,NA,NA,NA
4,Alophoixus flaveolus,White-throated Bulbul,216131.0688,NA,NA,NA,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,Alophoixus flaveolus,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,25,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,86.9.1.1434,M,0,,NA,India,NA,19.8,11.3,6.1,6.9,19.5,96,17,79,17.7,79,ECJ,1,NA,NA,NA,NA,NA
5,Alophoixus flaveolus,White-throated Bulbul,216131.0688,NA,NA,NA,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,Alophoixus flaveolus,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,22,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,1937.1.17.349,F,0,,NA,Bhutan,NA,19.7,11.5,6.1,7.3,18.5,104,18.1,85.9,17.4,96,ECJ,1,NA,NA,NA,NA,NA
6,Alophoixus flaveolus,White-throated Bulbul,216131.0688,NA,NA,NA,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,Alophoixus flaveolus,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,21,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,1935.4.5.622,F,0,,NA,Bhutan,NA,20.9,12,5.4,7.6,21.4,98,16.4,81.7,16.7,88.5,CS,1,NA,NA,NA,NA,NA
7,Alophoixus flaveolus,White-throated Bulbul,216131.0688,NA,NA,NA,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,Alophoixus flaveolus,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,26,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,86.9.1.1442,M,0,,NA,India,NA,20.2,10.7,4.7,6.7,22.5,96,15.4,80.6,16,90,CS,1,NA,NA,NA,NA,NA
8,Alophoixus flaveolus,White-throated Bulbul,216131.0688,NA,NA,NA,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,Alophoixus flaveolus,Passeriformes,Pycnonotidae (Bulbuls),10045,891464,79055137,TRUE,FALSE,23,AVIBASE-31754E31,Alophoixus flaveolus,Alophoixus flaveolus,Alophoixus flaveolus,1,NHMUK,1949.1.14398,M,0,,NA,India,NA,21.6,13.3,5.1,7.4,20.9,101,15.9,85.1,15.7,93,CS,1,NA,NA,NA,NA,NA
9,Alophoixus frater,Gray-throated Bulbul,5262.093173,X,X,X,Passeriformes,Pycnonotidae (Bulbuls),116,10633,940378,TRUE,FALSE,Alophoixus frater,Passeriformes,Pycnonotidae (Bulbuls),116,10633,940378,TRUE,FALSE,28,AVIBASE-50D0244D,Alophoixus frater,Alophoixus frater,Alophoixus bres,NA,,,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GAPSPECIES,NA,NA,NA,NA,NA,NA
10,Alophoixus ochraceus,Ochraceous Bulbul,157173.7686,NA,NA,NA,Passeriformes,Pycnonotidae (Bulbuls),9301,866823,76878072,TRUE,FALSE,Alophoixus ochraceus,Passeriformes,Pycnonotidae (Bulbuls),9301,866823,76878072,TRUE,FALSE,31,AVIBASE-2BC35886,Alophoixus ochraceus,Alophoixus ochraceus,Alophoixus ochraceus,1,NHMUK,86.9.1.1516,F,0,,NA,Myanmar,NA,21.3,13.2,5,6.8,20.9,94.5,17.8,76.7,18.8,92,CS,1,NA,NA,NA,NA,NA
