LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,AviList,Source,Specimen.number,n_specimens,Code
"""Bouro"" Island",Indonesia,,,NA,NA,,,,,,Hypsipetes mysticalis,Smithsonian NMNH,USNM 234106,1,NA
", 6 miles North Youchon, about 45 miles Northeast Seoul",South Korea,,,NA,NA,,,,,,Hypsipetes amaurotis,Cornell University Museum of Vertebrates,25378,1,NA
", 6 miles Southeast of Araromi, Western Nigeria",Nigeria,,,NA,NA,,,,,,Criniger calurus,Cornell University Museum of Vertebrates,29925,1,NA
", Assobam, Bumba River, elevation 2000 ft.",Cameroon,,,NA,NA,,,,,,Baeopogon indicator,Cornell University Museum of Vertebrates,13381,1,NA
", Bang Bon",Thailand,,,NA,NA,,,,,,Pycnonotus goiavier,Cornell University Museum of Vertebrates,"13420, 13419",2,NA
", Bang Nara",Thailand,,,NA,NA,,,,,,Pycnonotus plumosus,Cornell University Museum of Vertebrates,13409,1,NA
", Bangkok",Thailand,,,NA,NA,,,,,,Pycnonotus blanfordi,Cornell University Museum of Vertebrates,"13413, 13415",2,NA
", Bazilan",Philippines,,,NA,NA,,,,,,Hypsipetes philippinus,Cornell University Museum of Vertebrates,13362,1,NA
", Bitye, River Ja, elevation 2000 ft.",Cameroon,,,NA,NA,,,,,,"Baeopogon indicator, Calyptocichla serinus, Atimastillas flavicollis, Ixonotus guttatus",Cornell University Museum of Vertebrates,"13380, 13384, 13371, 13383",4,NA
", Bolyada",Sri Lanka,,,NA,NA,,,,,,Acritillas indica,Cornell University Museum of Vertebrates,13363,1,NA
", China Village, Okinawa, Ryukyu Islands",Japan,,,NA,NA,,,,,,Hypsipetes amaurotis,Cornell University Museum of Vertebrates,21398,1,NA
", Colombo",Sri Lanka,,,NA,NA,,,,,,Pycnonotus luteolus,Cornell University Museum of Vertebrates,13430,1,NA
", Colombo, Punduloya",Sri Lanka,,,NA,NA,,,,,,Pycnonotus cafer,Cornell University Museum of Vertebrates,13402,1,NA
", French Indo-China",NA,,,NA,NA,,,,,,Pycnonotus jocosus,Cornell University Museum of Vertebrates,13433,1,NA
", Game Reserve 3, Gobabeb",Namibia,,,NA,NA,,,,,,Pycnonotus nigricans,Cornell University Museum of Vertebrates,"32828, 32831",2,NA
", Game Reserve 3, Homeb",Namibia,,,NA,NA,,,,,,Pycnonotus nigricans,Cornell University Museum of Vertebrates,32834,1,NA
", Game Reserve 3, Homeb (Kuiseb River)",Namibia,,,NA,NA,,,,,,Pycnonotus nigricans,Cornell University Museum of Vertebrates,32836,1,NA
", Hua Hin; Ratchaburi",Thailand,,,NA,NA,,,,,,Pycnonotus blanfordi,Cornell University Museum of Vertebrates,13414,1,NA
", Jalapur, Cachar",India,,,NA,NA,,,,,,Rubigula flaviventris,Cornell University Museum of Vertebrates,13434,1,NA
", Kani, Lake Chindwin; Burma",Myanmar,,,NA,NA,,,,,,Pycnonotus blanfordi,Cornell University Museum of Vertebrates,13410,1,NA
", Mabera Forest, elevation 4300 ft.",Uganda,,,NA,NA,,,,,,Phyllastrephus hypochloris,Cornell University Museum of Vertebrates,13397,1,NA
", Mabira, elevation 4000 ft.",Uganda,,,NA,NA,,,,,,Baeopogon indicator,Cornell University Museum of Vertebrates,13382,1,NA
", Malabar Coast; Karnataka & Kerala",India,,,NA,NA,,,,,,Rubigula gularis,Cornell University Museum of Vertebrates,13422,1,NA
", Marabok Mountain",Brunei,,,NA,NA,,,,,,Pycnonotus zeylanicus,Cornell University Museum of Vertebrates,13374,1,NA
", Mount Apo, Mindanao",Philippines,,,NA,NA,,,,,,Pycnonotus goiavier,Cornell University Museum of Vertebrates,13417,1,NA
", N'Dalla Tando, North Angola",Angola,,,NA,NA,,,,,,"Chlorocichla falkensteini, Chlorocichla simplex",Cornell University Museum of Vertebrates,"13398, 13388",2,NA
", Naga Hills, Mokikchung, elevation 4500 ft.",India,,,NA,NA,,,,,,Hypsipetes leucocephalus,Cornell University Museum of Vertebrates,13355,1,NA
", Naga Hills, Songkam (?), elevation 5000 ft.",India,,,NA,NA,,,,,,Hypsipetes ganeesa,Cornell University Museum of Vertebrates,13356,1,NA
", Pontianak; :West Kalimantan",Indonesia,,,NA,NA,,,,,,Pycnonotus zeylanicus,Cornell University Museum of Vertebrates,13373,1,NA
", Pundaloya",Sri Lanka,,,NA,NA,,,,,,Hypsipetes ganeesa,Cornell University Museum of Vertebrates,13358,1,NA
", Punduloya",Sri Lanka,,,NA,NA,,,,,,Pycnonotus penicillatus,Cornell University Museum of Vertebrates,13436,1,NA
", Ramapura",Sri Lanka,,,NA,NA,,,,,,Hypsipetes ganeesa,Cornell University Museum of Vertebrates,13357,1,NA
", River Ja",Cameroon,,,NA,NA,,,,,,Eurillas gracilis,Cornell University Museum of Vertebrates,13394,1,NA
", River Ja, S. Cameroon",Cameroon,,,NA,NA,,,,,,Thescelocichla leucopleura,Cornell University Museum of Vertebrates,13435,1,NA
", Sapoba, 15 miles Northeast of Sapele; Either Endo or Delat State can not determine without further details",Nigeria,,,NA,NA,,,,,,"Eurillas ansorgei, Criniger ndussumensis",Cornell University Museum of Vertebrates,"29946, 29947",2,NA
", Shinano",Japan,,,NA,NA,,,,,,Hypsipetes amaurotis,Cornell University Museum of Vertebrates,13354,1,NA
", Umpokosa, Lake Ogemwe, Ogooue River",Gabon,,,NA,NA,,,,,,Bleda eximius,Cornell University Museum of Vertebrates,13379,1,NA
", Victoria Point",India,,,NA,NA,,,,,,Pycnonotus goiavier,Cornell University Museum of Vertebrates,13418,1,NA
", Yontan Area, Okinawa, Ryukyu Islands, elevation +/-300 ft.",Japan,,,NA,NA,,,,,,Hypsipetes amaurotis,Cornell University Museum of Vertebrates,21397,1,NA
", between Kribi and Efulen",Cameroon,,,NA,NA,,,,,,Phyllastrephus icterinus,Cornell University Museum of Vertebrates,13395,1,NA
", unspecified",Madagascar,,,NA,NA,,,,,,Hypsipetes madagascariensis,Cornell University Museum of Vertebrates,13360,1,NA
", unspecified",Philippines,,,NA,NA,,,,,,Hypsipetes philippinus,Cornell University Museum of Vertebrates,25332,1,NA
", unspecified",Sri Lanka,,,NA,NA,,,,,,Rubigula melanictera,Cornell University Museum of Vertebrates,13421,1,NA
", western region, Budongo Forest, Masindi, elevation 1100 meters",Uganda,,,NA,NA,,,,,,"Atimastillas flavicollis, Ixonotus guttatus, Phyllastrephus albigularis, Eurillas curvirostris, Stelgidillas gracilirostris",Cornell University Museum of Vertebrates,"33735, 33734, 33737, 33736, 33730, 33731, 33720, 33724",8,NA
", western region, Kibale Forest, Fort Portal, elevation 1700 meters",Uganda,,,NA,NA,,,,,,"Bleda syndactylus, Phyllastrephus fischeri, Eurillas curvirostris",Cornell University Museum of Vertebrates,"33728, 33733, 33732, 33721",4,NA
"15 Km. de CarmoNA, Uíge",Angola,,,NA,NA,,,,,,Stelgidillas gracilirostris,"Lubango Museum, Angola",26980,1,NA
"15km W of Silam, Bole River, Lahod Datu, Sabah, E. Malaysia",Malaysia,,,NA,NA,,,,,,Rubigula erythropthalmos,Western Foundation of Vertebrate Zoology,WFVZ #38878,1,NA
"40 Km. do Dundo NA estrada para Camissombo, Lunda",Angola,,,NA,NA,,,,,,Pycnonotus barbatus,"Lubango Museum, Angola",27474,1,NA
40 mi N Nata (Thari Pan),Botswana,,,NA,NA,,,,,,Pycnonotus nigricans,Royal Ontario Museum,NA,1,NA
"55km E of Silam, Bole River, Lahod Datu, Sabah, E. Malaysia",Malaysia,,,NA,NA,,,,,,Rubigula erythropthalmos,Western Foundation of Vertebrate Zoology,WFVZ #38876,1,NA
"55km W of Silam, Bole River, Lahad Datu, Sabah, E. Malaysia",Malaysia,,,NA,NA,,,,,,Iole finschii,Western Foundation of Vertebrate Zoology,"WFVZ #38914, WFVZ #38913, WFVZ #38912, WFVZ #38911",4,NA
"55km W of Silam, Bole River, Lahod Datu, Sabah, E. Malaysia",Malaysia,,,NA,NA,,,,,,Rubigula erythropthalmos,Western Foundation of Vertebrate Zoology,"WFVZ #38877, WFVZ #38874",2,NA
?,Gabon?,,,NA,NA,,,,,,Thescelocichla leucopleura,RMNH,RMNH126289,1,NA
?,Indonesia (probably,,,NA,NA,,,,,,Ixos leucogrammicus,RMNH,5013,1,NA
?,Liberia (?),,,NA,NA,,,,,,Thescelocichla leucopleura,RMNH,RMNH126290,1,NA
A 7 Km a O. de Munhino,Angola,,,NA,NA,,,,,,Pycnonotus nigricans,"Lubango Museum, Angola",4679,1,NA
"AGENEBODE (7.03364, 6.59203)",Nigeria,,,NA,NA,,,,,,"Pycnonotus barbatus, Eurillas virens, Atimastillas flavicollis",Field1,"CA02644, CA02645, CA02647, CA02648, CA02650, CA02651, CA02652, CA01136, CA02659, CA02660, FB26101, FB26102, FB26103, FB26104, FB26105, FB26106, FB26107, FB26108, FB26109, 4A62323, FB26110",22,NA
Acongo (S.ª do Mange),Angola,,,NA,NA,,,,,,Atimastillas flavigula,"Lubango Museum, Angola","7638, 7636",2,NA
