LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,AviList,Source,Specimen.number,n_specimens,Code
Buru Island,Indonesia,,,-3.306776,126.466666,yes,High(86),,"-3.4,126.65,BURU ISLAND|Unavailable|Unavailable|High(86)",,Hypsipetes mysticalis,Smithsonian NMNH,USNM 234106,1,4
"6 miles North Youchon, about 45 miles Northeast Seoul",South Korea,,,38.043275,127.582211,yes,High(80),,"38.043275,127.582211,Distance NorthEast of SEOUL|Unavailable|Unavailable|High(80),38.05844,127.560628,Distance NorthEast of SEOUL|Unavailable|Unavailable|High(80),38.013299,127.554798,Distance NorthEast of SEOUL|Unavailable|Unavailable|High(80),38.015821,127.552479,Distance NorthEast of SEOUL|Unavailable|Unavailable|High(80)",,Hypsipetes amaurotis,Cornell University Museum of Vertebrates,25378,1,2
"6 miles Southeast of Araromi, Western Nigeria",Nigeria,,,8.28826,4.29573,yes,High(82),Unavailable,"7.854926,4.445664,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),8.804928,4.495813,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),8.171592,4.179046,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.971592,4.429015,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.371591,3.762261,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),8.371593,5.029077,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),6.621589,3.07883,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.554925,4.44562,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),6.421589,5.195471,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),8.154926,4.295709,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),8.23826,6.345722,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),6.388256,3.528801,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.621591,3.49563,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),8.33826,4.529072,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.788258,3.778988,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.638258,3.562299,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),8.204926,4.429051,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.128257,5.387728,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.051157,5.339518,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),6.466813,3.954839,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),6.940857,5.689103,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),6.714646,3.687263,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.239057,5.552843,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.181357,5.520735,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.709758,5.200786,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.688258,3.562306,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),7.104924,3.745558,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),8.271593,4.279061,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),8.28826,4.29573,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),6.80938,3.657538,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),6.813064,3.143574,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),6.869042,3.842129,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82),6.899969,3.084382,Distance SouthEast of ARAROMI|Unavailable|Unavailable|High(82)",,Criniger calurus,Cornell University Museum of Vertebrates,29925,1,2
"Assobam, Bumba River, elevation 2000 ft.",Cameroon,,,3.92752,12.48288,no,Low(35),unavailable,"2.033333,15.2,BUMBA|Unavailable|Unavailable|Low(35)",,Baeopogon indicator,Cornell University Museum of Vertebrates,13381,1,2
Bang Bon,Thailand,,,13.661851,100.395667,no,High(83),unavailable,"13.661851,100.395667,BANG BON|Unavailable|Unavailable|High(83)",,Pycnonotus goiavier,Cornell University Museum of Vertebrates,"13420, 13419",2,2
Bang Nara,Thailand,,,6.203358,101.720053,yes,High(84),Unavailable,"6.426389,101.823084,BANG NARA|Unavailable|Unavailable|High(84),6.203358,101.720053,BANG NARA|Unavailable|Unavailable|High(84)",,Pycnonotus plumosus,Cornell University Museum of Vertebrates,13409,1,4
Bangkok,Thailand,,,13.753,100.501,yes,High(82),Unavailable,"14.283333,100.5,BANGKOK|Unavailable|Unavailable|High(82),13.533333,100.602135,BANGKOK|Unavailable|Unavailable|High(82),13.753979,100.501444,BANGKOK|Unavailable|Unavailable|High(82),13.78,100.621,BANGKOK|Unavailable|Unavailable|High(82),13.753,100.501,BANGKOK|Unavailable|Unavailable|High(82),13.780363,100.621917,BANGKOK|Unavailable|Unavailable|High(82)",,Pycnonotus blanfordi,Cornell University Museum of Vertebrates,"13413, 13415",2,4
Basilan,Philippines,,,6.6667,121.9667,yes,High(82),Unavailable,"14.417578,121.031168,BASILAN|Unavailable|Unavailable|High(82),14.439557,121.031624,BASILAN|Unavailable|Unavailable|High(82),6.578645,122.034922,BASILAN|Unavailable|Unavailable|High(82),6.591,121.9885,BASILAN|Unavailable|Unavailable|High(82),6.704071,121.971171,BASILAN|Unavailable|Unavailable|High(82),14.575125,121.042314,BASILAN|Unavailable|Unavailable|High(82),6.6667,121.9667,BASILAN|Unavailable|Unavailable|High(82),10.2,122.9667,BASILAN|Unavailable|Unavailable|High(82),6.578,122.035,BASILAN|Unavailable|Unavailable|High(82),14.55764,121.04375,BASILAN|Unavailable|Unavailable|High(82),6.5667,122.05,BASILAN|Unavailable|Unavailable|High(82)",,Hypsipetes rufigularis,Cornell University Museum of Vertebrates,13362,1,4
"Bitye, River Ja, elevation 2000 ft.",Cameroon,,,3.010324,12.353277,yes,Low(35),,"3.016667,12.366667,BITYE|Unavailable|Unavailable|Low(35)",,"Baeopogon indicator, Calyptocichla serinus, Atimastillas flavicollis, Ixonotus guttatus",Cornell University Museum of Vertebrates,"13380, 13384, 13371A, 13383",4,2
Bolgoda,Sri Lanka,,,6.7065,79.9716,no,High(82),unavailable,"6.7065,79.9716,BOLGODA|Unavailable|Unavailable|High(82)",,Acritillas indica,Cornell University Museum of Vertebrates,13363,1,3
