"LocalityString","Country","State","County","Lat","Lon","Correction Status","Precision","Error Polygon","Error Polygon (circular polygon)","Multiplot","AviList","Source","Specimen.number","n_specimens","Code"
"""West Africa""","Gabon","","",NA,NA,"","","","","","Ixonotus guttatus","University of Cambridge Museum of Zoology","UMZC 27/Pyc/7/a/1",1,NA
"10 1/2 km N, 1 km E Ziggida","Liberia","","",NA,NA,"","","","","","Bleda eximius","Louisiana State University, Museum of Natural Science","153033, 153034, 153035",3,NA
"26 km SW Goaso","Ghana","","",NA,NA,"","","","","","Bleda canicapillus","Louisiana State University, Museum of Natural Science","174619, 174620, 174621, 174622, 174623, 174624, 174625, 174626, 174627, 174628",10,NA
"Abrobonko; Fante","Ghana","","",NA,NA,"","","","","","Pycnonotus barbatus","University of Cambridge Museum of Zoology","UMZC 27/Pyc/11/d/13",1,NA
"Aceh Province, Aceh Tenggara Regency, Meloewak; ca. 35 miles SE Blangkedjeren and 60 miles WNW Medan","Indonesia","","",NA,NA,"","","","","","Pycnonotus tympanistrigus, Iole crypta, Ixos malaccensis, Rubigula squamata","ANSP","139812, 139755, 139754, 139814",4,NA
"Aceh Province, Central Aceh Regency, Tretet","Indonesia","","",NA,NA,"","","","","","Pycnonotus snouckaerti","ANSP","108714, 108715",2,NA
"Aceh Province, Gayo Lues Regency, Bivouac 1, on route to Mt. Leuser; ca. 5 miles SE BlangNAnga","Indonesia","","",NA,NA,"","","","","","Ixos sumatranus","ANSP","139747, 139748, 139749, 139750, 139751, 139752",6,NA
"Aceh Province, Gayo Lues Regency, BlangNAnga; ca. 20 miles E Blangkejeren","Indonesia","","",NA,NA,"","","","","","Ixos sumatranus","ANSP","139746",1,NA
"Aceh Province, Gayo Lues Regency, Bur Blang Beke","Indonesia","","",NA,NA,"","","","","","Pycnonotus snouckaerti","ANSP","139784",1,NA
"Aceh Province, Gayo Lues Regency, Koengke; ca. 20 miles SE Blangkejeren","Indonesia","","",NA,NA,"","","","","","Pycnonotus snouckaerti, Pycnonotus tympanistrigus","ANSP","139785, 139813",2,NA
"Aceh Province, Southeast Aceh Regency, Kutacane","Indonesia","","",NA,NA,"","","","","","Ixos malaccensis","ANSP","139753",1,NA
