"","AviList","morphospace_area","Range.Size","n_specimens"
"1","Acritillas indica",1.6071327549498,219041.39,13
"2","Alcurus striatus",0.949534158403675,1082921.86,10
"3","Alophoixus bres",0.434431127079815,87148.92,10
"4","Alophoixus flaveolus",1.05651637864341,559779.47,10
"5","Alophoixus frater",0.283890586314501,13628.82,12
"6","Alophoixus ochraceus",0.542245710565551,407080.06,10
"7","Alophoixus pallidus",1.68354458102249,1388165.23,17
"8","Alophoixus phaeocephalus",1.94532371558956,1368840.15,12
"9","Alophoixus ruficrissus",1.44275963283854,257937.19,11
"10","Alophoixus tephrogenys",0.757858588815532,874154.43,13
"11","Andropadus importunus",2.13898721644435,1338546.67,30
"12","Arizelocichla chlorigula",0.635118978774725,50903.09,10
"13","Arizelocichla fusciceps",0.166242149449817,25373.28,10
"14","Arizelocichla kikuyuensis",2.02815024437134,248447.89,27
"15","Arizelocichla masukuensis",3.57784821119006,163721.68,34
"16","Arizelocichla milanjensis",2.00950388277297,42374.09,27
"17","Arizelocichla montana",2.87643474585031,61327.27,10
"18","Arizelocichla neumanni",1.96857948254533,3869.44,10
"19","Arizelocichla nigriceps",1.71743388882129,248447.89,16
"20","Arizelocichla striifacies",4.74655611437977,192555.01,22
"21","Arizelocichla tephrolaema",1.38037377297204,59489.94,10
"22","Atimastillas flavicollis",3.51079523596709,1683203.48,10
"23","Atimastillas flavigula",2.35280930584922,4518854.65,10
"24","Baeopogon clamans",2.65386865289837,850000.36,10
"25","Baeopogon indicator",4.60727827898118,4280773.28,10
"26","Bleda canicapillus",1.39243526017087,1094053.69,19
"27","Bleda eximius",6.85511862086294,339296.54,17
"28","Bleda notatus",18.9422911351004,674577.61,219
"29","Bleda syndactylus",16.9765207242585,3527560.89,95
"30","Calyptocichla serinus",0.928107836267114,1315030.41,10
"31","Chlorocichla falkensteini",2.0005304833822,978923.36,10
"32","Chlorocichla flaviventris",1.61471854684004,3986239.89,21
"33","Chlorocichla laetissima",1.75316355192686,137013.1,10
"34","Chlorocichla simplex",0.625801652569485,4003835.48,11
"35","Criniger barbatus",0.809542889791899,646336.43,14
"36","Criniger calurus",0.683811775069949,3299941.84,16
"37","Criniger chloronotus",4.36179637923378,1204957.83,16
"38","Criniger ndussumensis",0.280355024092502,1455617.86,11
"39","Criniger olivaceus",0.54576586581168,239103.58,13
"40","Eurillas ansorgei",0.28001120094079,1858480.06,11
"41","Eurillas curvirostris",0.988702301938895,3502649.29,15
"42","Eurillas gracilis",0.650922703713218,3552112.86,14
"43","Eurillas latirostris",30.6246913383284,3682285.72,527
"44","Eurillas virens",4.87026375242712,5766996.33,153
"45","Hemixos castanonotus",0.751475222980326,979934.26,10
"46","Hemixos cinereus",1.31305699017105,213432.43,20
"47","Hemixos flavala",0.407320910160831,1098549.78,10
"48","Hypsipetes affinis",0.51821217667124,18011.55,10
"49","Hypsipetes amaurotis",0.472606539222159,482417.45,10
"50","Hypsipetes chloris",0.554145980659535,22982.25,11
"51","Hypsipetes crassirostris",1.33832916206837,244.59,10
"52","Hypsipetes everetti",1.16127786563532,82727.31,13
"53","Hypsipetes ganeesa",0.803518815718585,238034.77,10
"54","Hypsipetes leucocephalus",2.94371313450682,4614841.53,10
"55","Hypsipetes madagascariensis",1.18707897434353,591386.99,10
"56","Hypsipetes mysticalis",1.40428564774193,8321.06,11
"57","Hypsipetes nicobariensis",6.7997781144843,462.76,15
"58","Hypsipetes philippinus",0.185559116747808,232032.85,10
"59","Hypsipetes rufigularis",0.596605907792292,21991.1,10
"60","Iole charlottae",0.297579938147318,1131173.67,10
"61","Iole crypta",1.33878101346572,1131173.67,11
"62","Iole finschii",0.739030674192534,779808.76,10
"63","Iole palawanensis",0.515998552586953,11492.84,10
"64","Iole propinqua",0.777502723018346,1237485.99,11
"65","Iole viridescens",0.248995324060897,293077.58,10
"66","Ixonotus guttatus",0.150377036290896,2790568.64,11
"67","Ixos malaccensis",1.95874961126478,976235.84,11
"68","Ixos mcclellandii",1.64346718215188,2391920.69,11
"69","Ixos virescens",1.10664908588073,14530.69,10
"70","Microtarsus eutilotus",2.13718443131725,821688.28,20
"71","Microtarsus fuscoflavescens",0.379616246624083,3196.27,10
"72","Microtarsus melanocephalos",2.52922347344858,2968877.33,13
"73","Microtarsus melanoleucos",0.72101161305951,1181602.12,13
