"X","Avibase.ID","AviList","Species1_BirdLife","Species2_eBird","eBird.species.group","Species3_BirdTree","Data.type","Source","Specimen.number","Sex","Age","Locality","Country_WRI","Country","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.wing.Index","Tail.Length","Measurer","Protocol","Publication","Date.collected","Gape_Width","Subspecies","Comments","Data.source","Range.Size","Mass","Migration","Habitat","Habitat.Density","Trophic.Level","Trophic.Niche","Primary.Lifestyle"
1,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","1916.9.20.596","F",0,NA,"Sri Lanka",NA,18.4,11.3,4.4,4.5,18,85,16,"69",18.8,70,"PW",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
2,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","1940.12.3.44","F",0,NA,"Sri Lanka",NA,19.8,12.2,4.8,4.5,18.8,83,12.9,"70.1",15.5,71,"PW",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
3,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","1940.12.3.45","F",0,NA,"Sri Lanka",NA,19.6,11.6,4.4,4.3,17.8,82,12.3,"69.7",15,71,"PW",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
4,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","1949.Whl.1.14407","M",0,NA,"India",NA,19,13,5.6,5.2,19,88,16,"72",18.2,85,"NJTA",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
5,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","86.9.1.1581","M",0,NA,"India",NA,20.6,12.4,4.6,4.8,19.7,88,13.1,"74.9",14.9,100,"CS",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
6,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","86.9.1.1583","F",0,NA,"India",NA,19.9,11.8,4.8,4.8,17.2,88,12.7,"75.3",14.4,77,"PW",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
7,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","86.9.1.1584","M",0,NA,"India",NA,21.7,13,4.8,5.3,19.3,98,15.5,"82.5",15.8,86,"NJTA",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
8,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","86.9.1.1588","M",0,NA,"India",NA,19.8,12,4.8,4.8,18.2,92,13.4,"78.6",14.6,86,"CS",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
9,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","86.9.1.1589","F",0,NA,"India",NA,19.5,11.7,4.4,4.9,16.9,88,12.3,"75.7",14,83,"CS",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
10,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","86.9.1.1591","F",0,NA,"India",NA,19.4,11.5,5.3,4.7,19,84,13.5,"70.5",16.1,74,"PW",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
11,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","88.4.1.478","F",0,NA,"India",NA,20.7,11.7,4.5,5.1,18.8,90,13.4,"76.6",14.9,86,"CS",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
12,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","88.4.1.488","F",0,NA,"Sri Lanka",NA,20.1,12,4.8,5,17.1,85,13.6,"71.4",16,72,"PW",1,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
13,"AVIBASE-36D71C61","Acritillas indica","Acritillas indica","Iole indica","Iole indica","Iole indica",1,"NHMUK","86.9.1.1582","M",0,NA,NA,NA,22.2,NA,4.7,5.3,17.4,96,NA,NA,NA,89,"GT",0,NA,NA,NA,NA,NA,"Museum",219041.39,30.6,1,"Forest",1,"Herbivore","Omnivore","Insessorial"
14,"AVIBASE-AF1E4A9B","Alcurus striatus","Alcurus striatus","Pycnonotus striatus","Pycnonotus striatus","Pycnonotus striatus",1,"NHMUK","1921.7.12.977","M",0,NA,"India",NA,20.6,10.3,4.1,5.5,18.4,107,23.2,"83.8",21.7,108,"CV",1,NA,NA,NA,NA,NA,"Museum",1082921.86,52,1,"Forest",1,"Omnivore","Omnivore","Insessorial"
15,"AVIBASE-AF1E4A9B","Alcurus striatus","Alcurus striatus","Pycnonotus striatus","Pycnonotus striatus","Pycnonotus striatus",1,"NHMUK","1935.4.5.624","F",0,NA,"Bhutan",NA,19.6,9.8,4.3,5.2,17.3,102,20.6,"81.4",20.2,95,"CV",1,NA,NA,NA,NA,NA,"Museum",1082921.86,52,1,"Forest",1,"Omnivore","Omnivore","Insessorial"
16,"AVIBASE-AF1E4A9B","Alcurus striatus","Alcurus striatus","Pycnonotus striatus","Pycnonotus striatus","Pycnonotus striatus",1,"NHMUK","1937.1.17.350","F",0,NA,"Bhutan",NA,18.9,9.8,4,5,16.6,101,22.9,"78.1",22.7,93,"CV",1,NA,NA,NA,NA,NA,"Museum",1082921.86,52,1,"Forest",1,"Omnivore","Omnivore","Insessorial"
17,"AVIBASE-AF1E4A9B","Alcurus striatus","Alcurus striatus","Pycnonotus striatus","Pycnonotus striatus","Pycnonotus striatus",1,"NHMUK","1949.Whi.1.14514","M",0,NA,"India",NA,18.9,10.1,4.3,5.1,19.5,101,24.7,"76.3",24.5,88,"CV",1,NA,NA,NA,NA,NA,"Museum",1082921.86,52,1,"Forest",1,"Omnivore","Omnivore","Insessorial"
