Sequence,Species1,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
7922,Acritillas indica,Pycnonotidae,Passeriformes,AVIBASE-36D71C61,13,8,5,0,12,20.1,12.0,4.8,4.9,18.2,88.2,13.7,73.9,15.7,80.8,30.6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,5.92,19.41,11.48,77.74,219041.39
7834,Alcurus striatus,Pycnonotidae,Passeriformes,AVIBASE-AF1E4A9B,5,2,2,1,4,19.6,10.0,4.3,5.3,18.2,104.6,22.9,79.9,22.3,96.8,52.0,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,16.98,29.42,23.15,98.50,1082921.86
7831,Alophoixus bres,Pycnonotidae,Passeriformes,AVIBASE-AE002A11,1,0,1,0,0,20.6,14.9,4.7,6.5,19.6,100.0,20.3,84.3,19.4,90.0,35.3,Dunning,NA,YES,Beak Nares; Kipp's Distance; Secondary1; Hand-Wing Index,Alophoixus tephrogenys,Forest,1,1,Omnivore,Omnivore,Insessorial,-8.78,-5.87,-7.48,109.96,87148.92
7825,Alophoixus flaveolus,Pycnonotidae,Passeriformes,AVIBASE-31754E31,8,3,5,0,7,20.5,11.8,5.4,7.1,20.1,100.8,16.6,84.0,16.5,90.1,48.3,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,12.61,29.27,23.07,95.85,559779.47
7832,Alophoixus frater,Pycnonotidae,Passeriformes,AVIBASE-50D0244D,0,0,0,0,0,22.7,14.9,5.8,7.3,20.0,104.6,20.3,84.3,19.4,80.8,44.8,Updated_literature,Dunning (2021),YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Alophoixus tephrogenys,Forest,1,1,Omnivore,Omnivore,Insessorial,7.80,12.38,9.99,118.74,13628.82
7826,Alophoixus griseiceps,Pycnonotidae,Passeriformes,AVIBASE-D02FCDDF,1,0,1,0,0,19.7,12.1,5.3,7.0,18.6,92.0,15.6,87.0,15.2,100.0,46.0,DataFromSplit,NA,YES,Beak Nares; Kipp's Distance; Secondary1; Hand-Wing Index,Alophoixus pallidus,Forest,2,1,Herbivore,Frugivore,Insessorial,16.93,19.03,18.00,96.12,13451.14
7828,Alophoixus ochraceus,Pycnonotidae,Passeriformes,AVIBASE-2BC35886,5,2,3,0,4,21.5,12.8,5.0,7.0,20.2,101.1,18.0,82.9,17.8,96.4,41.5,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-3.54,14.79,7.21,102.11,407080.06
7827,Alophoixus pallidus,Pycnonotidae,Passeriformes,AVIBASE-20A0A35C,4,2,2,0,4,20.3,12.1,4.6,7.4,20.5,102.6,15.6,87.0,15.2,104.2,46.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,10.59,27.64,19.86,104.09,1388165.23
7833,Alophoixus phaeocephalus,Pycnonotidae,Passeriformes,AVIBASE-3499C2A5,12,2,3,7,4,20.5,13.6,5.4,6.5,19.9,94.4,13.2,82.4,13.8,80.6,32.0,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-5.95,10.59,0.86,108.44,1368840.15
7829,Alophoixus ruficrissus,Pycnonotidae,Passeriformes,AVIBASE-8668C778,0,0,0,0,0,21.5,12.8,5.0,7.0,20.2,101.1,18.0,82.9,17.8,96.4,41.5,DataFromSplit,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Alophoixus ochraceus,Forest,1,1,Herbivore,Frugivore,Insessorial,-3.70,6.59,1.92,115.12,257937.19
7830,Alophoixus tephrogenys,Pycnonotidae,Passeriformes,AVIBASE-CA0141A1,5,2,2,1,5,22.7,14.9,5.8,7.3,20.0,104.6,20.3,84.3,19.4,80.8,35.3,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Insessorial,-5.17,12.49,1.26,110.77,874154.43
7767,Andropadus importunus,Pycnonotidae,Passeriformes,AVIBASE-79A45DAF,12,6,6,0,4,18.9,9.3,4.2,5.5,22.4,88.9,10.6,78.3,11.9,86.1,27.4,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Frugivore,Insessorial,-34.84,4.52,-17.63,33.98,1338546.67
7788,Arizelocichla chlorigula,Pycnonotidae,Passeriformes,AVIBASE-B421F18C,4,2,2,0,4,17.8,9.0,3.9,4.7,23.6,90.2,13.6,76.7,14.9,90.0,34.5,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-10.21,-5.42,-8.00,35.71,50903.09
7790,Arizelocichla fusciceps,Pycnonotidae,Passeriformes,AVIBASE-1F66AE1E,4,2,2,0,4,17.8,9.7,4.2,4.7,22.5,89.2,13.0,76.2,14.6,89.5,34.5,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-16.09,-8.44,-10.61,34.00,25373.28
7793,Arizelocichla masukuensis,Pycnonotidae,Passeriformes,AVIBASE-6FC57210,34,4,8,22,30,15.1,7.6,3.8,3.7,20.8,79.8,14.1,65.6,17.7,78.7,26.8,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Invertivore,Insessorial,-10.01,2.75,-3.96,32.94,163721.68
7786,Arizelocichla milanjensis,Pycnonotidae,Passeriformes,AVIBASE-8479F56E,9,5,4,0,4,21.0,10.7,3.9,4.8,22.8,94.7,15.1,80.3,15.8,88.1,37.4,Dunning,NA,NO,NA,NA,Forest,2,1,Omnivore,Omnivore,Insessorial,-20.82,-15.77,-18.94,33.23,42374.09
7791,Arizelocichla montana,Pycnonotidae,Passeriformes,AVIBASE-0802ADF1,5,2,3,0,4,17.2,8.7,4.0,4.2,21.1,82.8,8.9,74.4,10.6,83.2,32.6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,4.06,7.96,6.22,10.43,61327.27
7789,Arizelocichla neumanni,Pycnonotidae,Passeriformes,AVIBASE-8EDD570A,4,0,3,1,4,19.9,10.7,4.9,5.5,24.4,99.2,16.0,83.2,16.1,95.8,34.5,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-7.46,-6.70,-7.12,37.64,3869.44
7787,Arizelocichla nigriceps,Pycnonotidae,Passeriformes,AVIBASE-54A902B5,20,8,8,4,12,18.0,8.8,4.1,4.6,22.5,89.2,12.5,76.8,13.9,84.5,34.5,Updated_literature,BoW,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.17,1.66,-1.48,32.52,248447.89
7785,Arizelocichla striifacies,Pycnonotidae,Passeriformes,AVIBASE-9A80B57C,22,4,4,14,21,19.5,10.4,4.4,5.0,22.9,93.3,15.0,78.3,16.0,91.3,37.4,DataFromSplit,NA,NO,NA,NA,Forest,2,1,Omnivore,Omnivore,Insessorial,-16.17,-2.11,-9.36,36.04,192555.01
7792,Arizelocichla tephrolaema,Pycnonotidae,Passeriformes,AVIBASE-DA399CC6,5,2,2,1,4,17.2,9.2,3.8,4.2,19.8,82.4,12.6,69.9,15.3,73.2,38.3,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,3.21,7.75,5.92,10.31,59489.94
7774,Atimastillas flavicollis,Pycnonotidae,Passeriformes,AVIBASE-3C8E84A6,5,2,3,0,4,22.8,11.4,4.6,5.8,23.7,107.6,15.9,89.8,15.1,102.4,48.7,Dunning,NA,NO,NA,NA,Shrubland,2,1,Herbivore,Frugivore,Insessorial,4.74,15.08,9.56,-0.65,1683203.48
7775,Atimastillas flavigula,Pycnonotidae,Passeriformes,AVIBASE-04E77EEF,4,3,1,0,0,23.0,11.4,4.6,5.8,25.8,102.8,14.6,88.1,14.3,93.0,48.7,DataFromSplit,NA,YES,Beak Nares; Beak Width; Beak Depth,Atimastillas flavicollis,Shrubland,2,1,Herbivore,Frugivore,Insessorial,-16.43,10.15,-3.31,21.81,4518854.65
7779,Baeopogon clamans,Pycnonotidae,Passeriformes,AVIBASE-C6833BA9,4,2,2,0,4,17.0,9.0,4.4,4.6,18.4,97.8,16.8,81.0,17.2,73.8,45.8,Inferred,NA,YES,Body Mass,Baeopogon indicator,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.03,6.52,1.03,16.37,850000.36
7778,Baeopogon indicator,Pycnonotidae,Passeriformes,AVIBASE-E6A0D208,8,4,3,1,4,18.9,9.9,4.3,4.6,19.4,98.2,16.1,81.9,16.5,78.4,45.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-11.61,10.14,-0.02,16.20,4280773.28
