"Species","Specimens.required.to.reach.30"
"Hypsipetes moheliensis",30
"Chlorocichla prigoginei",29
"Hypsipetes aureus",29
"Nok hualon",29
"Phyllastrephus lorenzi",29
"Microtarsus nieuwenhuisii",28
"Hypsipetes platenae",27
"Pycnonotus pseudosimplex",27
"Hypsipetes borbonicus",24
"Iole cacharensis",23
"Hypsipetes lucasi",21
"Hypsipetes olivaceus",21
"Hypsipetes parvirostris",21
"Arizelocichla fusciceps",20
"Arizelocichla neumanni",20
"Baeopogon clamans",20
"Ixos sumatranus",20
"Ixos virescens",20
"Pycnonotus davisoni",20
"Microtarsus fuscoflavescens",19
"Hypsipetes affinis",19
"Phyllastrephus cerviniventris",19
"Phyllastrephus poliocephalus",19
"Phyllastrephus xavieri",19
"Pycnonotus tympanistrigus",19
"Pycnonotus xanthorrhous",19
"Phyllastrephus viridiceps",19
"Alophoixus bres",18
"Arizelocichla chlorigula",18
"Hypsipetes crassirostris",17
"Hypsipetes harterti",17
"Hypsipetes thompsoni",17
"Pycnonotus penicillatus",17
"Chlorocichla laetissima",16
"Criniger chloronotus",16
"Arizelocichla montana",15
"Criniger ndussumensis",15
"Hypsipetes longirostris",15
"Phyllastrephus debilis",15
"Pycnonotus blanfordi",15
"Pycnonotus snouckaerti",15
"Pycnonotus xantholaemus",15
"Phyllastrephus scandens",15
"Arizelocichla nigriceps",14
"Atimastillas flavicollis",14
"Ixos leucogrammicus",14
"Hypsipetes mysticalis",14
"Phyllastrephus baumanni",14
"Phyllastrephus poensis",14
"Phyllastrephus strepitans",14
"Pycnonotus capensis",14
"Rubigula melanictera",14
"Rubigula montis",14
"Iole crypta",14
"Bleda ugandae",13
"Calyptocichla serinus",12
"Eurillas ansorgei",12
"Hypsipetes nicobariensis",12
"Alcurus striatus",11
"Hypsipetes madagascariensis",11
"Pycnonotus leucops",11
"Pycnonotus simplex",11
"Alophoixus frater",11
"Hemixos castanonotus",10
"Phyllastrephus fischeri",10
"Arizelocichla tephrolaema",9
"Phyllastrephus albigula",9
"Phyllastrephus hypochloris",9
"Criniger olivaceus",8
"Microtarsus eutilotus",8
"Iole charlottae",8
"Ixos malaccensis",8
"Pycnonotus cinereifrons",8
"Rubigula squamata",7
"Pycnonotus flavescens",7
"Alophoixus flaveolus",6
"Microtarsus priocephalus",6
"Criniger barbatus",6
"Hypsipetes catarmanensis",6
"Baeopogon indicator",5
"Rubigula gularis",5
"Rubigula cyaniventris",4
"Alophoixus ochraceus",3
"Bleda notatus",3
"Hemixos flavala",3
"Iole finschii",3
"Bleda eximius",2
"Spizixos semitorques",2
"Arizelocichla striifacies",1
"Bleda canicapillus",1
"Pycnonotus zeylanicus",1
"Acritillas indica",0
"Alophoixus pallidus",0
"Alophoixus phaeocephalus",0
"Alophoixus tephrogenys",0
"Andropadus importunus",0
"Arizelocichla masukuensis",0
"Arizelocichla milanjensis",0
"Atimastillas flavigula",0
"Bleda syndactylus",0
"Microtarsus melanocephalos",0
"Chlorocichla falkensteini",0
"Chlorocichla flaviventris",0
"Chlorocichla simplex",0
"Criniger calurus",0
"Eurillas curvirostris",0
"Eurillas gracilis",0
"Eurillas latirostris",0
"Eurillas virens",0
"Hemixos cinereus",0
"Hypsipetes amaurotis",0
"Hypsipetes chloris",0
"Hypsipetes everetti",0
"Hypsipetes ganeesa",0
"Hypsipetes guimarasensis",0
"Hypsipetes leucocephalus",0
"Hypsipetes mindorensis",0
"Hypsipetes philippinus",0
"Hypsipetes rufigularis",0
"Hypsipetes siquijorensis",0
"Iole palawanensis",0
"Iole propinqua",0
"Iole viridescens",0
"Rubigula erythropthalmos",0
"Ixonotus guttatus",0
"Ixos mcclellandii",0
"Microtarsus melanoleucos",0
"Neolestes torquatus",0
"Phyllastrephus albigularis",0
"Phyllastrephus cabanisi",0
"Phyllastrephus flavostriatus",0
"Phyllastrephus fulviventris",0
"Phyllastrephus icterinus",0
"Phyllastrephus terrestris",0
"Microtarsus urostictus",0
"Pycnonotus aurigaster",0
"Pycnonotus barbatus",0
"Pycnonotus bimaculatus",0
"Pycnonotus brunneus",0
"Pycnonotus cafer",0
"Pycnonotus conradi",0
"Pycnonotus finlaysoni",0
"Pycnonotus goiavier",0
"Pycnonotus jocosus",0
"Pycnonotus leucogenys",0
"Pycnonotus leucotis",0
"Pycnonotus luteolus",0
"Pycnonotus nigricans",0
"Pycnonotus plumosus",0
"Pycnonotus sinensis",0
"Pycnonotus taivanus",0
"Pycnonotus xanthopygos",0
"Rubigula dispar",0
"Rubigula flaviventris",0
"Setornis criniger",0
"Spizixos canifrons",0
"Stelgidillas gracilirostris",0
"Thescelocichla leucopleura",0
"Tricholestes criniger",0
"Alophoixus ruficrissus",0
"Arizelocichla kikuyuensis",0
