,AviList,n_specimens,Beak.Length_Culmen_Mean,Beak.Length_Culmen_Max,Beak.Length_Culmen_Min,Beak.Length_Nares_Mean,Beak.Length_Nares_Max,Beak.Length_Nares_Min,Beak.Width_Mean,Beak.Width_Max,Beak.Width_Min,Beak.Depth_Mean,Beak.Depth_Max,Beak.Depth_Min,Tarsus.Length_Mean,Tarsus.Length_Max,Tarsus.Length_Min,Wing.Length_Mean,Wing.Length_Max,Wing.Length_Min,Kipps.Distance_Mean,Kipps.Distance_Max,Kipps.Distance_Min,Tail.Length_Mean,Tail.Length_Max,Tail.Length_Min,Gape_Width_Mean,Gape_Width_Max,Gape_Width_Min
1,Acritillas indica,13,20.05384615,22.2,18.4,12.01666667,13,11.3,4.761538462,5.6,4.4,4.861538462,5.3,4.3,18.24615385,19.7,16.9,88.23076923,98,82,13.725,16,12.3,80.76923077,100,70,NA,NA,NA
2,Alcurus striatus,10,19.974,20.97,18.9,10.30333333,10.96,9.8,4.274,4.7,4,5.372,5.79,5,18.575,20.3,16.6,105.482,112,101,22.93666667,24.7,20.42,95.95,108,88,11.612,12.86,10.53
3,Alophoixus bres,10,20.153,21.82,18.78,11.97,13.14,11.08,4.897,5.26,4.52,6.632,7.49,6.13,19.509,21.27,18.75,98.45,105,92,18.0975,20.34,16.22,86.7,91,83,10.83777778,12.5,9.37
4,Alophoixus flaveolus,10,20.46,21.6,19.7,11.74333333,13.3,10.7,5.347,6.1,4.2,7.056,7.6,6.1,20.287,22.5,18.5,100.55,105.5,96,16.99,19.47,15.4,89.15,96,79,12.49,13.74,11.24
5,Alophoixus frater,12,23.31,24.38,22.05,14.44545455,15.5,13.34,5.395454545,5.88,4.93,7.153636364,7.68,6.77,21.49545455,22.1,20.85,103.0454545,107,99,18.25714286,20.32,17.21,92,98,88,10.92363636,12.74,9.64
6,Alophoixus ochraceus,10,20.991,24.8,19.28,12.46222222,13.33,11.21,5.046,5.61,4.6,6.796,7.4,6.02,19.789,21.2,18.83,102.75,108,94.5,18.44111111,21.9,14.9,98.1,103,92,11.472,12.52,10.06
7,Alophoixus pallidus,17,20.77647059,22.19,19.67,12.394375,13.68,11.2,4.995294118,5.83,4.27,7.052352941,7.7,6.4,20.10941176,21.56,18.6,102.4705882,113,92,17.771875,20.72,13,99.82352941,111,85,11.47,13.56,9.87
8,Alophoixus phaeocephalus,12,20.46363636,23,18.3,13.62727273,14.7,11.8,5.408333333,6.6,4.8,6.541666667,7,6.1,19.94166667,22,17,94.41666667,105,82,13.17272727,15.4,9.3,80.6,87,75,NA,NA,NA
9,Alophoixus ruficrissus,11,21.186,22.18,20.37,12.868,13.55,12,5.1,5.46,4.86,6.759,7.07,6.45,20.221,20.99,19.48,108.6,113,102,20.787,22.96,19.01,104.2,107,102,10.904,12.36,9.52
10,Alophoixus tephrogenys,13,21.64538462,24.34,18.77,13.88153846,15.8,11.88,5.491538462,6.1,4.79,7.193076923,8,6.59,20.09769231,22.2,17.8,100.8461538,110,94.5,18.85230769,22.5,16.49,82.69230769,88,75,11.1825,12.41,9.78
