"","Species2_eBird","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.wing.Index","Tail.Length"
"1","Alophoixus affinis",26.575,16.075,5.225,6.925,19.3,107.125,18.2,88.925,16.975,93.5
"2","Alophoixus finschii",17.525,11.575,4.725,5.575,15.9,84.75,16.175,68.575,19.05,67.25
"3","Alophoixus flaveolus",20.3428571428571,11.7714285714286,5.37142857142857,7.02857142857143,20.3142857142857,100.642857142857,16.6428571428571,84.0142857142857,16.5285714285714,89.7857142857143
"4","Alophoixus longirostris",29.175,18.525,5.825,7.825,20.9,116.25,21.425,94.825,18.425,114.125
"5","Alophoixus mystacalis",25.4,15.45,5.05,6.275,18.575,106,18.075,87.925,17.05,95
"6","Alophoixus ochraceus",20.7,12.775,4.9,7,20.275,100.875,17.975,82.9,17.8,95
"7","Alophoixus pallidus",20.275,12.05,4.575,7.375,20.475,102.625,15.575,87.05,15.15,104.25
"8","Alophoixus phaeocephalus",20.15,13.25,5.3,6.425,18.075,94.5,14.875,79.625,15.75,79
"9","Alophoixus tephrogenys",22.68,14.94,5.76,7.32,20,104.6,20.3,84.3,19.38,80.8
"10","Andropadus importunus",17.675,9.3,4.175,5.5,22.875,89.5,11.85,77.65,13.225,88.5
"11","Arizelocichla chlorigula",17.75,9.025,3.85,4.725,23.625,90.25,13.55,76.7,14.95,90
"12","Arizelocichla fusciceps",17.8,9.7,4.225,4.65,22.525,89.25,13.025,76.225,14.575,89.5
"13","Arizelocichla masukuensis",14.99,7.61333333333333,3.77666666666667,3.72666666666667,20.7566666666667,79.2166666666667,13.93,65.2866666666667,17.6166666666667,78.65
"14","Arizelocichla milanjensis",19.448,10.456,4.328,5.008,22.756,93.08,15.012,78.068,16.104,90.2
"15","Arizelocichla montana",16.85,8.725,4,4.15,20.975,83.25,8.875,74.375,10.625,83
"16","Arizelocichla neumanni",19.85,10.675,4.9,5.5,24.35,99.25,16,83.25,16.1,95.75
"17","Arizelocichla nigriceps",17.1833333333333,8.81666666666667,4.125,4.64166666666667,21.9583333333333,88.0833333333333,12.2666666666667,75.8166666666667,13.9083333333333,84.8333333333333
"18","Arizelocichla tephrolaema",17.175,9.175,3.8,4.15,19.8,82.5,12.625,69.875,15.275,72.75
"19","Atimastillas flavicollis",21.7,11.4,4.525,5.55,23.45,105.75,15.95,89.8,15.075,100
"20","Baeopogon clamans",16.95,9,4.425,4.6,18.4,97.75,16.775,80.975,17.175,73.75
"21","Baeopogon indicator",17.95,9.9,4.275,4.525,17.875,99,16.125,82.875,16.275,80.5
"22","Bleda canicapillus",20.4,13.45625,5.3125,6.425,25.5875,99.3125,13.55,85.7625,13.6,91.21875
"23","Bleda eximius",24.025,16.025,4.125,6.825,25.35,103.25,15.475,87.775,14.975,97.5
"24","Bleda notatus",20.1333333333333,12.9,4.63333333333333,6.35555555555556,24.9888888888889,90.6666666666667,12.9,77.7777777777778,14.2111111111111,79.1111111111111
"25","Bleda syndactylus",25.475,16.55,4.425,7.175,24.975,105.5,16.3,89.2,15.45,93.75
"26","Brachypodius eutilotus",18.5,11.84,4.78,5.2,17.5,91,17.62,73.38,19.26,75
"27","Brachypodius fuscoflavescens",15.675,8.925,3.9,4.6,15.525,76.5,12.075,64.425,15.8,66.75
"28","Brachypodius melanocephalos",15.575,10,4.4,4.625,14.625,77.75,14.1,63.65,18.15,64.25
"29","Brachypodius melanoleucos",17.15,10.65,4.225,4.3,14.05,83,15.65,67.35,18.85,66.75
"30","Brachypodius priocephalus",13.775,7.775,3.55,3.925,14.55,75,10.8,64.2,14.4,74.75
"31","Brachypodius urostictus",15.375,7.775,3.65,4.25,16.4,78.5,12.15,66.35,15.525,84.5
"32","Calyptocichla serinus",17.4,10.325,3.875,4.45,19.8,89.75,15.975,73.775,17.8,79.25
"33","Chlorocichla falkensteini",18,9.8,4.175,5,20.5,93,12.5,80.5,13.475,88.5
"34","Chlorocichla flaviventris",20.7928571428571,11.9642857142857,4.9,6.09285714285714,23.9285714285714,100.285714285714,12.9785714285714,87.3071428571428,12.9285714285714,97.5
"35","Chlorocichla laetissima",20.25,10.475,4.85,5.2,20.975,104,13.8,90.2,13.3,99
"36","Chlorocichla prigoginei",17.8,10.3,4.2,5.3,18.2,96,10.2,85.8,10.6,95
"37","Chlorocichla simplex",20,11.4,5.4,6.11666666666667,25.2833333333333,100.166666666667,12.4833333333333,87.6833333333333,12.45,93.8333333333333
"38","Criniger barbatus",21.2,12.8090909090909,5.92727272727273,6.55454545454545,25.1636363636364,103.409090909091,15.5909090909091,87.8181818181818,15.0636363636364,95.4545454545455
"39","Criniger calurus",21.7272727272727,13.4363636363636,5.83636363636364,6.05454545454545,20.8454545454545,87.3636363636364,10.1454545454545,77.2181818181818,11.5818181818182,80.6363636363636
"40","Criniger chloronotus",21.875,12.55,5.125,6.5,23.725,100,13.925,86.075,13.925,93.5
"41","Criniger ndussumensis",18.6,11.125,3.875,5.05,19.85,85.5,10.875,74.625,12.75,77.5
"42","Criniger olivaceus",18.025,10.3,3.65,5.075,21.3,85.75,10.675,75.075,12.475,82.75
"43","Eurillas ansorgei",13.575,7.9,3.575,3.775,15.425,72,11.3,60.7,15.675,63.25
"44","Eurillas curvirostris",15.2857142857143,9.15714285714286,4.3,3.81428571428571,18.3,76.6428571428571,9.62857142857143,67.0142857142857,12.5428571428571,71.8571428571429
"45","Eurillas gracilis",13.7428571428571,8.27142857142857,3.9,3.82857142857143,17.4,71.2857142857143,8.54285714285714,62.7428571428571,12,64.8571428571429
"46","Eurillas latirostris",15.2647058823529,9.1,4.94117647058824,4.65294117647059,20.0117647058824,75.8529411764706,10.7823529411765,65.0705882352941,14.2176470588235,70.6176470588235
"47","Eurillas virens",13.6234375,7.9859375,4.6484375,4.290625,20.721875,75.4140625,9.6046875,65.809375,12.6140625,72.3515625
"48","Hemixos castanonotus",19.825,11.4,4.55,5,17.375,97.375,19.175,78.2,19.675,89.875
"49","Hemixos cinereus",19.825,11.4,4,5.125,17.475,97.25,16.775,80.475,17.2,90.125
"50","Hemixos flavala",19.1,11.4,4.25,5.225,17.875,93.875,17.3,76.575,18.4,87.5
"51","Hypsipetes amaurotis",29.075,16.2,5.325,6.45,22.15,126.375,26.95,99.425,21.3,118.25
"52","Hypsipetes borbonicus",24.825,13.125,5.075,6.125,25.6,113.25,24.975,88.3,22.05,102.25
"53","Hypsipetes crassirostris",29.7,16.9,6.425,8.7,26.6,134.5,29.825,104.675,22.175,109
"54","Hypsipetes everetti",27.15,17.05,5.55,7.15,19.925,109.25,16.05,93.2,14.7,96.75
"55","Hypsipetes ganeesa",26.925,16.075,5.2,5.85,17.875,116.25,27.05,89.2,23.275,99.5
