LocalityString,Country,State,County,Lat,Lon,Correction Status,Precision,Error Polygon,Error Polygon (circular polygon),Multiplot,Species2_eBird,Specimen.number,n_specimens
Dibrugarh,India,,,27.489746,94.912796,yes,High(84),Unavailable,,"27.479888,94.90837,DIBRUGARH|Unavailable|Unavailable|High(84),27.5,95,DIBRUGARH|Unavailable|Unavailable|High(84),27.489746,94.912796,(g3)Dibrugarh|Unavailable|5405|Medium(59)",Alophoixus flaveolus,86.9.1.1423,1
Dewangiri on Bhutan-Assam frontier,Bhutan,,,26.866667,91.466667,no,Low(39),unavailable,,"26.866667,91.466667,DEWANGIRI|Unavailable|Unavailable|Low(39),27.5,90.5,BHUTAN|Unavailable|Unavailable|Low(36),27.5,90.5,BHUTAN|Unavailable|Unavailable|Low(36)",Alophoixus flaveolus,1935.4.5.622,1
"Dewangiri, Bhutan-Assam frontier",Bhutan,,,26.866667,91.466667,no,Low(39),unavailable,,"26.866667,91.466667,DEWANGIRI|Unavailable|Unavailable|Low(39),27.5,90.5,BHUTAN|Unavailable|Unavailable|Low(36),27.5,90.5,BHUTAN|Unavailable|Unavailable|Low(36)",Alophoixus flaveolus,1937.1.17.349,1
"Dooars, Bengal",India,,,26.831542,88.800611,yes,Low(36),N/A,,"24,88,BENGAL|Unavailable|Unavailable|Low(36),24,90,BENGAL|Unavailable|Unavailable|Low(36),23,87.8333,BENGAL|Unavailable|Unavailable|Low(36),11.289095,76.678066,BENGAL|Unavailable|Unavailable|Low(36)",Alophoixus flaveolus,1949.1.14398,1
Manipur,India,,,24.75,93.833333,yes,High(82),Unavailable,,"25.621997,82.640132,MANIPUR|Unavailable|Unavailable|High(82),25.208295,83.984557,MANIPUR|Unavailable|Unavailable|High(82),24.948075,81.402671,MANIPUR|Unavailable|Unavailable|High(82),25.383149,83.926319,MANIPUR|Unavailable|Unavailable|High(82),25.481034,82.101691,MANIPUR|Unavailable|Unavailable|High(82),25.189676,83.466013,MANIPUR|Unavailable|Unavailable|High(82),24.801706,80.47892,MANIPUR|Unavailable|Unavailable|High(82),25.35395,80.354603,MANIPUR|Unavailable|Unavailable|High(82),24.75,93.833333,MANIPUR|Unavailable|Unavailable|High(82),30.315976,77.388617,MANIPUR|Unavailable|Unavailable|High(82),22.281944,88.911111,MANIPUR|Unavailable|Unavailable|High(82),24.81722,92.954619,MANIPUR|Unavailable|Unavailable|High(82),27.829293,78.345945,MANIPUR|Unavailable|Unavailable|High(82),26.609796,79.665193,MANIPUR|Unavailable|Unavailable|High(82),21.346106,78.001184,MANIPUR|Unavailable|Unavailable|High(82),25.57714,82.498353,MANIPUR|Unavailable|Unavailable|High(82),27.052721,79.358072,MANIPUR|Unavailable|Unavailable|High(82),25.923728,81.706253,MANIPUR|Unavailable|Unavailable|High(82),26.167184,81.669165,MANIPUR|Unavailable|Unavailable|High(82),25.969437,81.509504,MANIPUR|Unavailable|Unavailable|High(82),26.095622,82.346313,MANIPUR|Unavailable|Unavailable|High(82),25.046449,84.076917,MANIPUR|Unavailable|Unavailable|High(82),25.641044,84.309804,MANIPUR|Unavailable|Unavailable|High(82),21.09161,82.905846,MANIPUR|Unavailable|Unavailable|High(82),26.127344,81.637461,MANIPUR|Unavailable|Unavailable|High(82),26.368296,83.295984,MANIPUR|Unavailable|Unavailable|High(82),25.924477,81.310816,MANIPUR|Unavailable|Unavailable|High(82),26.598477,81.327491,MANIPUR|Unavailable|Unavailable|High(82),25.847924,80.80533,MANIPUR|Unavailable|Unavailable|High(82),26.269052,81.796057,MANIPUR|Unavailable|Unavailable|High(82),29.151646,78.67664,MANIPUR|Unavailable|Unavailable|High(82),25.469329,81.477235,MANIPUR|Unavailable|Unavailable|High(82),26.020347,81.883192,MANIPUR|Unavailable|Unavailable|High(82)",Alophoixus flaveolus,86.9.1.1434,1
"Sukna, Darjeeling",India,,,27.031651,88.260273,no,Medium(60),unavailable,,"27.031651,88.260273,(g3)Darjeeling|Unavailable|1368|Medium(60)",Alophoixus flaveolus,1921.7.12.988,1
Tripura,India,,,23.75,91.733333,no,High(82),unavailable,,"23.75,91.733333,TRIPURA|Unavailable|Unavailable|High(82),13.088787,75.562482,TRIPURA|Unavailable|Unavailable|High(82),24,92,TRIPURA|Unavailable|Unavailable|High(82)",Alophoixus flaveolus,86.9.1.1442,1
Ye,Myanmar,,,15.226048,97.926138,yes,,,,,Alophoixus ochraceus,86.9.1.1506,1
"LAWAS, SARAWAK, N.E BORNEO",Malaysia,,,4.8333,115.4167,yes,Low(37),Unavailable,,"1.5333,110.3333,SARAWAK|Unavailable|Unavailable|Low(37),2.5,113.5,SARAWAK|Unavailable|Unavailable|Low(37),4,115,BORNEO|Unavailable|Unavailable|Low(36),1,114,BORNEO|Unavailable|Unavailable|Low(36),4.5,115.416667,LAWAS|Unavailable|Unavailable|Low(35),4.8333,115.4167,LAWAS|Unavailable|Unavailable|Low(35),4.5,115.5,LAWAS|Unavailable|Unavailable|Low(35),4.8604,115.409,LAWAS|Unavailable|Unavailable|Low(35)",Alophoixus phaeocephalus,B/10346,1
MALACCA,Malaysia,,,2.191944,102.255833,no,High(82),unavailable,,"2.191944,102.255833,MALACCA|Unavailable|Unavailable|High(82),2.2333,102.2333,MALACCA|Unavailable|Unavailable|High(82),2.25,102.25,MALACCA|Unavailable|Unavailable|High(82)",Alophoixus phaeocephalus,B/331,1
"MORA BARUE, SAMARAHAN, SARAWAK",Malaysia,,,1.448785,110.494607,yes,Low(37),Unavailable,,"2.5,113.5,SARAWAK|Unavailable|Unavailable|Low(37),1.5333,110.3333,SARAWAK|Unavailable|Unavailable|Low(37)",Alophoixus phaeocephalus,1927.4.18.591,1
Gunung Magdalena,Malaysia,,,4.493505,117.938538,yes,,,,,Alophoixus phaeocephalus,1956.60.316,1
East London,South Africa,,,-33,27.9,no,High(86),unavailable,,"-33,27.9,EAST LONDON|Unavailable|Unavailable|High(86),-33.011051,27.910049,EAST LONDON|Unavailable|Unavailable|High(86),-33.01491,27.930743,(g3)East London|Unavailable|7349|Medium(61),-33.01491,27.930743,(g3)East London|Unavailable|7349|Medium(61)",Andropadus importunus,1952.50.5,1
"Ferndale, nr Patensie, 58 miles NW of Port Elizabeth","South Africa, South Africa",,,-33.754549,24.812592,yes,,,,,Andropadus importunus,"1960.18.6, 1960.18.7",2
