AviList,Subspecies,Collection,Specimen.number,Sex,Bill_TotalCulmen,Wing.Chord,Tail.Length,Comments,Measurer,Source_file,Date.collected,Locality,Beak.Width,Tarsus.Length
Alophoixus ochraceus,sacculatus,BMNH,12,m,22.2,110,104,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ochraceus,sacculatus,BMNH,1879,m,20.9,113,101,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ochraceus,sacculatus,BMNH,1891,m,20.2,111,106,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ochraceus,sumatranus,BMNH,308,m,21.1,112,103,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ochraceus,sumatranus,BMNH,306,m,22.5,115,99,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,fowleri,BMNH,583,m,21.7,121,90,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,fowleri,BMNH,22,m,NA,122,92,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,ruficrissus,BMNH,22,m,21.7,112,98,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,ruficrissus,BMNH,29,m,21.6,113,102,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,ruficrissus,BMNH,194,m,21.7,115,102,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,ruficrissus,BMNH,24,m,21,104,92,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,ruficrissus,BMNH,8,m,20.4,113,98,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,ruficrissus,BMNH,21,m,NA,112,100,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,ruficrissus,BMNH,316,m,22.1,102,99,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,fowleri,BMNH,23,f,NA,107,95,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,fowleri,BMNH,91,f,NA,109,95,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
Alophoixus ruficrissus,fowleri,BMNH,23,f,NA,103,92,NA,NJC,Alophoixus ochraceus morphometrics.xlsx,NA,NA,NA,NA
