speciesID,Family,English.Name,Scientific_Name,Collection,Number/Code,Date.collected,Locality,Country,Sex,Bill_TotalCulmen1,Bill_TotalCulmen2,Bill_TotalCulmen3,Bill_Width,Bill_Depth,Tarsus_Length_Left1,Tarsus_Length_Left2,Tarsus_Length_Left3,Tarsus_Length_Right1,Tarsus_Length_Right2,Tarsus_Length_Right3,Wing_Chord_Left,Wing_Chord_Right,Longest_primary,Longest_secondary,Sec_1,Kipp's_Distance,Tail_Length,Subspecies,Weight(g),Comments,Age,Measurer,Team
NA,Pycnonotidae,Red-whiskered Bulbul,Pycnonotus jocosus,Indian Institute of Science Education and Research Tirupati,a_4476,NA,"Kodaikanal, Tamil Nadu",India,U,15.8,16.1,15.7,5.2,5.2,21.5,22,21.9,22.3,22,22.1,71,72,70,62,NA,NA,NA,fuscicaudatus,31.21,NA,a,Faizee,Ashwin/Chiti
NA,Pycnonotidae,Red-whiskered Bulbul,Pycnonotus jocosus,Indian Institute of Science Education and Research Tirupati,a_7397,NA,"Kodaikanal, Tamil Nadu",India,U,20.6,20.9,20.8,6.1,5.6,20.5,20.8,20.3,20.7,20.7,20.7,80,85,73,61,NA,NA,84,fuscicaudatus,32.12,NA,a,Mubeen,Ashwin/Chiti
NA,Pycnonotidae,Red-whiskered Bulbul,Pycnonotus jocosus,Indian Institute of Science Education and Research Tirupati,a_271225,NA,"Kookal, Tamil Nadu",India,U,16.2,16.3,16.3,4.6,5,19.5,19.5,19.4,19.7,19.8,19.8,84,85,73,70,NA,NA,89,fuscicaudatus,30,NA,a,Chiti_Arvind,Ashwin/Chiti
NA,Pycnonotidae,Red-whiskered Bulbul,Pycnonotus jocosus,Indian Institute of Science Education and Research Tirupati,ab_159096,NA,"Kookal, Tamil Nadu",India,U,19.2,19.3,19.4,5.1,5.3,22.8,22.7,22.7,22.9,22.8,23,90,90,70,66,NA,NA,91,fuscicaudatus,39.5,NA,a,Archita_Sharma,Ashwin/Chiti
NA,Pycnonotidae,Red-whiskered Bulbul,Pycnonotus jocosus,Indian Institute of Science Education and Research Tirupati,a_271261,NA,"Kookal, Tamil Nadu",India,U,18.9,18.9,18.6,5.7,4.8,22.5,22.3,22.4,22.5,22.9,22.8,76,74,71,66,NA,NA,95,fuscicaudatus,35,NA,a,Chiti_Arvind,Ashwin/Chiti
NA,Pycnonotidae,Yellow-browed Bulbul,Acritillas indica,Indian Institute of Science Education and Research Tirupati,a_271263,NA,"Kookal, Tamil Nadu",India,U,18.6,18.6,18.6,5.5,5.1,16.7,16.7,16.6,16.7,16.7,16.7,87,87,65,60,NA,NA,81,indica,34,NA,a,Viral_Joshi,Ashwin/Chiti
NA,Pycnonotidae,Square-tailed Bulbul,Hypsipetes ganeesa,Indian Institute of Science Education and Research Tirupati,a_271264,NA,"Kookal, Tamil Nadu",India,U,25,25,24.9,6.4,6.1,18.4,18.3,18.4,18.4,18.4,18.4,113,113,95,78,NA,NA,100,ganeesa,47.5,NA,a,Chiti_Arvind,Ashwin/Chiti
NA,Pycnonotidae,Red-whiskered Bulbul,Pycnonotus jocosus,Indian Institute of Science Education and Research Tirupati,a_271267,NA,"Kookal, Tamil Nadu",India,U,18.8,18.6,18.1,4.9,5,21.9,21.5,21.3,21.4,21.8,21.9,93,93,79,72,NA,NA,100,fuscicaudatus,37,NA,a,Viral_Joshi,Ashwin/Chiti
NA,Pycnonotidae,Red-whiskered Bulbul,Pycnonotus jocosus,Indian Institute of Science Education and Research Tirupati,a_271268,NA,"Kookal, Tamil Nadu",India,U,15.3,15.6,15.4,5.1,5.6,20.5,20.9,20.4,20.9,20.8,20.3,89,88,78,70,NA,NA,92,fuscicaudatus,35,NA,a,Viral_Joshi,Ashwin/Chiti
NA,Pycnonotidae,Red-whiskered Bulbul,Pycnonotus jocosus,Indian Institute of Science Education and Research Tirupati,a_271269,NA,"Kookal, Tamil Nadu",India,U,17.8,17.7,17.9,5.3,5.5,22.5,22.7,22.5,22.5,22.4,22.5,89,90,69,68,NA,NA,90,fuscicaudatus,39,NA,a,Archita_Sharma,Ashwin/Chiti
