Country,Site,Date,Species,Age,Sex,Weight,Measurer,Band_ID,Wing_length,Tarsus_length,Bill_length,Bill_height,Bill_width,,,
Malaysia,Bishop,27-May-16,Alophoixus ochraceus,A,F,48,MCKS,2UWA16K,105,21.2,20.45,7.56,7.23,,,
Malaysia,Bishop,27-May-16,Alophoixus ochraceus,A,F,43.5,MCKS,4UWA16K,106,21.68,20.65,6.69,7.05,,,
Malaysia,Bishop,27-May-16,Alophoixus ochraceus,A,Unsure,43,MCKS,5UWA16K,110,21.55,21.2,7.6,6.22,,,
Malaysia,Brinchang,04-Jun-16,Ixos mcclellandi,A,M,32.5,MCKS,9UWA16G,95,17.14,21.1,5.6,7.18,,,
Malaysia,Forestry ,07-Jun-16,Ixos mcclellandi,A,M,33,MCKS,14UWA16G,99,16.2,21.86,5.9,7.29,,,
Malaysia,Tea ,08-Jun-16,Pycnonotus goiavier,A,F,28,MCKS,15UWA16G,84,21.03,16.07,5.2,5.98,,,
Malaysia,Tea ,08-Jun-16,Pycnonotus goiavier,A,F,26.5,MCKS,16UWA16G,78,19.83,16.15,5.07,6.38,,,
Malaysia,Tea ,09-Jun-16,Pycnonotus goiavier,A,M,30,MCKS,20UWA16G,85,20.43,16.62,5.17,6.32,,,
Malaysia,Lojing logged,15-Jun-16,Ixos mcclellandi,A,M,26,MCKS,90UWA16E,92,17.34,23.74,5.67,6.6,,,
Malaysia,Lojing logged,15-Jun-16,Ixos mcclellandi,A,M,32,MCKS,91UWA16E,96,16.62,22.23,5.91,6.08,,,
Malaysia,Lojing logged,15-Jun-16,Pycnonotus finlaysoni,A,F,25,MCKS,29UWA16G,80,18.86,16.62,5.17,6.36,,,
Malaysia,Lojing logged,15-Jun-16,Pycnonotus finlaysoni,A,Unsure,28,MCKS,30UWA16G,80,19.57,16.04,5.51,6.24,,,
Malaysia,Lojing logged,15-Jun-16,Pycnonotus finlaysoni,A,Unsure,26,MCKS,31UWA16G,76,19.32,14.91,5.39,5.79,,,
Malaysia,Lojing logged,15-Jun-16,Ixos mcclellandi,A,Unsure,30,MCKS,NA,91,17.37,23.68,5.16,5.67,,,
Malaysia,Pine,03-Aug-16,Alophoixus ochraceus,A,Unsure,42,MCKS,7UWA16K,100,21.32,22.33,7.46,8.26,,,
Malaysia,Bishop,05-Aug-16,Alophoixus ochraceus,A,Unsure,47,MCKS,8UWA16K,114,19.99,22.17,7.46,8.04,,,
Malaysia,Forestry ,15-Aug-16,Ixos mcclellandi,A,M,32,MCKS,37UWA16G,104,17.12,23.57,5.47,5.96,,,
Malaysia,Lojing logged,24-Aug-16,Ixos mcclellandi,A,M,32,MCKS,155UWA16E,97,17.3,24.95,5.64,5.83,,,
Malaysia,Lojing logged,24-Aug-16,Rubigula flaviventris,A,M,24.5,MCKS,157UWA16E,80,16.42,16.53,5.13,6.96,,,
Malaysia,Lojing logged,24-Aug-16,Rubigula flaviventris,A,F,27,MCKS,158UWA16E,76,15.5,16.64,4.59,6.29,,,
Malaysia,Lojing logged,24-Aug-16,Ixos mcclellandi,A,F,32,MCKS,164UWA16E,93,17.35,22.24,5.12,5.95,,,
Malaysia,Bishop ,05-Nov-16,Ixos mcclellandi,A,M,33,MCKS,175UWA16E,99,17.15,22.63,5.88,6.88,,,
Malaysia,Bishop ,05-Nov-16,Ixos mcclellandi,A,F,29.5,MCKS,176UWA16E,93,16.46,23.56,5.8,7.1,,,
Malaysia,Tea ,16-Nov-16,Pycnonotus goiavier,A,Unsure,29.5,MCKS,53UWA16G,88,22.02,16.3,4.96,6.24,,,
Malaysia,Forestry ,17-Nov-16,Ixos mcclellandi,A,Unsure,32.5,MCKS,205UWA16E,94,17.87,23.34,5.91,7.03,,,
Malaysia,Forestry ,17-Nov-16,Ixos mcclellandi,A ,Unsure,38,MCKS,206UWA16E,100,18.6,26.72,6.14,6.68,,,
