Family,Scientific_Name,Collection,Number/Code,Date collected,Locality,Country,Sex,Total.culmen,Length.of.bill.from.nostril,Bill.width,Bill.depth,Gape.width,Tarsus.length,Tail.length,Wing.length,First.secondary.length,Subspecies,Comments,Lifestage,Measurer
Pycnonotidae,Hypsipetes borbonicus,University of Michigan Museum of Zoology,25152,,no specific locality,Mauritius,?,23.02,11.6,6.5,7.72,11.43,26.76,113.58,131.04,105.21,,,,Charlotte M. Probst
Pycnonotidae,Hypsipetes guimarasensis,University of Michigan Museum of Zoology,206405,9/1/1982,"Lake Balinsasayao, Abaca Ridge",Philippines,male,24.88,14.61,5.92,6.99,13.05,21.19,101.53,107.5,93.5,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,68997,2/14/1929,Chapa,North Vietnam,male,23.1,15.52,4.87,5.67,11.63,17.83,103.47,106.79,87.72,similis,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,89752,2/17/1905,Pestroke,India,female,23.16,15.04,4.99,6.21,11.73,18.01,98.81,106.43,86.66,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185530,9/28/1951,"Khasi Hills, Mawrygkneng",India,male,23.25,14.81,5.72,6.28,11.47,19.75,99.22,101.25,84.54,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185531,10/21/1951,"Khasi Hills, Mawrygkneng",India,male,22.7,14.9,6.12,6.08,12.45,18.38,97.44,104.31,87.39,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185532,11/2/1951,"Khasi Hills, Mawrygkneng",India,female,22.87,14.4,5.49,6.06,13.75,19.1,89.54,98.69,84.42,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185533,11/2/1951,"Khasi Hills, Mawrygkneng",India,female,21.82,13.91,5.83,6.06,11.6,17.59,99.9,101.08,88.15,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185534,11/16/1951,"Khasi Hills, Mawrygkneng",India,female,22.86,12.86,5.04,5.52,10.57,19.42,98.86,102.34,85.68,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185535,11/3/1951,"Khasi Hills, Mawrygkneng",India,male,23.63,14.72,5.59,5.74,12.23,18.86,NA,100.94,87.11,,no tail,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185536,11/3/1951,"Khasi Hills, Mawrygkneng",India,male,20.91,13.54,5.37,5.8,10.98,17.5,104.22,105.04,89.23,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185537,11/5/1951,"Khasi Hills, Mawrygkneng",India,female,23.65,14.26,5.01,6.72,11.86,16.55,106.28,101.36,87.58,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185538,11/16/1951,"Khasi Hills, Mawrygkneng",India,female,20.51,13.27,4.67,5.57,11.07,16.78,103.73,106.44,92.4,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185539,11/16/1951,"Khasi Hills, Mawrygkneng",India,female,20.04,12.26,4.76,5.65,9.75,18.35,85.37,98.9,83.31,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185540,11/26/1951,"Khasi Hills, Mawrygkneng",India,female,33.29,24.83,15.84,15.69,19.95,28.96,107.49,112.9,96.93,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185541,11/26/1951,"Khasi Hills, Mawrygkneng",India,male,21.91,14.26,5.88,5.68,10.65,19.25,113.62,107.5,89.16,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185542,11/28/1951,"Khasi Hills, Mawrygkneng",India,male,22.99,13.49,5.24,5.68,11.31,19.06,98.8,108.03,89.39,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185543,12/1/1951,"Khasi Hills, Mawrygkneng",India,male,24.89,15.73,5.5,6.92,12.33,20.38,105.64,110.05,88.81,,,,Charlotte M. Probst
Pycnonotidae,Ixos mcclellandii,University of Michigan Museum of Zoology,185544,12/1/1951,"Khasi Hills, Mawrygkneng",India,male,22.58,16.42,5.8,6.7,10.15,18.46,101.51,101.47,86.42,,,,Charlotte M. Probst
