CatalogNumber,Collection,Scientific Name,priority,Sex,Date,Country,Locality,Total.culmen,Length.of.bill.from.nostril,Bill.width,Bill.depth,Gape.width,Tarsus.length,Tail.length,Wing.length,First.secondary.length,Measurer,Lat,Lon
57570,University of Michigan Museum of Zoology,Pycnonotus sinensis,1,f,NA,China,Nanking,14.35,8.62,4.38,5.41,11.04,22.49,72.94,85.67,68.79,BRW,32.0406765,118.77388
185327,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,"Khasi Hills, Mawrygkneng",15.06,9.39,4.46,5.9,9.89,15.33,77.46,85.73,72.63,BRW,25.554509,92.060499
185292,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Pai Khai,15.08,8.37,5.13,4.7,9.46,17.02,78.71,87.65,73.45,BRW,23.6333333,92.75
185345,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Bamanigaon,15.09,10.72,5.31,5.38,11.95,18.8,81.28,89.4,77.35,BRW,26.070875,91.423048
185307,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Blue Mountain,15.15,9.74,5.29,4.86,10.53,16.2,80.33,89.58,75.09,BRW,23.390356,92.718309
185302,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Sangau,15.2,8.77,4.5,5.01,9.66,16.97,74.97,85.4,73.16,BRW,22.7413563,93.0572032
238802,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Mawryngkneng,15.29,NA,NA,NA,8.5,15.9,77.27,81.91,70.38,BRW,25.554509,92.060499
23664,University of Michigan Museum of Zoology,Rubigula squamata,1,m,NA,Malaysia,no specific locality,15.39,8.49,4.45,4.01,8.05,16.15,60.73,76.78,68.59,BRW,2.326361,102.281699
185288,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Aizawl,15.4,10.34,4.71,4.89,9.43,15.28,77.44,84.26,72.1,BRW,23.7333345,92.7166634
185344,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Haflong,15.47,8.26,4.01,5.07,9.77,16.34,83.12,89,77.57,BRW,25.1833324,93.0333366
185308,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Tura,15.51,9.25,4.6,4.69,10.04,16.88,79.22,90.39,75.63,BRW,25.514671,90.201036
185294,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Pai Khai,15.52,8.99,4.62,4.93,11.18,16.08,80.06,87.38,77.08,BRW,23.6333333,92.75
185286,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Lechiwala,15.58,8.33,4.96,5.02,10.8,16.52,80.36,90.15,78.19,BRW,30.210677,78.135177
204711,University of Michigan Museum of Zoology,Arizelocichla montana,1,u,NA,Nigeria,Obudu Plateau,15.61,8.09,4.1,4.1,8.96,21.52,75.03,79.23,68.96,BRW,6.6666667,9.15
91734,University of Michigan Museum of Zoology,Ixonotus guttatus,1,m,NA,DRC,Saidi,15.69,9.39,4.37,4.6,11.05,19.2,75.45,87.92,NA,BRW,NA,NA
185304,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Sangau,15.7,8.9,4.78,4.77,10.09,15.83,84.08,90.12,77.81,BRW,22.7413563,93.0572032
185310,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Tura,15.72,8.42,4.23,4.77,9.46,16.09,78.52,86.41,74.77,BRW,25.514671,90.201036
185303,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Sangau,15.76,9.25,4.76,4.57,10.66,15.79,78.57,84.18,72.47,BRW,22.7413563,93.0572032
185341,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Haflong,15.78,10.07,4.63,4.95,9.85,15.95,81.84,86.54,75.35,BRW,25.1833324,93.0333366
185317,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Nichuguard,15.87,8.51,4.36,5.07,9.98,16.6,76.97,86.11,73.77,BRW,25.8166676,93.7833336
185335,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,"Khasi Hills, Mawphlang",15.87,8.43,4.33,4.96,9.23,17.51,76.08,88.36,75.72,BRW,25.4666667,91.7666667
185282,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Lechiwala,15.88,9.62,4.28,5.11,10.6,16.53,80.77,92.11,78.9,BRW,30.210677,78.135177
185343,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Haflong,15.89,8.67,3.43,5.03,10.32,NA,81.74,87.18,75.55,BRW,25.1833324,93.0333366
185315,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,f,NA,India,Kohima,16,9.56,4.14,4.58,8.58,17.11,74.03,85.14,73.18,BRW,25.6666667,94.1166649
185284,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Lechiwala,16.02,9.65,5.23,5.48,10.32,16.59,83.71,92.82,76.91,BRW,30.210677,78.135177
185293,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Pai Khai,16.05,10.83,5.14,5,10.23,16.25,77.87,89,76.61,BRW,23.6333333,92.75
185309,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Tura,16.08,10.08,4.08,4.91,9.75,16.65,79.75,86.93,74.51,BRW,25.514671,90.201036
185320,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,u,NA,India,"Khasi Hills, Mawrygkneng",16.11,8.33,3.97,4.75,9.56,15.61,72.04,84.87,72.01,BRW,25.554509,92.060499
185287,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Aizawl,16.13,9.35,4.56,5.1,10.25,16.45,73.89,88.44,77.04,BRW,23.7333345,92.7166634
91735,University of Michigan Museum of Zoology,Ixonotus guttatus,1,f,NA,DRC,Saidi,16.16,9.37,4.88,5,9.09,17.64,74.72,92.17,74.37,BRW,NA,NA
185314,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Kohima,16.18,8.18,4.42,4.94,9.08,17.29,77.02,88.53,74.37,BRW,25.6666667,94.1166649
185328,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,"Khasi Hills, Mawrygkneng",16.23,11,5.15,5.02,11.73,16.58,80.24,90.5,77.89,BRW,25.554509,92.060499
185324,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,"Khasi Hills, Mawrygkneng",16.25,9.28,4.45,5.33,10.27,17.44,78.63,86.24,72.72,BRW,25.554509,92.060499
185326,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,"Khasi Hills, Mawrygkneng",16.25,10.61,4.38,4.77,8.65,16.84,79.63,86.76,74.68,BRW,25.554509,92.060499
185316,University of Michigan Museum of Zoology,Rubigula flaviventris,NA,m,NA,India,Kohima,16.3,8.42,4.23,5.1,8.71,16.88,79.58,91.08,75.9,BRW,25.6666667,94.1166649
