tax_id,Order,Family,Species,Density_log10,SD_log10,Q2.5_log10,Q5_log10,Q25_log10,Q75_log10,Q95_log10,Q97.5_log10,Predicted_Density_n_km2,Q2.5,Q5,Q25,Q75,Q95,Q97.5
22695535,Accipitriformes,Accipitridae,Accipiter_albogularis,0.852965467,0.519306483,-0.168688075,0.000444771,0.500885336,1.202402543,1.706266886,1.860562262,7.128,0.678,1.001,3.169,15.937,50.847,72.537
22695490,Accipitriformes,Accipitridae,Accipiter_badius,0.470961744,0.52892934,-0.561790221,-0.397299796,0.11408785,0.827456507,1.340591703,1.506000994,2.958,0.274,0.401,1.3,6.721,21.907,32.063
22695669,Accipitriformes,Accipitridae,Accipiter_bicolor,0.56567579,0.537462471,-0.484591107,-0.316829927,0.203315095,0.927889894,1.448519987,1.617053717,3.679,0.328,0.482,1.597,8.47,28.088,41.405
22695605,Accipitriformes,Accipitridae,Accipiter_brachyurus,0.89877758,0.515582146,-0.096633715,0.056824352,0.552601208,1.251125425,1.749069086,1.899227393,7.921,0.801,1.14,3.569,17.829,56.114,79.292
22695499,Accipitriformes,Accipitridae,Accipiter_brevipes,0.447791483,0.519377735,-0.567133812,-0.40478778,0.097500277,0.797863663,1.301068215,1.464087925,2.804,0.271,0.394,1.252,6.279,20.002,29.113
22695486,Accipitriformes,Accipitridae,Accipiter_castanilius,0.806156118,0.521706221,-0.214729299,-0.050574243,0.45484467,1.158371167,1.66200233,1.824693833,6.4,0.61,0.89,2.85,14.4,45.92,66.787
22695599,Accipitriformes,Accipitridae,Accipiter_cirrocephalus,0.789879852,0.519556914,-0.228348486,-0.06549453,0.440777759,1.139730534,1.642300951,1.80481338,6.164,0.591,0.86,2.759,13.795,43.883,63.799
22695568,Accipitriformes,Accipitridae,Accipiter_collaris,0.6656772,0.518522277,-0.346282264,-0.18298451,0.31636265,1.014293075,1.520161996,1.68419275,4.631,0.451,0.656,2.072,10.335,33.125,48.327
22695656,Accipitriformes,Accipitridae,Accipiter_cooperii,0.346243626,0.527679342,-0.684917812,-0.519664151,-0.009513796,0.701651111,1.213888155,1.378831167,2.219,0.207,0.302,0.978,5.031,16.364,23.924
22695596,Accipitriformes,Accipitridae,Accipiter_erythrauchen,0.937224631,0.520079513,-0.083196727,0.0830822,0.587362116,1.286051281,1.792197187,1.956792602,8.654,0.826,1.211,3.867,19.322,61.972,90.53
22695576,Accipitriformes,Accipitridae,Accipiter_erythropus,0.861511232,0.521216567,-0.158193258,0.004676144,0.510393595,1.212925498,1.716877779,1.879974203,7.27,0.695,1.011,3.239,16.328,52.105,75.853
22695527,Accipitriformes,Accipitridae,Accipiter_fasciatus,0.635416428,0.51867449,-0.379834449,-0.217254486,0.285960542,0.984848372,1.48788752,1.648312972,4.319,0.417,0.606,1.932,9.657,30.753,44.495
22695508,Accipitriformes,Accipitridae,Accipiter_francesiae,0.843835814,0.51244685,-0.158784975,0.002194962,0.498416141,1.190415809,1.683246005,1.844791853,6.98,0.694,1.005,3.151,15.503,48.222,69.951
22695683,Accipitriformes,Accipitridae,Accipiter_gentilis,0.171218081,0.520800499,-0.846804031,-0.683750125,-0.179995526,0.522014039,1.027511499,1.190881463,1.483,0.142,0.207,0.661,3.327,10.654,15.52
22695465,Accipitriformes,Accipitridae,Accipiter_griseiceps,0.771936801,0.518144588,-0.243034263,-0.082270761,0.422699576,1.119602747,1.626733144,1.789402612,5.915,0.571,0.827,2.647,13.171,42.338,61.575
22695585,Accipitriformes,Accipitridae,Accipiter_gularis,0.426737546,0.521799303,-0.594368459,-0.430397749,0.075463016,0.778982531,1.282979336,1.447428447,2.671,0.254,0.371,1.19,6.011,19.186,28.017
22695659,Accipitriformes,Accipitridae,Accipiter_gundlachi,0.550212365,0.523983268,-0.472655947,-0.31214677,0.197958265,0.90293326,1.410671664,1.575623151,3.55,0.337,0.487,1.577,7.997,25.744,37.638
22695541,Accipitriformes,Accipitridae,Accipiter_haplochrous,0.683265199,0.515520011,-0.315175997,-0.176459944,0.334148445,1.021906305,1.528712636,1.698072008,4.822,0.484,0.666,2.158,10.517,33.784,49.897
22695544,Accipitriformes,Accipitridae,Accipiter_henicogrammus,0.776935134,0.510461551,-0.211302382,-0.058664755,0.430134232,1.124641434,1.623908078,1.766245604,5.983,0.615,0.874,2.692,13.324,42.064,58.378
22695678,Accipitriformes,Accipitridae,Accipiter_henstii,0.410972335,0.515370498,-0.601757023,-0.437862176,0.065914353,0.757910442,1.257046889,1.419564095,2.576,0.25,0.365,1.164,5.727,18.074,26.276
22695553,Accipitriformes,Accipitridae,Accipiter_imitator,0.869365787,0.514893686,-0.130372238,0.029304376,0.52331561,1.220403212,1.715705024,1.866018219,7.402,0.741,1.07,3.337,16.611,51.964,73.454
22695547,Accipitriformes,Accipitridae,Accipiter_luteoschistaceus,0.844758791,0.519046371,-0.168712756,-0.006340055,0.49639002,1.19724349,1.692778051,1.85874753,6.995,0.678,0.986,3.136,15.749,49.292,72.235
22695613,Accipitriformes,Accipitridae,Accipiter_madagascariensis,0.690333024,0.516480532,-0.324448512,-0.159200316,0.341033501,1.04050854,1.536356572,1.690455782,4.902,0.474,0.693,2.193,10.978,34.384,49.029
22695532,Accipitriformes,Accipitridae,Accipiter_melanochlamys,0.786542046,0.520126596,-0.224150637,-0.064103391,0.435134784,1.134208653,1.642486674,1.810644941,6.117,0.597,0.863,2.724,13.621,43.902,64.661
22695673,Accipitriformes,Accipitridae,Accipiter_melanoleucus,0.626676338,0.519301955,-0.389639771,-0.226612038,0.276770272,0.976891504,1.479127677,1.641899535,4.233,0.408,0.593,1.891,9.482,30.139,43.843
22695689,Accipitriformes,Accipitridae,Accipiter_meyerianus,0.657216851,0.518048806,-0.359922087,-0.198000683,0.307774652,1.007923339,1.504230736,1.668017001,4.542,0.437,0.634,2.031,10.184,31.932,46.56
22695581,Accipitriformes,Accipitridae,Accipiter_minullus,0.90833275,0.519055761,-0.104044245,0.05816023,0.557570829,1.258261207,1.759918735,1.922209514,8.097,0.787,1.143,3.611,18.124,57.533,83.601
22695591,Accipitriformes,Accipitridae,Accipiter_nanus,0.844379448,0.514439726,-0.164394258,-0.003188891,0.49902157,1.189410487,1.686171511,1.847902496,6.988,0.685,0.993,3.155,15.467,48.548,70.453
22695624,Accipitriformes,Accipitridae,Accipiter_nisus,0.333215799,0.520078894,-0.683315948,-0.520521759,-0.017339241,0.683845896,1.187639549,1.350591057,2.154,0.207,0.302,0.961,4.829,15.404,22.418
22727714,Accipitriformes,Accipitridae,Accipiter_novaehollandiae,0.438041871,0.517072921,-0.571295044,-0.411739269,0.090335349,0.786464996,1.287379682,1.448786593,2.742,0.268,0.387,1.231,6.116,19.381,28.105
22695619,Accipitriformes,Accipitridae,Accipiter_ovampensis,0.6956528,0.523893626,-0.328123225,-0.16559206,0.342517577,1.048254357,1.556978539,1.721650276,4.962,0.47,0.683,2.2,11.175,36.056,52.681
22695558,Accipitriformes,Accipitridae,Accipiter_poliocephalus,0.812341216,0.517921647,-0.199700717,-0.03822477,0.463042285,1.161196819,1.66394695,1.824353531,6.491,0.631,0.916,2.904,14.494,46.126,66.735
