Species,Predicted Density n km2,Density log10
Alophoixus bres,14.592,1.164128304
Iole finschii,18.049,1.256452993
Alophoixus flaveolus,12.738,1.105097167
Alophoixus ochraceus,17.394,1.240400289
Alophoixus pallidus,14.627,1.165159203
Alophoixus phaeocephalus,16.877,1.227283095
Eurillas ansorgei,19.343,1.286524121
Eurillas curvirostris,16.079,1.206264204
Stelgidillas gracilirostris,17.098,1.232943636
Eurillas gracilis,16.714,1.223074155
Andropadus importunus,11.962,1.077796655
Eurillas latirostris,17.82,1.250915593
Arizelocichla masukuensis,11.815,1.072450794
Arizelocichla montana,18.316,1.262826243
Arizelocichla tephrolaemus,17.695,1.247850196
Eurillas virens,17.83,1.251153189
Baeopogon clamans,15.446,1.188822151
Baeopogon indicator,15.609,1.19338316
Bleda canicapillus,14.449,1.159849788
Bleda eximius,15.284,1.184247675
Bleda notatus,14.322,1.156014084
Bleda syndactylus,11.808,1.072168054
Calyptocichla serinus,16.504,1.217585921
Chlorocichla falkensteini,15.201,1.181875608
Chlorocichla flaviventris,12.662,1.102489536
Chlorocichla laetissima,12.693,1.103556281
Chlorocichla prigoginei,13.469,1.129324565
Chlorocichla simplex,14.106,1.14939544
Criniger barbatus,13.045,1.115443617
Criniger calurus,12.478,1.09615817
Criniger chloronotus,12.786,1.106747424
Criniger ndussumensis,15.111,1.179279478
Criniger olivaceus,15.811,1.198949058
Hemixos castanonotus,7.647,0.883518681
Hemixos flavala,12.243,1.087872727
Hypsipetes borbonicus,12.772,1.106269874
Hypsipetes crassirostris,10.22,1.009456436
Hypsipetes leucocephalus,6.823,0.833994007
Hypsipetes madagascariensis,11.028,1.042511234
Ixos mcclellandii,10.579,1.024454835
Hypsipetes olivaceus,11.131,1.046523944
Hypsipetes parvirostris,12.749,1.105479317
Hypsipetes thompsoni,17.077,1.232402571
Acritillas indica,16.373,1.214125721
Iole crypta,18.175,1.259477144
Iole charlottae,18.175,1.259477144
Iole propinqua,14.478,1.160719589
Iole viridescens,16.468,1.216651829
Ixonotus guttatus,18.148,1.258822365
Hypsipetes amaurotis,6.182,0.791138074
Ixos malaccensis,18.349,1.263606046
Ixos palawanensis,18.828,1.274808068
Hypsipetes philippinus,17.871,1.252146402
Hypsipetes rufigularis,17.604,1.245615094
Hypsipetes siquijorensis,17.017,1.23088097
Neolestes torquatus,10.943,1.039129602
Phyllastrephus baumanni,15.472,1.189547493
Phyllastrephus cabanisi,13.294,1.123643479
Phyllastrephus cerviniventris,10.52,1.022011716
Phyllastrephus fischeri,13.492,1.130089979
Phyllastrephus flavostriatus,12.209,1.08666552
Phyllastrephus fulviventris,5.588,0.747242258
Phyllastrephus hypochloris,13.474,1.129480717
Phyllastrephus poensis,14.364,1.157268406
Phyllastrephus poliocephalus,12.262,1.088569083
Phyllastrephus strepitans,10.091,1.003943744
Phyllastrephus terrestris,13.383,1.126566663
Phyllastrephus xavieri,13.821,1.140533248
Pycnonotus aurigaster,10.081,1.00349597
Pycnonotus barbatus,17.728,1.248661138
Pycnonotus blanfordi,12.673,1.10286298
Pycnonotus brunneus,19.533,1.290759991
Pycnonotus cafer,9.681,0.98591193
Pycnonotus capensis,7.388,0.868507944
Rubigula cyaniventris,20.655,1.315016029
Rubigula erythropthalmos,21.451,1.331457443
Microtarsus eutilotus,18.48,1.266691221
Pycnonotus goiavier,14.256,1.154007084
Nok hualon,18.159,1.259096035
Pycnonotus jocosus,11.18,1.048432153
Pycnonotus leucogenys,5.874,0.768897379
Ixos leucogrammicus,17.197,1.235441704
Pycnonotus leucotis,8.732,0.941091327
Pycnonotus luteolus,12.461,1.095541005
Microtarsus melanoleucos,19.062,1.280158159
Microtarsus nieuwenhuisii,17.824,1.250997732
Pycnonotus nigricans,4.529,0.656045711
Pycnonotus penicillatus,16.324,1.212816029
Microtarsus priocephalus,15.803,1.198751014
Pycnonotus sinensis,8.639,0.936451065
Rubigula squamata,19.84,1.29753482
Alcurus striatus,10.414,1.017633155
Pycnonotus taivanus,14.581,1.163793832
Pycnonotus tympanistrigus,18.023,1.25581995
Microtarsus urostictus,19.941,1.29974374
Pycnonotus xantholaemus,15.62,1.193671726
Pycnonotus xanthopygos,10.665,1.027970372
Pycnonotus xanthorrhous,9.331,0.96993976
Pycnonotus zeylanicus,15.876,1.200753681
Phyllastrephus scandens,13.236,1.121749461
Setornis criniger,19.503,1.290102855
Spizixos canifrons,9.54,0.979559579
Spizixos semitorques,8.064,0.906563414
Thescelocichla leucopleura,15.703,1.195995679
Tricholestes criniger,19.6,1.292254786
