Scientific.name,Abundance.estimate,Range.Size,Density
Pycnonotus barbatus,37890265,19572184.19,1.935924199
Pycnonotus jocosus,27878183,5185044.87,5.376652218
Pycnonotus leucotis,21091177,2206861.39,9.557091848
Pycnonotus cafer,20380192,4173278.58,4.883496658
Pycnonotus sinensis,16721235,3154277.75,5.301129553
Pycnonotus goiavier,16507253,2111233.61,7.818771415
Pycnonotus xanthorrhous,12706633,1741022.34,7.298374471
Hypsipetes leucocephalus,9065998,4614841.53,1.96453073
Hypsipetes amaurotis,8425976,482417.45,17.46615094
Pycnonotus xanthopygos,7663697,1313216.5,5.835821435
Eurillas latirostris,6508367,3682285.72,1.767480173
Pycnonotus aurigaster,6040895,2959739.34,2.04102264
Spizixos semitorques,5822456,2328094.86,2.500953075
Pycnonotus nigricans,4943963,2129772.01,2.321357862
Eurillas virens,4757899,5766996.33,0.825022027
Pycnonotus conradi,3354684,1253924.24,2.675348233
Microtarsus melanocephalos,3071822,2968877.33,1.034674612
Pycnonotus leucogenys,2810816,378023.58,7.435557327
Hypsipetes madagascariensis,2451548,591386.99,4.14542092
Pycnonotus luteolus,2416767,1386882.2,1.742589962
Chlorocichla flaviventris,2399410,3986239.89,0.601923132
Ixos mcclellandii,2338152,2391920.69,0.977520705
Andropadus importunus,1916404,1338546.67,1.43170503
Phyllastrephus terrestris,1891626,2434586.59,0.776980374
Pycnonotus plumosus,1791955,1506344.75,1.189604836
Chlorocichla simplex,1785057,4003835.48,0.445836751
Ixonotus guttatus,1752357,2790568.64,0.62795696
Alophoixus pallidus,1660404,1388165.23,1.196114097
Stelgidillas gracilirostris,1609637,3807444.87,0.422760422
Bleda syndactylus,1606067,3527560.89,0.455291078
Pycnonotus flavescens,1559805,917016.17,1.70095692
Thescelocichla leucopleura,1465911,3240183.59,0.452416031
Pycnonotus finlaysoni,1463832,1253924.24,1.167400672
Hemixos flavala,1436826,1098549.78,1.307929805
Pycnonotus brunneus,1372506,1138188.08,1.205869244
Hemixos castanonotus,1355720,979934.26,1.383480561
Hypsipetes philippinus,1315837,232032.85,5.670908236
Atimastillas flavicollis,1069959,1683203.48,0.635668244
Rubigula erythropthalmos,953920,1241474.05,0.768376915
Alophoixus flaveolus,891464,559779.47,1.592527143
Phyllastrephus flavostriatus,878365,444379.94,1.976608125
Eurillas ansorgei,869095,1858480.06,0.467637517
Alophoixus ochraceus,866823,407080.06,2.129367378
Eurillas curvirostris,755544,3502649.29,0.215706437
Pycnonotus capensis,739565,151666.39,4.876261642
Pycnonotus simplex,737763,1340820.45,0.550232509
Iole propinqua,733015,1237485.99,0.59234206
Acritillas indica,727113,219041.39,3.31952331
Phyllastrephus debilis,716472,199654.82,3.588553484
Hypsipetes ganeesa,712607,238034.77,2.9937097
Phyllastrephus icterinus,691717,2473054.92,0.279701431
Pycnonotus blanfordi,683646,1240819.12,0.550963464
Tricholestes criniger,672650,1220380.84,0.5511804
Phyllastrephus albigularis,672025,2136746.72,0.314508497
Spizixos canifrons,657979,1162572.35,0.565968217
Bleda notatus,588238,674577.61,0.872009375
Alcurus striatus,578644,1082921.86,0.534335875
Criniger calurus,568954,3299941.84,0.172413342
Baeopogon indicator,525350,4280773.28,0.122723154
Iole viridescens,503950,293077.58,1.719510581
Microtarsus priocephalus,500537,99388.86,5.036147914
Chlorocichla falkensteini,475887,978923.36,0.486133051
Phyllastrephus xavieri,475359,968575.23,0.490781702
Microtarsus urostictus,449696,207679.01,2.165341601
Arizelocichla nigriceps,448783,248447.89,1.806346594
Alophoixus phaeocephalus,438136,1368840.15,0.320078279
Hypsipetes guimarasensis,404853,82727.31,4.893825268
Phyllastrephus strepitans,402929,1347241.75,0.299076985
Phyllastrephus cabanisi,402189,1995009.62,0.201597524
Phyllastrephus scandens,382965,3269576.15,0.117129861
Rubigula gularis,371125,82001.29,4.525843435
Iole crypta,363774,1131173.67,0.321589876
Criniger ndussumensis,344484,1455617.86,0.236658267
Ixos malaccensis,342679,976235.84,0.351020712
Rubigula cyaniventris,342497,926808.78,0.369544406
Hypsipetes mysticalis,305365,8321.06,36.69784859
Iole charlottae,292768,1131173.67,0.258817905
Phyllastrephus cerviniventris,288082,1170058.23,0.246211678
Hypsipetes thompsoni,271776,186717.31,1.455547962
Arizelocichla tephrolaema,268546,59489.94,4.514141383
Bleda canicapillus,248380,1094053.69,0.227027249
Criniger chloronotus,242246,1204957.83,0.20104106
Hypsipetes chloris,229925,22982.25,10.00445996
Rubigula squamata,211868,296711.64,0.71405355
Microtarsus eutilotus,209111,821688.28,0.254489452
Hypsipetes affinis,208323,18011.55,11.56607843
Calyptocichla serinus,207999,1315030.41,0.158170487
Chlorocichla laetissima,204062,137013.1,1.489361236
Eurillas gracilis,199462,3552112.86,0.056153058
Hypsipetes everetti,188799,82727.31,2.282184686
Pycnonotus xantholaemus,168014,346866.77,0.484376177
Phyllastrephus poliocephalus,163519,31377.95,5.211270972
Arizelocichla montana,146148,61327.27,2.383083415
Iole finschii,142250,779808.76,0.18241652
Rubigula montis,126887,228290.83,0.555812951
Microtarsus melanoleucos,122496,1181602.12,0.103669415
Criniger barbatus,115565,646336.43,0.178800072
Hypsipetes olivaceus,111206,129.38,NA
Arizelocichla masukuensis,97477,163721.68,0.595382359
Phyllastrephus hypochloris,85165,134659.57,0.632446695
Hypsipetes lucasi,78091,2537.03,30.78047954
Hypsipetes mindorensis,74319,5018.51,14.80897717
Phyllastrephus poensis,70206,44370.69,1.582260722
Neolestes torquatus,59695,813954.89,0.073339445
Phyllastrephus fischeri,43002,270855.04,0.158763891
Criniger olivaceus,40628,239103.58,0.169917991
Iole cacharensis,37285,11492.84,3.244193776
Rubigula flaviventris,33065,2187721.2,0.0151139
Rubigula melanictera,30406,62208.81,0.488773214
Setornis criniger,23381,775317.21,0.030156689
Bleda eximius,22303,339296.54,0.065733061
Hypsipetes longirostris,18746,4637.55,4.042220569
Ixos leucogrammicus,17355,63047.14,0.275270218
Alophoixus frater,10633,13628.82,0.780184932
Pycnonotus cinereifrons,8103,13216.58,0.613093554
Phyllastrephus baumanni,7845,446395.6,0.017574098
Pycnonotus taivanus,7288,7274.28,1.001886097
Iole palawanensis,6399,11492.84,0.55678144
Hypsipetes rufigularis,5270,21991.1,0.239642401
Arizelocichla milanjensis,4997,42374.09,0.117925836
Microtarsus fuscoflavescens,4297,3196.27,1.344379542
Ixos virescens,2452,14530.69,0.168746288
Nok hualon,2394,25219.24,0.094927524
Hypsipetes borbonicus,1707,2541.14,0.671745752
Pycnonotus penicillatus,1356,3926.19,0.345372995
Hypsipetes siquijorensis,1067,5018.51,0.212612907
Phyllastrephus albigula,596,6795.8,0.087701227
Hypsipetes crassirostris,226,244.59,0.923995257
Hypsipetes nicobariensis,22,462.76,0.047540842
