Unique.Specimen.Identifier,Family,Order1,Sequence,Specimen.number,Source,Sex,Locality,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.wing.Index,Tail.Length,Sample.Number,Measurer,Avonet.Protocol.Used,Protocol.both.pairs,Protocol.neither.pair
Alophoixus flaveolus_1935.4.5.622,Pycnonotidae,PASSERIFORMES,7825,1935.4.5.622,NHMUK,F,Diwangiri on Bhutan-Assam frontier,NA,22,11.8,4.4,7.5,21.7,97,15,82,15.5,92,1,CS,1,1,0
Alophoixus flaveolus_1935.4.5.622,Pycnonotidae,PASSERIFORMES,7825,1935.4.5.622,NHMUK,F,"Diwangiri, Bhutan-Assam frontier",India,19.8,12.2,6.3,7.7,21.1,99,17.7,81.3,17.9,85,2,ECJ,1,1,0
Alophoixus frater_1911.11.16.236,Pycnonotidae,PASSERIFORMES,NA,1911.11.16.236,NHMUK,F,"Iwahig, Palawan",Philippines,21.3,14.9,5.9,7.3,23.3,101,18.3,82.7,NA,79,1,RAB,1,1,0
Alophoixus frater_1911.11.16.236,Pycnonotidae,PASSERIFORMES,NA,1911.11.16.236,NHMUK,F,"Iwahig, Palawan",Philippines,22.73,14.28,5.53,7.2,21.79,99,17.21,81.79,NA,80,2,ER,1,1,0
Alophoixus frater_1969.29.195,Pycnonotidae,PASSERIFORMES,NA,1969.29.195,NHMUK,M,"Balabac Island, Palawan",Philippines,22.2,15.3,5.9,7.1,21.2,113,23.3,89.7,NA,90,1,RAB,1,1,0
Alophoixus frater_1969.29.195,Pycnonotidae,PASSERIFORMES,NA,1969.29.195,NHMUK,M,Balabac Island,Philippines,23.61,15.06,5.52,7.05,21.06,107,20.32,86.68,NA,94,2,ER,1,1,0
Alophoixus ochraceus_86.9.1.1506,Pycnonotidae,PASSERIFORMES,NA,86.9.1.1506,NHMUK,F,NA,NA,21,13,4.8,7.4,19.8,107,21.9,85.1,NA,95,1,CS,1,1,0
Alophoixus ochraceus_86.9.1.1506,Pycnonotidae,PASSERIFORMES,NA,86.9.1.1506,NHMUK,F,"Koh Chang, SE Siam",Thailand,21.02,13.33,5.43,6.76,19.24,106,20.29,85.71,NA,100,2,ER,1,1,0
Alophoixus ruficrissus_1908.12.9.24,Pycnonotidae,PASSERIFORMES,NA,1908.12.9.24,NHMUK,M,"Kinabalu 4000', Borneo",Malaysia,21.6,13.4,5.4,7.15,20,105,19.9,85.1,NA,NA,1,RAB,1,1,0
Alophoixus ruficrissus_1908.12.9.24,Pycnonotidae,PASSERIFORMES,NA,1908.12.9.24,NHMUK,M,Kinabalu,Malaysia,21.48,13.25,4.9,6.96,20.01,106,19.68,86.32,NA,105,2,ER,1,1,0
Alophoixus ruficrissus_1969.27.317,Pycnonotidae,PASSERIFORMES,NA,1969.27.317,NHMUK,F,Kinabalu,Malaysia,21.2,13.1,5.4,6.5,18.2,107,19,88,NA,95,1,RAB,1,1,0
Alophoixus ruficrissus_1969.27.317,Pycnonotidae,PASSERIFORMES,NA,1969.27.317,NHMUK,F,Kinabalu,Malaysia,21.19,13.03,4.98,6.56,19.74,109,21.77,87.23,NA,102,2,ER,1,1,0
Andropadus importunus_1960.18.6,Pycnonotidae,PASSERIFORMES,7767,1960.18.6,NHMUK,M,-,-,18.8,NA,4.1,5.9,26.1,91,NA,NA,NA,93,1,GT,0,0,0
