AviList,Specimen.number,Sex,Locality,Country,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Measurer,Gape_Width,Subspecies,Comments
Setornis criniger,1900.2.15.97,M,"Baklong,Sarawak",Malaysia,23.5,14.8,5.5,6.9,18.8,104,19,83,PW,11.1,NA,NA
Setornis criniger,1900.2.15.97,M,Baram District. Sarawak,Malaysia,23.16,14.86,5.12,6.46,19.27,96,18.69,88,ER,9.94,NA,NA
Alophoixus ruficrissus,1908.12.9.24,M,"Kinabalu 4000', Borneo",Malaysia,21.6,13.4,5.4,7.15,20,105,19.9,NA,RAB,12.8,NA,NA
Alophoixus ruficrissus,1908.12.9.24,M,Kinabalu,Malaysia,21.48,13.25,4.9,6.96,20.01,106,19.68,105,ER,10.24,NA,NA
Pycnonotus cinereifrons,1911.11.16.230,M,Palawan,Philippines,19.6,11,5,5.4,19.6,78,6.8,68,RAB,10.7,NA,NA
Pycnonotus cinereifrons,1911.11.16.230,M,"Iwahig, Palawan",Philippines,19.32,10.74,4.31,5.19,20.17,79.5,7.3,70,ER,9.44,NA,NA
Pycnonotus cinereifrons,1911.11.16.232,M,Palawan,Philippines,20.2,11,4.8,5.1,20.7,83,9.8,68,PW,11.6,NA,NA
Pycnonotus cinereifrons,1911.11.16.232,M,"Iwahig, Palawan",Philippines,19.71,10.67,4.54,5.06,20.07,81.5,9.02,70,ER,10.56,NA,NA
Alophoixus frater,1911.11.16.236,F,"Iwahig, Palawan",Philippines,21.3,14.9,5.9,7.3,23.3,101,18.3,79,RAB,13.2,NA,NA
Alophoixus frater,1911.11.16.236,F,"Iwahig, Palawan",Philippines,22.73,14.28,5.53,7.2,21.79,99,17.21,80,ER,NA,NA,NA
Baeopogon indicator,1911.5.31.283,M,NA,NA,18.8,NA,4.5,5.1,25.5,99,NA,NA,GT,NA,NA,NA
Baeopogon indicator,1911.5.31.283,M,River Ja,Cameroon,18.89,10.05,4.34,5.01,18.57,96,15.89,76.5,ER,10.9,NA,NA
Tricholestes criniger,1912.12.28.81,F,NA,NA,17.4,10.9,4.5,4,14.7,76,12.1,NA,JAT,NA,NA,NA
Tricholestes criniger,1912.12.28.81,F,"Moewara Tewe, Barito river, South Central Borneo",Malaysia,17.76,11.06,3.5,4.06,14.86,76,11.34,72,ER,9.05,NA,NA
Criniger ndussumensis,1919.10.12.167,M,NA,NA,18.2,NA,3.7,5,19.2,87,NA,80,GT,NA,NA,NA
Criniger ndussumensis,1919.10.12.167,M,"Panga, Uele",DRC,19.08,10.62,4,4.7,19.52,87,11.29,80,ER,8.95,NA,NA
Baeopogon clamans,1920.6.26.411,M,NA,NA,17.6,9.5,4.3,4.7,17.4,97,15.6,79,CV,NA,NA,NA
Baeopogon clamans,1920.6.26.411,M,"Bitye, River Ja",Cameroon,17.56,9.51,4.43,5.03,19.56,95,16.14,77,ER,9.81,NA,NA
Iole charlottae,1935.10.22.342,M,NA,NA,21.2,NA,5.1,5.2,18.1,86,NA,77,GT,NA,NA,NA
Iole charlottae,1935.10.22.342,M,"Mt. Dulit, Sarawak",Malaysia,21.45,14.3,4.95,5.05,18.1,84,13,70,ER,9.66,NA,NA
Microtarsus eutilotus,1935.10.22.343,F,"River Tinjar, Mt. Dulit, Sarawak",Malaysia,18.4,11.7,5.1,5,17.6,93,16.4,85,JAT,11.17,NA,NA
Microtarsus eutilotus,1935.10.22.343,F,"River Tinjar, Mt. Dulit, Sarawak",Malaysia,18.82,11.73,4.6,4.81,18.7,93,16.5,85,ER,10.59,NA,NA
Microtarsus eutilotus,1935.10.22.344,M,"River Tinjar, Mt. Dulit, Sarawak",Malaysia,19.4,11.9,4.5,5.52,19.39,97,NA,87,JAT,11,NA,NA
Microtarsus eutilotus,1935.10.22.344,M,"River Tinjar, Mt. Dulit, Sarawak",Malaysia,19.69,12.01,4.43,5.5,19.01,97,18.42,86,ER,9.69,NA,NA
Phyllastrephus cerviniventris,1936.7.2.127,M,NA,NA,21.2,NA,3.8,4.5,19.9,84,NA,89,GT,NA,NA,NA
Phyllastrephus cerviniventris,1936.7.2.127,M,Kahe forest,United Republic of Tanzania,20.46,11.67,3.68,4.45,22.5,84,8.83,88,ER,9.27,NA,NA
Arizelocichla neumanni,1937.12.27.167,M,NA,NA,18.9,10,4.8,5.4,24.1,97,14.3,94,CV,NA,NA,NA
Arizelocichla neumanni,1937.12.27.167,M,"Kinole, North Uluguru Mts.",United Republic of Tanzania,20.14,10.48,4.75,5.54,24.48,95,15.43,95,ER,11.97,NA,NA
Pycnonotus leucogenys,1938.7.15.846,M,NA,NA,18.7,NA,4,4.6,19.3,93,NA,89,GT,NA,NA,NA
Pycnonotus leucogenys,1938.7.15.846,M,Bhagjunda,Nepal,18.82,9.32,3.86,4.43,20.89,90,13.82,88,ER,10.16,NA,NA
Neolestes torquatus,1947.80.48,F,NA,NA,15,7.5,3.6,4.5,19,71,9.7,65,CS,NA,NA,NA
Neolestes torquatus,1947.80.48,F,Luluabourg,DRC,15.68,8,3.89,4.41,19.89,70,10.68,67,ER,9.07,NA,NA
Microtarsus priocephalus,1949.Whi.1.14546,F,NA,NA,14.5,7.8,3.6,3.9,14.5,74,10.7,76,CV,NA,NA,NA
Microtarsus priocephalus,1949.Whi.1.14546,F,"Thattekad, KL",India,15.28,8.3,4.06,4.2,15.04,73,9.77,76,ER,9.7,NA,NA
Baeopogon clamans,1966.16.1166,F,NA,NA,16,8.2,4.5,4.3,18.4,95,17.4,71,CV,NA,NA,NA
Baeopogon clamans,1966.16.1166,F,Kumba,Cameroon,16.09,9.32,4.63,4.67,19.53,93,17.32,70,ER,10.57,NA,NA
Baeopogon clamans,1966.16.1167,F,NA,NA,16.8,8.9,4.6,4.9,20.4,98,17.3,71,CV,NA,NA,NA
Baeopogon clamans,1966.16.1167,F,Mbongwe,Cameroon,17.49,9.55,4.48,NA,19.98,96,17.03,72,ER,11.49,NA,Beak stuffed
Arizelocichla montana,1966.16.1753,F,NA,NA,16.3,8.8,3.7,4.2,22.1,80,7.3,81,CV,NA,NA,NA
Arizelocichla montana,1966.16.1753,F,Lake Oku,Cameroon,16.37,8.88,3.72,4.52,22.28,78,8.74,85,ER,8.52,NA,NA
Arizelocichla montana,1966.16.1763,M,NA,NA,17.1,9,4,4,21.2,83,10.3,81,CV,NA,NA,NA
Arizelocichla montana,1966.16.1763,M,"Saxenhof, Buea",Cameroon,16.96,9.13,3.98,4.2,22.07,80,9.38,88,ER,9.52,NA,NA
Atimastillas flavicollis,1966.16.1786,M,NA,NA,20.5,10.5,5,5.9,23.1,110,17.2,107,CV,NA,NA,NA
Atimastillas flavicollis,1966.16.1786,M,Enugu,Nigeria,21.3,11.77,4.71,6.18,22.85,110,15.62,107,ER,11.46,NA,NA
Alophoixus ruficrissus,1969.27.317,F,Kinabalu,Malaysia,21.2,13.1,5.4,6.5,18.2,107,19,95,RAB,13.3,NA,NA
Alophoixus ruficrissus,1969.27.317,F,Kinabalu,Malaysia,21.19,13.03,4.98,6.56,19.74,109,21.77,102,ER,11,NA,NA
Hypsipetes chloris,1969.27.337,M,Halmahera,Indonesia,22.5,13.9,5.5,5.9,19.2,98,20.4,77,PW,10.4,NA,NA
Hypsipetes chloris,1969.27.337,M,Halmahera,Indonesia,21.88,13.39,5.21,5.63,18.67,96.5,18.61,81,ER,9.73,NA,NA
Alophoixus frater,1969.29.195,M,"Balabac Island, Palawan",Philippines,22.2,15.3,5.9,7.1,21.2,113,23.3,90,RAB,13.5,NA,NA
Alophoixus frater,1969.29.195,M,Balabac Island,Philippines,23.61,15.06,5.52,7.05,21.06,107,20.32,94,ER,11.92,NA,NA
Setornis criniger,75.8.16.8,M,"Sibu, Borneo",Malaysia,24.1,16.2,5.9,7.6,NA,100,16.5,NA,RAB,12,NA,NA
Setornis criniger,75.8.16.8,M,NA,NA,24.3,NA,5.9,7.4,21.2,99,NA,85,GT,NA,NA,NA
Setornis criniger,76.7.28.29,M,Bintulu,Malaysia,24,15.6,5.3,6.8,18.7,99,16.5,81,PW,12.1,NA,NA
Setornis criniger,76.7.28.29,M,Bintulu,Malaysia,23.87,14.8,4.62,6.55,20.26,97,16.53,86,ER,9.96,NA,NA
Pycnonotus cinereifrons,80.10.19.44,F,Puerto Pincesa,Philippines,18.7,10.1,4.9,4.6,20.2,84,12.7,75,PW,10.5,NA,NA
Pycnonotus cinereifrons,80.10.19.44,F,"Puerto Princessa, Palawan",Philippines,18.6,10.19,4.54,4.44,19.91,84,10.43,80,ER,11.26,NA,NA
Alophoixus ochraceus,86.9.1.1506,F,NA,NA,21,13,4.8,7.4,19.8,107,21.9,95,CS,NA,NA,NA
Alophoixus ochraceus,86.9.1.1506,F,"Koh Chang, SE Siam",Thailand,21.02,13.33,5.43,6.76,19.24,106,20.29,100,ER,12.05,NA,NA
Hypsipetes nicobariensis,86.9.1.973,M,NA,NA,23.4,13.7,5,6.2,19.6,100,18.6,98,CS,NA,NA,NA
Hypsipetes nicobariensis,86.9.1.973,M,"Camorta, Nicobar Islands",India,24.12,13.56,4.82,6.08,19.79,97,19.39,NA,ER,10,NA,NA
Hypsipetes nicobariensis,86.9.1.977,F,NA,NA,21.6,12.1,5.2,6.2,19.6,97,18.3,92.5,CS,NA,NA,NA
Hypsipetes nicobariensis,86.9.1.977,F,Nicobar Islands,India,22.5,13.85,5.03,6,20.07,97,20.25,87,ER,10.98,NA,NA
Hypsipetes nicobariensis,88.4.1.280,M,NA,NA,23.1,14.1,5.5,6.4,20.3,100,18.7,93,CS,NA,NA,NA
Hypsipetes nicobariensis,88.4.1.280,M,Nicobar Islands,India,23.66,14.04,5.16,6.23,19.03,100,20.55,87,ER,11.02,NA,NA
