avonet_specimen_id,avdb_source_id,avdb_avibase_id,avdb_species_1_birdlife,avdb_species_2_ebird,avdb_species_3_birdtree,gdb_subspecies,avdb_source_type,avdb_source_code,avdb_specimen_identifier_unique,avdb_specimen_identifier_orig,avdb_country_wri,gdb_locality_edited,gdb_locality_original,avdb_sex,avdb_life_stage,avdb_wing_length,avdb_kipps_distance,avdb_secondary_1,avdb_beak_length_culmen,avdb_beak_length_nares,avdb_beak_width,avdb_gape_width,gdb_gape_size,avdb_beak_depth_nares,avdb_beak_depth_max,avdb_tail_length,avdb_tail_graduation,avdb_tarsus_length,avdb_back_toe,avdb_measurer_tag,avdb_measurer_comment,avdb_lit_abbrev
Alophoixus phaeocephalus_10,76320,AVIBASE-3499C2A5,Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,NULL,field study,Field1,1_NA_446,1_NA,Malaysia,NULL,"Waterfall Trail, Borneo",unknown,Adult,105,12.6,92.4,19.8,13.4,5.4,NULL,NULL,6.8,NULL,NULL,NULL,20.7,NULL,JAT,NULL,NULL
Alophoixus phaeocephalus_11,76321,AVIBASE-3499C2A5,Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,NULL,field study,Field1,1_NA_447,1_NA,Malaysia,NULL,"Waterfall Trail, Borneo",unknown,Adult,98,15.4,82.6,20.6,14.7,5.9,NULL,NULL,7,NULL,NULL,NULL,20.2,NULL,JAT,NULL,NULL
Alophoixus phaeocephalus_12,76322,AVIBASE-3499C2A5,Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,NULL,field study,Field1,1_NA_448,1_NA,Malaysia,NULL,"Waterfall Trail, Borneo",unknown,Adult,98,15,83,23,14.5,5.7,NULL,NULL,6.5,NULL,NULL,NULL,21.9,NULL,JAT,NULL,NULL
Alophoixus phaeocephalus_6,76323,AVIBASE-3499C2A5,Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,NULL,field study,Field1,1_NA_449,1_NA,Malaysia,NULL,"Waterfall Trail, Borneo",unknown,Adult,89,12,77,20,12.8,4.8,NULL,NULL,6.4,NULL,NULL,NULL,21.2,NULL,JAT,NULL,NULL
Alophoixus phaeocephalus_7,76324,AVIBASE-3499C2A5,Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,NULL,field study,Field1,1_NA_450,1_NA,Malaysia,NULL,"Danum Valley, Sabah, Borneo",unknown,Adult,101,11.6,89.4,NULL,14.4,6.6,NULL,NULL,6.8,NULL,NULL,NULL,22,NULL,JAT,NULL,NULL
Alophoixus phaeocephalus_8,76325,AVIBASE-3499C2A5,Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,NULL,field study,Field1,1_NA_451,1_NA,Malaysia,NULL,"Nature Trail, Borneo",unknown,Adult,94,9.5,84.5,20.5,14.4,4.8,NULL,NULL,6.9,NULL,NULL,NULL,21.7,NULL,JAT,NULL,NULL
Alophoixus phaeocephalus_9,76326,AVIBASE-3499C2A5,Alophoixus phaeocephalus,Alophoixus phaeocephalus,Alophoixus phaeocephalus,NULL,field study,Field1,1_NA_452,1_NA,Malaysia,NULL,"Nature Trail, Borneo",unknown,Adult,88,9.3,78.7,19.5,12.7,5.1,NULL,NULL,6.3,NULL,NULL,NULL,21.6,NULL,JAT,NULL,NULL
Arizelocichla masukuensis_10,76772,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_781,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,79,13,66,16,8,3.6,NULL,10.3,3.7,NULL,81,NULL,21,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_11,76773,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_782,1_NA,United Republic of Tanzania,NULL,West Usambara Mountains,unknown,Adult,82,12,70,15.6,8,3.8,NULL,10.2,3.5,NULL,81,NULL,20.5,NULL,MNC,NULL,NULL
Arizelocichla masukuensis_12,76774,AVIBASE-6FC57210,Arizelocichla masukuensis,Arizelocichla masukuensis,Andropadus masukuensis,roehli,field study,Field1,1_NA_783,1_NA,United Republic of Tanzania,NULL,East Usambara Mountains,unknown,Adult,79,15,64,14.4,7.3,3.5,NULL,11.8,3.4,NULL,79,NULL,21,NULL,MNC,NULL,NULL
