"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,
"859256742	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Ixos	Ixos mcclellandii		SPECIES	Ixos mcclellandii (Horsfield"," 1840)	Ixos mcclellandii		VN	NGOC LINH RANGE	Quang Nam	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1999-03-23	23	3	1999	7342005	7342005	PRESERVED_SPECIMEN	AMNH	Birds	DOT-10788	PRS 2236			CC0_1_0				native	2026-03-03T21:26:09.658Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH",,,
"859256738	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Ixos	Ixos mcclellandii		SPECIES	Ixos mcclellandii (Horsfield"," 1840)	Ixos mcclellandii		VN	NGOC LINH RANGE	Quang Nam	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1999-03-23	23	3	1999	7342005	7342005	PRESERVED_SPECIMEN	AMNH	Birds	DOT-10789	PRS 2237			CC0_1_0				native	2026-03-03T21:26:10.101Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH",,,
"859256728	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Criniger			GENUS	Criniger Temminck"," 1820	Criniger pallidus		VN	NGOC LINH RANGE	Quang Nam	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1999-03-18	18	3	1999	2486108		PRESERVED_SPECIMEN	AMNH	Birds	DOT-10768	PRS 2207			CC0_1_0				native	2026-03-03T21:26:07.758Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH;TAXON_MATCH_HIGHERRANK",,,
"859256720	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Criniger			GENUS	Criniger Temminck"," 1820	Criniger pallidus		VN	NGOC LINH RANGE	Quang Nam	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1999-03-18	18	3	1999	2486108		PRESERVED_SPECIMEN	AMNH	Birds	DOT-10769	PRS 2209			CC0_1_0				native	2026-03-03T21:26:07.761Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH;TAXON_MATCH_HIGHERRANK",,,
"859256566	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Criniger			GENUS	Criniger Temminck"," 1820	Criniger pallidus		VN	NGOC LINH RANGE	Quang Nam	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1999-03-16	16	3	1999	2486108		PRESERVED_SPECIMEN	AMNH	Birds	DOT-10761	PRS 2198			CC0_1_0				native	2026-03-03T21:26:07.776Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH;TAXON_MATCH_HIGHERRANK",,,
"859256559	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Criniger			GENUS	Criniger Temminck"," 1820	Criniger pallidus		VN	NGOC LINH RANGE	Quang Nam	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1999-03-15	15	3	1999	2486108		PRESERVED_SPECIMEN	AMNH	Birds	DOT-10758	PRS 2195			CC0_1_0				native	2026-03-03T21:26:11.738Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH;TAXON_MATCH_HIGHERRANK",,,
"859256518	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Chlorocichla	Chlorocichla simplex		SPECIES	Chlorocichla simplex (Hartlaub"," 1855)	Chlorocichla simplex		CF	BAYANGA	Sanga-Mbaere Prefecture	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1998-06-29	29	6	1998	2486176	2486176	PRESERVED_SPECIMEN	AMNH	Birds	DOT-10705	PRS 2140			CC0_1_0				native	2026-03-03T21:26:07.774Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH",,,
"859256508	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus barbatus		SPECIES	Pycnonotus barbatus (Desfontaines"," 1789)	Pycnonotus barbatus		CF	BAYANGA	Sanga-Mbaere Prefecture	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1998-06-27	27	6	1998	2486147	2486147	PRESERVED_SPECIMEN	AMNH	Birds	DOT-10690	PRS 2125			CC0_1_0				native	2026-03-03T21:26:10.256Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH",,,
"859256507	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus barbatus		SPECIES	Pycnonotus barbatus (Desfontaines"," 1789)	Pycnonotus barbatus		CF	BEYA	Sanga-Mbaere Prefecture	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1998-06-27	27	6	1998	2486147	2486147	PRESERVED_SPECIMEN	AMNH	Birds	DOT-10693	PRS 2128			CC0_1_0				native	2026-03-03T21:26:11.776Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH",,,
"859256502	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Eurillas	Eurillas gracilis		SPECIES	Andropadus gracilis Cabanis"," 1880	Andropadus gracilis		CF	BAYANGA	Sanga-Mbaere Prefecture	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1998-06-27	27	6	1998	2486167	7340368	PRESERVED_SPECIMEN	AMNH	Birds	DOT-10692	PRS 2127			CC0_1_0				native	2026-03-03T21:26:11.777Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH",,,
"859256454	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Chlorocichla	Chlorocichla simplex		SPECIES	Chlorocichla simplex (Hartlaub"," 1855)	Chlorocichla simplex		CF	BAYANGA	Sanga-Mbaere Prefecture	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1998-06-17	17	6	1998	2486176	2486176	PRESERVED_SPECIMEN	AMNH	Birds	DOT-10621	PRS 2050			CC0_1_0				native	2026-03-03T21:26:10.398Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH",,,
"859256448	96c93a1e-f762-11e1-a439-00145eb45e9a		Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Stelgidillas	Stelgidillas gracilirostris		SPECIES	Andropadus gracilirostris Strickland"," 1844	Andropadus gracilirostris		CF	BAYANGA	Sanga-Mbaere Prefecture	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1998-06-17	17	6	1998	2486157	7340464	PRESERVED_SPECIMEN	AMNH	Birds	DOT-10620	PRS 2049			CC0_1_0				native	2026-03-03T21:26:11.180Z		CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_COLLECTION_MISMATCH",,,
