Species (AviList + Species name as listed in collection),Specimen.count.in.AMNH.collections,Specimen.count.in.AVONET,Comments,Specimens to avoid (already measured as part of AVONET 1.0)
Phyllastrephus viridiceps (Phyllastrephus albigularis viridiceps),3,0,"Priority range-restricted species, would be great to measure all possible specimens",
Hypsipetes catarmanensis (Hypsipetes everetti catarmanensis),6,0,"Priority species, would be great to measure all possible specimens",
Hypsipetes harterti (Thapsinillas affinis harterti),5,0,"Priority species, would be great to measure all possible specimens",
Hypsipetes moheliensis (Hypsipetes parvirostris moheliensis),1,0,"Priority species, would be great to measure this specimen",
Hypsipetes siquijorensis (Iole siquijorensis),6,2,"Priority species, would be great to measure all possible specimens",
Pycnonotus taivanus,7,2,"Priority species, would be great to measure all possible specimens",
Hypsipetes borbonicus (Hypsipetes borbonica),4,4,"Priority species, would be great to measure all possible specimens",
Ixos leucogrammicus (Pycnonotus leucogrammicus),12,4,"Priority species, would be great to measure all possible specimens",
Hypsipetes olivaceus (Hypsipetes olivacea),11,5,"Priority species, would be great to measure all possible specimens",
Hypsipetes longirostris (Thapsinillas affinis longirostris),8,6,"Priority species, would be great to measure all possible specimens",
Ixos sumatranus (Hemixos virescens sumatranus),17,7,"Priority species, would be great to measure all possible specimens",
Hypsipetes thompsoni (Cerasophila thompsoni),3,8,"Priority species, would be great to measure all possible specimens",
Phyllastrephus hypochloris,32,8,"Priority species, would be nice to get at least 10-15 specimens measured",
Neolestes torquatus,45,10,"Range-restricted monotypic genus, would be nice to measure at least 10-15 specimens",
Phyllastrephus baumanni,1,10,"Range-restricted species, would be good to measure this one specimen",
Setornis criniger,5,10,"Habitat-restricted species, should measure all specimens possible",
Thescelocichla leucopleura,49,10,"Monotypic habitat-restricted species, can measure maybe 10-15 more",
Hypsipetes crassirostris,24,10,"Island bulbul, would be good to add around 10 more",
Hypsipetes madagascariensis,26,10,"Island bulbul, would be good to add around 10 more",
Hypsipetes parvirostris,1,10,"Island bulbul, would be good to add as many specimens as available",
Hypsipetes rufigularis,6,10,"Island bulbul, would be good to add as many specimens as available",
Iole palawanensis,6,10,"Island bulbul, would be good to add as many specimens as available",
Ixos virescens (Hemixos virescens),40,10,"Island bulbul, would be good to add maybe 10-15 more specimens","258954, 565487, 565491, 565502"
Calyptocichla serinus,4,10,Always good to get more specimens,
Pycnonotus cinereifrons,12,10,Always good to get more specimens,
Ixos malaccensis,5,11,Always good to get more specimens,
Ixos mcclellandii,7,11,Always good to get more specimens,
Pycnonotus davisoni,4,10,Always good to get more specimens,
Chlorocichla laetissima,12,10,Always good to get more specimens,
Phyllastrephus debilis,1,10,Always good to get more specimens,
Phyllastrephus strepitans,8,11,Always good to get more specimens,
Phyllastrephus poliocephalus,2,11,Always good to get more specimens,
Phyllastrephus cerviniventris,12,10,Always good to get more specimens,
Phyllastrephus albigularis,98,11,Always good to get more specimens,
Phyllastrephus poensis,4,11,Always good to get more specimens,
Phyllastrephus fischeri,7,10,Always good to get more specimens,
Phyllastrephus fulviventris,23,10,Always good to get more specimens,
Chlorocichla falkensteini,9,10,Always good to get more specimens,
Criniger ndussumensis,2,11,Always good to get more specimens,
Hemixos castanonotus,15,10,Always good to get more specimens,
Hemixos flavala,29,10,Always good to get more specimens,
Pycnonotus blanfordi,15,10,Always good to get more specimens,
Pycnonotus flavescens,8,11,Always good to get more specimens,
Pycnonotus xanthorrhous,26,11,Always good to get more specimens,
Pycnonotus finlaysoni,34,10,Always good to get more specimens,
Ixonotus guttatus,57,11,Always good to get more specimens,
Baeopogon clamans,10,10,Always good to get more specimens,
Baeopogon indicator,17,10,Always good to get more specimens,
Pycnonotus brunneus,11,10,Always good to get more specimens,
Pycnonotus luteolus,14,11,Always good to get more specimens,
Pycnonotus nigricans,14,11,Always good to get more specimens,
Pycnonotus simplex,40,11,Always good to get more specimens,
Chlorocichla simplex,39,11,Always good to get more specimens,
Hypsipetes ganeesa,2,10,Always good to get more specimens,
Hypsipetes amaurotis,4,10,Always good to get more specimens,
Phyllastrephus terrestris,11,10,Always good to get more specimens,
Pycnonotus capensis,11,10,Always good to get more specimens,
Alophoixus phaeocephalus,2,12,Enough coverage with more specimens on the way,
Spizixos canifrons,15,12,Enough coverage with more specimens on the way,
Criniger olivaceus,12,13,Enough coverage with more specimens on the way,
Hypsipetes everetti,26,13,Enough coverage with more specimens on the way,
Phyllastrephus xavieri,16,13,Enough coverage with more specimens on the way,
Pycnonotus plumosus,52,13,Enough coverage with more specimens on the way,
Criniger barbatus,13,14,Enough coverage with more specimens on the way,
Phyllastrephus flavostriatus,8,15,Enough coverage with more specimens on the way,
Criniger calurus,39,16,Enough coverage with more specimens on the way,
Criniger chloronotus,12,16,Enough coverage with more specimens on the way,
Tricholestes criniger,37,16,Enough coverage with more specimens on the way,
Bleda eximius,9,17,Enough coverage with more specimens on the way,
Bleda canicapillus,8,19,Enough coverage with more specimens on the way,
Hemixos cinereus,16,20,Enough coverage with more specimens on the way,
Pycnonotus bimaculatus,2,20,Enough coverage with more specimens on the way,
Spizixos semitorques,57,20,Enough coverage with more specimens on the way,
Chlorocichla flaviventris,13,21,Enough coverage with more specimens on the way,
Pycnonotus xanthopygos,2,21,Enough coverage with more specimens on the way,
Arizelocichla kikuyuensis,2,26,Enough coverage with more specimens on the way,
Andropadus importunus,13,30,Enough coverage with more specimens on the way,
Phyllastrephus icterinus,84,30,Enough coverage with more specimens on the way,
Eurillas virens,5,153,Enough coverage with more specimens on the way,"348736, 388170, 415427, 415428  "
Eurillas latirostris,58,527,Enough coverage with more specimens on the way,"297630, 297634, 567517, 567512"
Pycnonotus aurigaster,12,30,Enough coverage with more specimens on the way,
Pycnonotus leucogenys,14,30,Enough coverage with more specimens on the way,
Pycnonotus leucotis,49,30,Enough coverage with more specimens on the way,
Pycnonotus sinensis,82,30,Enough coverage with more specimens on the way,
Pycnonotus cafer,10,40,Enough coverage with more specimens on the way,
Pycnonotus goiavier,67,40,Enough coverage with more specimens on the way,
Pycnonotus jocosus,13,40,Enough coverage with more specimens on the way,
Pycnonotus barbatus,61,44,Enough coverage with more specimens on the way,
Bleda syndactylus,14,95,Enough coverage with more specimens on the way,
