gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5839205328	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	189a79f1-d045-478f-ae1a-1b4343849ea2	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Hypsipetes	Hypsipetes amaurotis	amaurotis	SUBSPECIES	Hypsipetes amaurotis amaurotis (Temminck, 1830)			JP	Kobe		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1971-12-19	19	12	1971	7342056	7342055	PRESERVED_SPECIMEN	NHMD	AV	NHMD2010323				CC_BY_4_0		Kobayashi, K.			2026-03-18T07:45:48.552Z		
5839205323	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	f1a88d90-1ada-40de-86ba-3078a76924b4	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus blanfordi		SPECIES	Pycnonotus blanfordi Jerdon, 1862			TH	Sam Sen	Bangkok	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									1921-09-12	12	9	1921	2486123	2486123	PRESERVED_SPECIMEN	NHMD	AV	NHMD2010322				CC_BY_4_0					2026-03-18T07:45:58.780Z		
5839205321	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	e8fcb26c-3790-482c-9a1a-33f7b36b5af5	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus leucotis		SPECIES	Pycnonotus leucotis (Gould, 1836)			DK	Captivity (Zoologisk Have, København)	Region Hovedstaden	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e									2025-05-09	9	5	2025	2486132	2486132	PRESERVED_SPECIMEN	NHMD	AV	NHMD2010363				CC_BY_4_0					2026-03-18T07:45:48.854Z		
4164086209	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	64baffc3-50fb-45d2-b129-e2cf21e5431a	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla fusciceps		SPECIES	Arizelocichla fusciceps (Shelley, 1893)			TZ	Mdandu Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-9.579722	34.83							1952-07-10	10	7	1952	6100812	6100812	PRESERVED_SPECIMEN	NHMD	AV	NHMD120828				CC_BY_4_0		Andersen, Thorkild			2026-03-18T07:45:42.460Z		COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK
4164086205	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	0f64a480-5ff4-415c-8bcd-3303901255df	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus cabanisi	placidus	SUBSPECIES	Phyllastrephus cabanisi placidus			TZ	Amani		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-5.099722	38.63							1980-07-11	11	7	1980	6540392	2486087	PRESERVED_SPECIMEN	NHMD	AV	NHMD124831				CC_BY_4_0		Jensen, Flemming			2026-03-18T07:45:44.945Z		COORDINATE_ROUNDED
4164086187	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	fef7d5e6-9f9a-4d91-99b1-39a6e3fd02e3	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Eurillas	Eurillas virens	zombensis	SUBSPECIES	Eurillas virens zombensis (Shelley, 1894)			TZ	Nguru South Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-6.05	37.479722							2003-06-02	2	6	2003	6086343	7340348	PRESERVED_SPECIMEN	NHMD	AV	NHMD122896				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:58.796Z		COORDINATE_ROUNDED
4164086147	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	d51a0542-b979-4ad1-8857-d6238a1de6af	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis	roehli	SUBSPECIES	Arizelocichla masukuensis roehli (Reichenow, 1905)			TZ	Kilindi Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-5.57	37.569722							2005-05-14	14	5	2005	6086770	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD124934				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:48.589Z		COORDINATE_ROUNDED
4164086116	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	a63f19b0-832d-4918-be77-441d5f910023	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Phyllastrephus	Phyllastrephus flavostriatus	uzungwensis	SUBSPECIES	Phyllastrephus flavostriatus uzungwensis Jensen & Stuart, 1982			TZ	Udzungwa Scarp Forest		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-8.373333	35.978611							1996-10-20	20	10	1996	6086093	2486089	PRESERVED_SPECIMEN	NHMD	AV	NHMD121943				CC_BY_4_0		Fjeldså, Jon			2026-03-18T07:45:48.586Z		COORDINATE_ROUNDED
4164086112	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	dfe7f52b-99c3-426c-8934-3344e713b0bd	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla fusciceps		SPECIES	Arizelocichla fusciceps (Shelley, 1893)			TZ	Mdandu Forest Reserve		PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-9.579722	34.83							2003-11-04	4	11	2003	6100812	6100812	PRESERVED_SPECIMEN	NHMD	AV	NHMD123826				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:48.586Z		COORDINATE_ROUNDED;TAXON_MATCH_HIGHERRANK
4164086093	e5c5cad9-b987-4bb4-b07b-85488c5fdd80	7893b0ff-8689-4333-8277-2ccdd3f7e05f	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis	roehli	SUBSPECIES	Arizelocichla masukuensis roehli (Reichenow, 1905)			TZ	Ndundulu Forest	Iringa Region	PRESENT		2e7df380-8356-4533-bcb3-5459e23c794e	-7.8	36.5							2007-01-01	1	1	2007	6086770	7340439	PRESERVED_SPECIMEN	NHMD	AV	NHMD129190				CC_BY_4_0		Kiure, Jacob			2026-03-18T07:45:44.932Z		
