"gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue",,,,,
"863573375	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:236163	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus atriceps	atriceps	SUBSPECIES	Pycnonotus atriceps atriceps (Temminck"," 1822)	Pycnonotus atriceps atriceps		ID	Long Navang		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	1.83308	114.86178	12245.0	1.0E-5					1925-12-18	18	12	1925	7340275	2486134	PRESERVED_SPECIMEN	MCZ	Orn	236163		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Eric G. Mjöberg			2026-04-18T11:47:01.660Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863573359	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:236107	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus zeylanicus		SPECIES	Pycnonotus zeylanicus (Gmelin"," 1789)	Pycnonotus zeylanicus (Gmelin"," 1789)	(Gmelin"," 1789)	ID	Zong Navong		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862									1925-12-11	11	12	1925	2486118	2486118	PRESERVED_SPECIMEN	MCZ	Orn	236107		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Eric G. Mjöberg			2026-04-18T11:47:40.127Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,
"863573344	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:39481	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus zeylanicus		SPECIES	Pycnonotus zeylanicus (Gmelin"," 1789)	Pycnonotus zeylanicus (Gmelin"," 1789)	(Gmelin"," 1789)		central Borneo		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862													2486118	2486118	PRESERVED_SPECIMEN	MCZ	Orn	39481		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	A. W. Nieuwenhuis			2026-04-18T11:46:36.249Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,
"863573339	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:39480	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus zeylanicus		SPECIES	Pycnonotus zeylanicus (Gmelin"," 1789)	Pycnonotus zeylanicus (Gmelin"," 1789)	(Gmelin"," 1789)		central Borneo		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862													2486118	2486118	PRESERVED_SPECIMEN	MCZ	Orn	39480		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	A. W. Nieuwenhuis			2026-04-18T11:46:03.386Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,
"863573332	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:197849	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus zeylanicus		SPECIES	Pycnonotus zeylanicus (Gmelin"," 1789)	Pycnonotus zeylanicus (Gmelin"," 1789)	(Gmelin"," 1789)	MY	Mt. Kinabalu"," Kiau	Sabah	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	6.02097	116.48925	10537.0	1.0E-5					1937-08-26	26	8	1937	2486118	2486118	PRESERVED_SPECIMEN	MCZ	Orn	197849		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	John A. Griswold"," Jr.			2026-04-18T11:45:15.331Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"863573331	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:231965	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus atriceps	atriceps	SUBSPECIES	Pycnonotus atriceps atriceps (Temminck"," 1822)	Pycnonotus atriceps atriceps		MY	Baram District"," Long Akar	Sarawak	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	3.66667	114.75	301.0	1.0E-5					1920-09-28	28	9	1920	7340275	2486134	PRESERVED_SPECIMEN	MCZ	Orn	231965		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	John C. Moulton			2026-04-18T11:46:56.318Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,
"863573324	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:197845	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus zeylanicus		SPECIES	Pycnonotus zeylanicus (Gmelin"," 1789)	Pycnonotus zeylanicus (Gmelin"," 1789)	(Gmelin"," 1789)	MY	Mt. Kinabalu"," Kiau	Sabah	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	6.02097	116.48925	10537.0	1.0E-5					1937-08-11	11	8	1937	2486118	2486118	PRESERVED_SPECIMEN	MCZ	Orn	197845		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	John A. Griswold"," Jr.			2026-04-18T11:48:33.812Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
"863573322	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:236109	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus zeylanicus		SPECIES	Pycnonotus zeylanicus (Gmelin"," 1789)	Pycnonotus zeylanicus (Gmelin"," 1789)	(Gmelin"," 1789)	ID	Berau [=Berawi?]		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	5.561	95.3411	3036.0	1.0E-5					1925			1925	2486118	2486118	PRESERVED_SPECIMEN	MCZ	Orn	236109		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	Eric G. Mjöberg			2026-04-18T11:48:24.391Z		RECORDED_DATE_MISMATCH;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,
"863573319	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:39501	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus atriceps	atriceps	SUBSPECIES	Pycnonotus atriceps atriceps (Temminck"," 1822)	Pycnonotus atriceps atriceps			central Borneo		PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862													7340275	2486134	PRESERVED_SPECIMEN	MCZ	Orn	39501		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	A. W. Nieuwenhuis			2026-04-18T11:47:26.578Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",,,,
"863573317	4bfac3ea-8763-4f4b-a71a-76a6f5f243d3	MCZ:Orn:197847	Animalia	Chordata	Aves	Passeriformes	Pycnonotidae	Pycnonotus	Pycnonotus zeylanicus		SPECIES	Pycnonotus zeylanicus (Gmelin"," 1789)	Pycnonotus zeylanicus (Gmelin"," 1789)	(Gmelin"," 1789)	MY	Mt. Kinabalu"," Kiau	Sabah	PRESENT	1	b4640710-8e03-11d8-b956-b8a03c50a862	6.02097	116.48925	10537.0	1.0E-5					1937-08-21	21	8	1937	2486118	2486118	PRESERVED_SPECIMEN	MCZ	Orn	197847		Catalog		CC_BY_NC_4_0	President and Fellows of Harvard College	John A. Griswold"," Jr.			2026-04-18T11:48:45.387Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY"
