Species,Subspecies,Specimen.count.in.Harvard.collections,Specimen.count.in.AVONET,Comments
Pycnonotus tympanistrigus,none,1,2,"High priority species, should measure this specimen"
Pycnonotus leucogrammicus,none,1,5,"High priority species, should measure both specimens"
Hypsipetes borbonicus,none,2,6,"High priority island species, should measure both specimens"
Hypsipetes olivaceus,olivaceus,2,6,"High priority island species, should measure both specimens"
Cerasophila thompsoni,none,1,9,"Range-restricted mainland species, can measure this specimen"
Neolestes torquatus,none,5,10,"Range-restricted mainland species, can measure all specimens"
Pycnonotus penicillatus,none,2,12,"Endemic to SL, can measure both specimens"
Setornis criniger,none,3,13,"Specialist species, can measure all specimens"
Hypsipetes crassirostris,none,1,10,"Restricted island bulbul, would be nice to measure this specimen"
Ixos virescens,none,20,10,Best to measure at least 10 more specimens for this island species
Pycnonotus sinensis,formosae,7,32,We would love any and all specimens from Taiwan
Pycnonotus sinensis,none,29,32,"We need more sampling for mainland individuals, particularly from Fuzhou/Fujian and Hubei in "
Pycnonotus sinensis,orii,1,32,"Okinawan specimen, would also be nice to measure"
Pycnonotus sinensis,sinensis,29,32,"We need more sampling for mainland individuals, particularly from Fuzhou/Fujian and Hubei in "
Pycnonotus xanthorrhous,andersoni,30,10,Very widespread species but we would love to bump up the specimens measured across its range
Pycnonotus xanthorrhous,xanthorrhous,18,10,Very widespread species but we would love to bump up the specimens measured across its range
Pycnonotus aurigaster,klossi,5,37,"Very widespread species, but this would be a new subspecies for the dataset"
Pycnonotus aurigaster,latouchei,16,37,Very widespread species but we would love to bump up the specimens measured across its range
Pycnonotus aurigaster,aurigaster,16,37,Very widespread species but we would love to bump up the specimens measured across its range
Pycnonotus capensis,none,7,11,"Somewhat abundant within its range, would be great to measure all specimens to increase coverage"
Phyllastrephus hypochloris,none,1,11,"Range-restricted mainland species, can measure this specimen"
Pycnonotus flavescens,leucops,10,12,"Looks like this might be P.leucops, for which we would love more specimens"
Baeopogon clamans,none,1,10,Always good to measure more
Calyptocichla serinus,none,4,10,Always good to measure more
Phyllastrephus baumanni,none,2,12,"Range-restricted mainland species, can measure both specimens"
Phyllastrephus cerviniventris,none,2,10,Always good to measure more
Phyllastrephus debilis,debilis,1,10,Always good to measure more
Phyllastrephus debilis,none,3,10,Always good to measure more
Phyllastrephus fulviventris,none,1,10,Always good to measure more
Pycnonotus blanfordi,blanfordi,3,10,Always good to measure more
Pycnonotus blanfordi,conradi,4,10,Always good to measure more
Thescelocichla leucopleura,none,20,10,Always good to measure more
Pycnonotus priocephalus,none,1,21,"Range-restricted mainland species, can measure this specimen"
Pycnonotus squamatus,squamatus,1,20,"Near Threatened, would be nice to measure more specimens"
Pycnonotus squamatus,webberi,1,20,"Near Threatened, would be nice to measure more specimens"
Pycnonotus eutilotus,none,7,20,Always good to measure more
Ixonotus guttatus,none,16,11,Always good to measure more
Atimastillas flavicollis,none,28,12,Always good to measure more
Baeopogon indicator,indicator,12,12,Always good to measure more
Baeopogon indicator,leucurus,1,12,Always good to measure more
Chlorocichla falkensteini,none,8,12,Always good to measure more
Pycnonotus flavescens,flavescens,4,12,Always good to measure more
Pycnonotus flavescens,sordidus,2,12,Always good to measure more
Pycnonotus flavescens,vividus,30,12,Always good to measure more
Pycnonotus nigricans,none,6,12,Always good to measure more
Phyllastrephus terrestris,intermedius,1,13,"Specialist species, can measure all specimens"
Phyllastrephus terrestris,suahelicus,12,13,"Specialist species, can measure all specimens"
Phyllastrephus terrestris,terrestris,2,13,"Specialist species, can measure all specimens"
Pycnonotus melanicterus,none,44,13,Always good to measure more
Phyllastrephus xavieri,serlei,2,13,Always good to measure more
Phyllastrephus xavieri,xavieri,1,13,Always good to measure more
Pycnonotus luteolus,insulae,3,13,Always good to measure more
Pycnonotus luteolus,luteolus,3,13,Always good to measure more
Hypsipetes madagascariensis,madagascariensis,43,14,Always good to measure more
Hypsipetes madagascariensis,none,120,14,Always good to measure more
Hypsipetes siquijorensis,cinereiceps,1,14,Always good to measure more
Hypsipetes siquijorensis,siquijorensis,12,14,Always good to measure more
Phyllastrephus strepitans,none,6,14,Always good to measure more
Chlorocichla laetissima,laetissima,1,15,Always good to measure more
Criniger barbatus,none,10,15,Always good to measure more
Phyllastrephus albigularis,albigularis,1,15,Always good to measure more
Phyllastrephus fischeri,none,30,16,Always good to measure more
Chlorocichla simplex,none,29,17,Always good to measure more
Criniger calurus,calurus,6,17,Always good to measure more
Criniger calurus,emini,1,17,Always good to measure more
Phyllastrephus flavostriatus,alfredi,4,17,Always good to measure more
Phyllastrephus flavostriatus,flavostriatus,4,17,Always good to measure more
Phyllastrephus flavostriatus,tenuirostris,9,17,Always good to measure more
Thapsinillas affinis,affinis,1,17,Always good to measure more
Thapsinillas affinis,none,28,17,Always good to measure more
Pycnonotus cyaniventris,cyaniventris,5,18,Always good to measure more
Pycnonotus cyaniventris,paroticalis,5,18,Always good to measure more
Pycnonotus striatus,paulus,14,18,Always good to measure more
Pycnonotus striatus,striatus,2,18,Always good to measure more
Pycnonotus finlaysoni,eous,2,18,Always good to measure more
Pycnonotus finlaysoni,finlaysoni,6,18,Always good to measure more
Pycnonotus simplex,perplexus,14,18,Always good to measure more
Pycnonotus simplex,prillwitzi,3,18,Always good to measure more
Pycnonotus simplex,simplex,2,18,Always good to measure more
Phyllastrephus scandens,none,1,20,Always good to measure more
Phyllastrephus scandens,scandens,1,20,Always good to measure more
Pycnonotus bimaculatus,bimaculatus,16,22,Always good to measure more
Pycnonotus bimaculatus,none,5,22,Always good to measure more
Pycnonotus plumosus,hachisukae,1,23,We have good coverage with more specimens coming in
Pycnonotus plumosus,hutzi,11,23,We have good coverage with more specimens coming in
Pycnonotus plumosus,none,6,23,We have good coverage with more specimens coming in
Pycnonotus plumosus,plumosus,8,23,We have good coverage with more specimens coming in
Pycnonotus plumosus,porphyreus,5,23,We have good coverage with more specimens coming in
Pycnonotus zeylanicus,none,23,26,We have good coverage with more specimens coming in
Bleda canicapillus,none,3,28,We have good coverage with more specimens coming in
Bleda eximius,none,13,29,We have good coverage with more specimens coming in
Spizixos semitorques,cinereicapillus,4,30,We have good coverage with more specimens coming in
Spizixos semitorques,semitorques,61,30,We have good coverage with more specimens coming in
Chlorocichla flaviventris,centralis,5,32,We have good coverage with more specimens coming in
Chlorocichla flaviventris,flaviventris,10,32,We have good coverage with more specimens coming in
Chlorocichla flaviventris,occidentalis,7,32,We have good coverage with more specimens coming in
Pycnonotus leucogenys,none,20,32,We have good coverage with more specimens coming in
Pycnonotus brunneus,brunneus,9,40,We have good coverage with more specimens coming in
Phyllastrephus icterinus,none,8,41,We have good coverage with more specimens coming in
Pycnonotus taivanus,none,1,61,We have good coverage with more specimens coming in
Hypsipetes everetti,everetti,1,73,We have good coverage with more specimens coming in
Hypsipetes everetti,haynaldi,2,73,We have good coverage with more specimens coming in
Hypsipetes amaurotis,amaurotis,33,88,We have good coverage with more specimens coming in
Hypsipetes amaurotis,hensoni,14,88,We have good coverage with more specimens coming in
Hypsipetes amaurotis,insignis,2,88,We have good coverage with more specimens coming in
Hypsipetes amaurotis,magnirostris,5,88,We have good coverage with more specimens coming in
Hypsipetes amaurotis,matchiae,7,88,We have good coverage with more specimens coming in
Hypsipetes amaurotis,nagamichii,1,88,We have good coverage with more specimens coming in
Hypsipetes amaurotis,ogawae,1,88,We have good coverage with more specimens coming in
Hypsipetes amaurotis,pryeri,2,88,We have good coverage with more specimens coming in
Hypsipetes amaurotis,squamiceps,5,88,We have good coverage with more specimens coming in
Hypsipetes amaurotis,stejnegeri,5,88,We have good coverage with more specimens coming in
Pycnonotus xanthopygos,none,12,105,We have good coverage with more specimens coming in
Pycnonotus barbatus,arsinoe,4,115,We have good coverage with more specimens coming in
Pycnonotus barbatus,barbatus,4,115,We have good coverage with more specimens coming in
Pycnonotus barbatus,gabonensis,7,115,We have good coverage with more specimens coming in
Pycnonotus barbatus,inornatus,9,115,We have good coverage with more specimens coming in
Pycnonotus barbatus,layardi,10,115,We have good coverage with more specimens coming in
Pycnonotus barbatus,none,66,115,We have good coverage with more specimens coming in
Pycnonotus barbatus,schoanus,16,115,We have good coverage with more specimens coming in
Pycnonotus barbatus,somaliensis,2,115,We have good coverage with more specimens coming in
Pycnonotus barbatus,tricolor,51,115,We have good coverage with more specimens coming in
Pycnonotus jocosus,emeria,6,116,We have good coverage with more specimens coming in
Pycnonotus jocosus,jocosus,6,116,We have good coverage with more specimens coming in
Pycnonotus jocosus,monticola,7,116,We have good coverage with more specimens coming in
Pycnonotus jocosus,none,1,116,We have good coverage with more specimens coming in
Pycnonotus jocosus,pattani,17,116,We have good coverage with more specimens coming in
Bleda syndactylus,none,1,117,We have good coverage with more specimens coming in
Bleda syndactylus,woosnami,1,117,We have good coverage with more specimens coming in
Spizixos canifrons,canifrons,1,118,We have good coverage with more specimens coming in
Spizixos canifrons,ingrami,31,118,We have good coverage with more specimens coming in
Ixos mcclellandii,none,77,150,We have good coverage with more specimens coming in
Pycnonotus cafer,bengalensis,2,210,We have good coverage with more specimens coming in
Pycnonotus cafer,cafer,4,210,We have good coverage with more specimens coming in
Pycnonotus cafer,humayuni,3,210,We have good coverage with more specimens coming in
Pycnonotus cafer,intermedius,20,210,We have good coverage with more specimens coming in
Pycnonotus cafer,none,6,210,We have good coverage with more specimens coming in
Pycnonotus cafer,pusillus,1,210,We have good coverage with more specimens coming in
Pycnonotus cafer,stanfordi,2,210,We have good coverage with more specimens coming in
Pycnonotus cafer,wetmorei,1,210,We have good coverage with more specimens coming in
Pycnonotus goiavier,analis,8,387,We have good coverage with more specimens coming in
Pycnonotus goiavier,goiavier,25,387,We have good coverage with more specimens coming in
Pycnonotus goiavier,gourdini,23,387,We have good coverage with more specimens coming in
Pycnonotus goiavier,personatus,5,387,We have good coverage with more specimens coming in
Pycnonotus goiavier,suluensis,13,387,We have good coverage with more specimens coming in
Hypsipetes philippinus,none,37,430,We have good coverage with more specimens coming in
Hypsipetes philippinus,philippinus,3,430,We have good coverage with more specimens coming in
Pycnonotus atriceps,atriceps,43,55,We have good coverage with more specimens coming in
Pycnonotus atriceps,baweanus,1,55,We have good coverage with more specimens coming in
Pycnonotus atriceps,hodiernus,5,55,We have good coverage with more specimens coming in
Pycnonotus atriceps,hyperemnus,1,55,We have good coverage with more specimens coming in
Pycnonotus atriceps,none,1,55,We have good coverage with more specimens coming in
Pycnonotus erythropthalmos,erythropthalmos,2,49,We have good coverage with more specimens coming in
Pycnonotus erythropthalmos,salvadorii,5,49,We have good coverage with more specimens coming in
Pycnonotus melanoleucos,none,15,33,We have good coverage with more specimens coming in
Pycnonotus urostictus,basilanicus,1,127,We have good coverage with more specimens coming in
Pycnonotus urostictus,philippensis,4,127,We have good coverage with more specimens coming in
