"Occurrences","Scientific_Name","Kingdom","Phylum","Class","Order","Family","Genus","Species"
580,"Pycnonotus goiavier","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus goiavier"
578,"Pycnonotus aurigaster","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus aurigaster"
310,"Pycnonotus bimaculatus","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus bimaculatus"
270,"Pycnonotus atriceps","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus atriceps"
174,"Pycnonotus barbatus","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus barbatus"
168,"Pycnonotus melanicterus","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus melanicterus"
156,"Ixos virescens","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Ixos","Ixos virescens"
154,"Pycnonotus plumosus","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus plumosus"
149,"Pycnonotus simplex","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus simplex"
143,"Pycnonotus zeylanicus","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus zeylanicus"
117,"Pycnonotus sinensis","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus sinensis"
109,"Thapsinillas affinis","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Thapsinillas","Thapsinillas affinis"
108,"Hypsipetes madagascariensis","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Hypsipetes","Hypsipetes madagascariensis"
69,"Pycnonotus brunneus","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus brunneus"
66,"Pycnonotus erythropthalmos","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus erythropthalmos"
61,"Spizixos semitorques","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Spizixos","Spizixos semitorques"
53,"Pycnonotus cafer","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus cafer"
50,"Hypsipetes amaurotis","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Hypsipetes","Hypsipetes amaurotis"
42,"Pycnonotus eutilotus","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus eutilotus"
39,"Phyllastrephus fischeri","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Phyllastrephus","Phyllastrephus fischeri"
33,"Pycnonotus squamatus","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","Pycnonotus","Pycnonotus squamatus"
