Species,Specimen.count.in.Naturalis.collections,Specimen.count.in.AVONET,Requested.sample,Comments
Pycnonotus tympanistrigus,11,2,11,"Priority species, please measure all specimens"
Pycnonotus leucogrammicus,19,5,19,"Priority species, please measure all specimens"
Hypsipetes olivaceus/ Iole olivacea,26,6,24,"Priority species, please measure all specimens"
Hypsipetes borbonicus,4,6,4,"Priority species, please measure all specimens"
Thapsinillas longirostris,4,6,4,"Priority species, please measure all specimens, including all subspecies which have now been split into separate species (please report ssp. if applicable)"
Hypsipetes parvirostris,1,7,1,"Priority species, please measure this specimen"
Pycnonotus xantholaemus,1,9,1,"Priority species, please measure this specimen"
Ixos virescens,156,10,20,"Island species, please measure about 20"
Neolestes torquatus,3,10,3,"Range-restricted species, please measure these 3 specimens"
Phyllastrephus hypochloris,7,11,7,"Range-restricted species, please measure all specimens"
Pycnonotus penicillatus,3,12,3,"Range-restricted species, please measure these 3 specimens"
Pycnonotus squamatus,33,20,10,"Vulnerable species, please measure all specimens"
Pycnonotus bimaculatus,310,22,8,"Near Threatened, please measure all specimens"
Hypsipetes madagascariensis,108,14,16,"Island species, please measure all specimens"
Hypsipetes siquijorensis,1,14,1,"Island species, please measure all specimens"
Ixos nicobariensis,3,15,3,"Island species, please measure all specimens"
Thapsinillas affinis,109,17,13,"Island species, please measure all specimens, and list ssp. if applicable "
Setornis criniger,11,13,11,"Specialist species, please measure all specimens if possible"
Phyllastrephus terrestris,11,17,11,"Specialist species, please measure all specimens if possible"
Pycnonotus capensis,12,11,12,Locally common species so would be great to measure all specimens
Pycnonotus nigricans,9,12,9,Locally common species so would be great to measure all specimens
Pycnonotus luteolus,29,13,17,Locally common species so would be great to measure all specimens
Phyllastrephus fulviventris,1,10,1,
Pycnonotus blanfordi,1,10,1,
Pycnonotus xanthorrhous,1,10,1,
Hypsipetes ganeesa,4,11,4,
Iole propinqua,1,11,1,
Calyptocichla serinus,4,10,4,
Chlorocichla falkensteini,8,12,8,
Baeopogon indicator,4,12,4,
Pycnonotus flavescens,3,12,3,
Atimastillas flavicollis,2,12,2,
Pycnonotus dispar,1,12,1,
Acritillas indica,4,13,4,
Pycnonotus melanicterus,168,13,17,
Thescelocichla leucopleura,17,14,16,
Phyllastrephus strepitans,11,14,11,
Hemixos flavala,4,14,4,
Ixonotus guttatus,9,15,9,
Chlorocichla laetissima,1,15,1,
