,Var1,Freq
1,Acritillas icterica,9
2,Alophoixus phaeacephalus,1
3,Alophoixus phaeocephalus,2
4,Andropadus,3
5,Andropadus accentor,4
6,Andropadus ansorgei,20
7,Andropadus ansorgei kavirondensis,3
8,Andropadus ansorgei muniensis,1
9,Andropadus ansorgii,1
10,Andropadus castaneus,68
11,Andropadus curivirostris,20
12,Andropadus curvirostris,169
13,Andropadus curvirostris curvirostris,14
14,Andropadus curvivostris,1
15,Andropadus disturbans,8
16,Andropadus g. gracilirostris,3
17,Andropadus gracilias,1
18,Andropadus gracilirostris,112
19,Andropadus gracilirostris chagwensis,20
20,Andropadus gracilirostris congensis,17
21,Andropadus gracilirostris gracilirostris,11
22,Andropadus gracilirostris percevali,8
23,Andropadus gracilirostris percivali,31
24,Andropadus gracilis,17
25,Andropadus gracilis extreimus,1
26,Andropadus gracilis extremus,9
27,Andropadus gracilis gracilis,11
28,Andropadus gracilis ugandae,29
29,Andropadus i. insularis,2
30,Andropadus importunus,13
31,Andropadus importunus insularis,4
32,Andropadus insularis,3
33,Andropadus insularis sabalaris,38
34,Andropadus insularis subalaris,1
35,Andropadus insularis subaleris,9
36,Andropadus kavirondensis,29
37,Andropadus latirostris,58
38,Andropadus latirostris congener,23
39,Andropadus latirostris eugenia,5
40,Andropadus latirostris eugenius,176
41,Andropadus latirostris latirostris,17
42,Andropadus latirostris saturata,1
43,Andropadus latirostris saturate,2
44,Andropadus latirostris saturatus,8
45,Andropadus latrirostris latrirostris,2
46,Andropadus masukuensis kakamegae,1
47,Andropadus masukuensis roehli,10
48,Andropadus milanjensis,2
49,Andropadus milanjensis striifacies,3
50,Andropadus nigriceps,1
51,Andropadus rochli,1
52,Andropadus roehli,5
53,Andropadus tephrolaemus,3
54,Andropadus tephrolaemus chlorigula,1
55,Andropadus tephrolaemus kikuyuensis,7
56,Andropadus tephrolaemus usambarae,2
57,Andropadus v. virens,5
58,Andropadus virens,58
59,Andropadus virens erythropterus,14
60,Andropadus virens grisescens,16
61,Andropadus virens holochlorus,6
62,Andropadus virens marwitzi,7
63,Andropadus virens virens,163
64,Andropadus virens zombensis,7
