,Species,Specimen.count.in.KU.collections,Current.AVONET.count,Comments
1,Pycnonotus leucops,5,6,"First priority for measuring, we need all that we can get of this species"
2,Rubigula erythropthalmos,32,8,"Priority species, need to measure 10-20 specimens"
3,Setornis criniger,3,10,"Very range restricted species with size dimorphism between sexes, need more specimens"
4,Iole palawanensis,1,10,"Range restricted, would be good to measure"
5,Iole finschii ,10,10,"Near Threatened but decent range, should measure more specimens"
6,Hypsipetes amaurotis,6,10,Abundant species but good to add more from outside mainland Japan
7,Tricholestes criniger,42,16,Always good to add more
8,Hypsipetes madagascariensis,3,10,"Range restricted, would be good to measure"
9,Hypsipetes philippinus,38,10,"Range restricted, would be good to measure at least 10-20 more"
10,Rubigula melanictera,7,11,"Small range size, should measure more specimens"
11,Pycnonotus zeylanicus,13,11,"Critically endangered but decently large range, should measure more specimens"
12,Ixos malaccensis,10,11,"Island bulbul, should add more specimens"
13,Chlorocichla laetissima,3,10,"Small range size, should measure more specimens"
14,Phyllastrephus debilis,1,10,"rabai subspecies needed, from Kenya/Tanzania"
15,Phyllastrephus albigularis,2,11,"Need more museum specimens, currently many are field specimens"
16,Phyllastrephus terrestris,17,10,"Specialist understory brownbul, should measure more specimens"
17,Atimastillas flavicollis,3,10,Always good to add more
18,Baeopogon indicator,2,10,"Widespread, should try and sample more"
19,Phyllastrephus strepitans,2,11,"Clear M-F differences, should measure more"
20,Pycnonotus blanfordi,1,10,"Abundant within a small range, should sample more"
21,Pycnonotus brunneus,36,10,"Widespread, should try and sample more"
22,Phyllastrephus xavieri,5,13,"Clear M-F differences, should measure more"
23,Rubigula squamata,9,20,"Near Threatened but decent range, should measure more specimens"
24,Pycnonotus simplex,51,11,"Widespread, should try and sample more subpopulations"
25,Alophoixus ruficrissus,23,11,Already getting more specimens from other collections but always good to add more for this range-restricted species
26,Iole charlottae,10,10,"Bornean endemic, good to get more"
27,Microtarsus melanoleucos,5,11,"Scarce species, should measure more specimens"
28,Phyllastrephus fischeri,8,10,Always good to add more
29,Arizelocichla tephrolaemus,1,10,Always good to add more
30,Phyllastrephus scandens,2,12,Always good to add more
31,Alophoixus tephrogenys,33,13,Always good to add more
32,Ixonotus guttatus,3,11,Always good to add more
33,Rubigula cyaniventris,20,17,Always good to add more
34,Pycnonotus plumosus,63,13,Always good to add more
35,Microtarsus atriceps,52,13,Always good to add more
36,Phyllastrephus flavostriatus,1,15,Always good to add more
37,Criniger calurus,8,16,Always good to add more
38,Criniger chloronotus,1,16,Always good to add more
39,Hemixos cinereus,14,20,Always good to add more
40,Andropadus gracilirostris,3,18,Always good to add more
41,Alophoixus phaeocephalus,30,12,Already received enough specimens from other collections
42,Chlorocichla flaviventris,2,21,No need for more unless a particular subpopulation
43,Arizelocichla milanjensis,3,26,No need for more unless a particular subpopulation
44,Pycnonotus plumosus,63,13,Many specimens coming from other museums already
45,Alophoixus frater,4,12,"We have more specimens being measured elsewhere, but can add more"
46,Arizelocichla masukuensis,4,34,No need for more unless a particular subpopulation
47,Bleda syndactylus,5,95,No need for more unless a particular subpopulation
48,Bleda notatus,3,219,Already have enough with subpopulations
49,Andropadus importunus,25,30,Already have enough with subpopulations
50,Eurillas virens,12,153,Already have enough with subpopulations
51,Eurillas latirostris,15,527,Already have enough with subpopulations
52,Microtarsus eutilotus,16,20,"No need for more, already have more coming from philippines"
53,Pycnonotus urostictus,11,10,"Lot more coming from UPLB, no need for more"
54,Pycnonotus goiavier,57,40,"No need for more, already have more coming from philippines"
55,Pycnonotus xanthopygos,6,21,"No need for more, already have subpopulation-level data"
56,Pycnonotus barbatus,24,44,Already have enough with subpopulations
57,Pycnonotus cafer,2,40,Already have enough with subpopulations
