Catalog #,Tissue #,Family - Full Name,Preparator #,Genus - Full Name,Species - Full Name,Country - Full Name,State - Full Name,County - Full Name,Locality,DecimalLatitude,DecimalLongitude,Collection Date,Preparations,Collection Object - Remarks,Collector (orig),Collectors - Last Name,Collectors - First Name,Collectors - Middle Initial,Specimen Attribute - Age,Age Category,Specimen Attribute - Bursa,Specimen Attribute - Fat,Specimen Attribute - Gonads,Specimen Attribute - Molt,Specimen Attribute - Sex,Skull Oss.
15200,,Pycnonotidae,,Pycnonotus,goiavier,Philippines,Unplaced,Zamboanga Sibugay,Malaugas,,,04/04/23,Skin - 1,donated to KU Museum,"Taylor, E.H.",Taylor,E.,H.,,,,,,,M,
15201,,Pycnonotidae,,Pycnonotus,goiavier,Philippines,Unplaced,Zamboanga Sibugay,Malaugas,,,,Skin - 1,donated to KU Museum,"Taylor, E.H.",Taylor,E.,H.,,,,,,,U,
29518,,Pycnonotidae,,Phyllastrephus,fischeri,,,,"Karura Forest, Nairobi",-1.16667,36.83333,08/22/1949,Skin - 1,gonads drawn on tag,"Clade, C.E.",Clade,C.,E.,Adult,,,,testes minute,,M,100%
33046,,Pycnonotidae,429,Pycnonotus,jocosus,,,,N/A,,,,Skeleton - 1,captive bird,"WOOLFENDEN, G.  E.",Woolfenden,G.,E.,,,,,,,U,
40019,,Pycnonotidae,,Pycnonotus,cafer,Pakistan,,,"Lahore, 20 mi NW",,,03/31/1961,Skin - 1,,"Maldonado, A.",Maldonado,A.,,,,,,,,F,
40020,,Pycnonotidae,,Pycnonotus,cafer,Pakistan,,,"Lahore, 20 mi NW",,,03/31/1961,Skin - 1,,"Maldonado, A.",Maldonado,A.,,,,,,,,M,
40991,,Pycnonotidae,3518,Alophoixus,ochraceus,Malaysia,Borneo,,"Tenom, 5.5 mi SW",,,12/23/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
40993,,Pycnonotidae,3559,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/01/63,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,testes enlarged,,M,
40994,,Pycnonotidae,3560,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/01/63,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
40995,,Pycnonotidae,3567,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/02/63,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes small,,M,
40996,,Pycnonotidae,3569,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/02/63,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
40998,,Pycnonotidae,3571,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/02/62,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,testes 9 x 7 mm,,M,
40999,,Pycnonotidae,3572,Pycnonotus,goiavier,Malaysia,Borneo,,Tenom,,,01/02/63,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,light,ovary granular,,F,
41024,,Pycnonotidae,3353,Alophoixus,bres,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,11/27/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41025,,Pycnonotidae,3354,Alophoixus,bres,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,11/27/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
41026,,Pycnonotidae,3110,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalbakan, 12 mi. N; Tawau Residency",,,10/20/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41027,,Pycnonotidae,3125,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalbakan, 12 mi. N; Tawau Residency",,,10/22/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
41028,,Pycnonotidae,3155,Alophoixus,phaeocephalus,Malaysia,Borneo,,"Kalbakan, 12 mi. N; Tawau Residency",,,10/26/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
41029,,Pycnonotidae,3109,Setornis,criniger,Malaysia,Borneo,,"Kalabakan, 12 mi. N; Tawau Residency",,,10/20/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,M,
41030,,Pycnonotidae,3337,Setornis,criniger,Malaysia,Borneo,,"Cocoa Research Station, ca. 2 mi SW, Quoin Hill, Tawau Residency",,,11/27/1962,Skeleton - 1,,"Thompson, M.C.",Thompson,M.,C.,,,,,,,F,
