Measurer,Measurer.name,Individuals.measured
AAB,Adham Ashton-Butt,2
AD,Adam J. M. Devenish,3
AJP,Andrew Pierce,339
AK,Adi Karya,5
AKL,Aung Ko Lin,1
AKW,Andrew Wiegardt,93
ALN,Albert Noorlander,1
AME,Amancio Motove Etingue,7
AN,Alexander Neu,4
ABVNJ,"Abacahin, Venus Nadine J.",16
ABVNJ/FML,"Abacahin, Venus Nadine J. & Fabella, Marianne Lovella",21
AKS,Akshay,9
APA,Aparna,1
ARS,Archita Sharma,25
ARP,Arpitha,8
AW,Ashwin Warudkar,24
BAK,Billi Krochuk,67
BB,Bung Boraphet Team,1
BL/JW,Bicheng Li/Junfu Wang,2
BP,Ben Phalan,2
BRW,Brian C. Weeks,157
BCR,"Bajamunde, Charlene R.",102
BCR/FML,"Bajamunde, Charlene R. & Fabella, Marianne Lovella",42
BJJ,"Bashier Jailani, Jr.",19
CAM,Camila Gibas Meneses,118
CAY,Cayetano Ebana Ebana,47
CC,Chanon Chirachitmichai,1
CDT,Carla du Toit,89
CJ,Crinan Jarrett,39
CJD,Caroline Dingle,54
CJN,Chima Nwaogu ,536
CM,Cecilia Montauban,1
CMP,Charlotte M. Probst,531
CN,Chukiat Nualsri,7
CS,Catherine Sheard,177
CSM,Coloma Sonsoles Nzang Malabo,3
CV,Claire Vincent,254
CA,Chiti Arvind,6
DA,Desmond Allen,2
DH,Dagmar M. Hanz,25
DK,David J. Kelly,57
DML,Dayna Levine,4
DNA,Desmond Allen,46
DVP,David Vander Pluym,584
ECJ,Eden Cottee-Jones,13
EH,Enam Ul Haque,7
ELK,Ethan Kistler,13
EMB,Ellie Barrie,38
EMS,Elizabeth Steell,84
ER,Ekadh Ranganathan,997
FS,Ferran Sayol,3
FML,"Fabella, Marianne Lovella",35
FZ,Faizee,1
GB,Gerard Brett,1
GBE,Graham Beal,1
GG,George Gale,15
GJI,Greg J. Irving,3
GPM,Geoff Mawson,5
GT,Gavin H. Thomas,74
GTI,Gayatri,1
JT,"Gonzalez, Juan Carlos T. ",111
HB,Hannah Batten,28
HD,Henrik Dahl,1
HM,Hannah E. A. MacGregor,64
HP,Henry S. Pollock,12
ICE,IC Enriquez,103
IJ,Israt Jahan,5
JAT,Joseph A. Tobias,36
JC,Juan Carlos T. Gonzalez,2
JDT,Jaden Tran,4
JDW,Jared D. Wolfe,204
JEM,Jonathan Murray,32
JHW,Joris Wiethase,89
JK,Jitwadee Khoonwongsa,41
JND,Nick Dymond,9
JS,James Steward,5
JV,Jan Visser,9
JHN,Jestonie H. Namion,86
KAP,Kacharat Phromkunathon,2
KEB,Kristin E. Brzeski,5
KEK,Kevin Kelly,1
KHT,Khemthong Tonsakulrungruang,10
KI,Kultida Itthiporn [Ying],12
KJT,Kevin Thornton,8
KMP,Kier Mitchel Pitogo,110
KP,Korakoch Pobprasert,31
KS,Kaset Sutasha,1
KT,Kihoko Tokue,44
KW,Klara Widrig,79
KZT,Kyaw Zin Tun,2
KSH,Kaushalendra,14
LAB,Lainie Berry,5
LB,Laura Kettering (née Birkmann),23
LJM,Lukas J. Musher,183
LLP,Luke L. Powell,60
LN,Larissa Nowak,28
MAF,Miguel Angel Fuentes Rosua,14
MB,Martin Bulla,113
MCKS,Malcolm CK Soh,53
MEB,Matthew Brooks,28
MFJ,Mike Jackson,1
MFZ,Michael A. Ford,50
MH,Maarten Hoepel,56
MM,Mmatjie Mashao,2
MMU,Martha Mutiso,3
MNC,Montague H. C. Neate-Clegg,110
MNE,Maria Nchama Ela Nchama,1
MNJ,Muhammad Nazri Janra,19
MP,Martin Päckert,8
MPJN,Michaël PJ Nicolaï,49
MRH,Martin Hromada,64
MS,Marjorie C. Sorensen,8
MSU,Maha Sarakham Unii,7
MMPM/FML,"Moralde, Ma. Patricia Marielle & Fabella, Marianne Lovella",18
MBN,Mubeen,1
ND,Nick Dymond,2
NDD,Nihan Dagtas,83
NGL,Ngwe Lwin,3
NJC,Nigel Collar,228
NJTA,Nico Alioravainen,11
NM,Nicola M. Marples,6
NNDA,Nathaniel N. D. Annorbah,121
NS,Nicolas Soulages,12
NWR,Nick W Ramsey,1
NG,Naman Goyal,36
OAJ,Omarkayam A. Jaafar,61
PCG,Patricia C Guedes,2
PD,Poramad Dougkomnna,3
PDR,Philip Round,169
PET,Phetprakai,22
PFR,Patricia F Rodrigues,42
PLK,Paisin Lekcharoen,23
PM,Peter Mikula,513
PN,Panagiotis Nikolaou,4
POL,Tun Tun Oo,4
PW,Patrick A. Walkden,32
RA,Rongrong Angkaew,5
RBP,RB Perez,127
RC,René Corado,1
RIF,Richard Fuller,25
RK,Dr. Rungsrit Kanjanavanit,1
RL,Richard Littauer,16
RML/OP,René Marie Lafontaine & Olivier Pauwels,31
ROC,Ross Crates,2
RB,Raja Bandi,8
RV,Robin Vijayan,116
SAI,Chadaporn Srisai,1
SAL,Susana Lin,80
SEIJ,Samuel E. I. Jones,15
SEM,Silvestre Nelson Esteban Malanza,75
SGS,Stephen Samworth,14
SHM,Saw Htoo Mim,1
SK,Somboon Kamtaeja,5
SN,Somchai Nimnuan,36
SON,Sontaya Manawattana,155
ST,Supatcharee Tanasarnpaiboon,19
SUP,Supat Prasobsin,6
SYC,Stephanie Chia,141
SHV,Shivam,17
SUB,Subash,1
TAI,Thanyarat Tatuwan,1
TB,Tom Backlund,2
TE,Ton Eggenhuizen,3
TEM,Pornkasem Kantamara,1
THU,Thura Soe Min Htike,1
TO,Tiwa Ong-in,4
TP,Thanathip Panyawutthitham,1
TSK,Thanyarat Sukruan,2
TT,Till Töpfer,3
UPAM,"Umale, Paul Allan Mesina",21
VG,Vedant Gattani,452
VGR,Vanya Gregor Rohwer,122
VS,Vinicio Santillán,4
Varun_Kher,Vattikorn Sophonrat,15
VJAL,"Villamin, James Andro L.",299
VKL,Vinay KL,8
VIJ,Viral Joshi,19
VNU,Vishnu,42
VWA,Vishwa,4
WAS,Wasana,2
WB,Woraphot Boonkwamdee,107
WCH,Warut Chaleekarn,2
WJ,Bill Jones,8
WL,Wichyanan Limparungpatthanakij,17
WS,Khieo Wangworn Sankamethavee,120
WZ,Wenyi Zhou,32
X,Mikio Nayohara,1
YUP,Yupin,1
YW,Yue Wu,52
YD,Yash Deshpande,3
ZWE,Zwe Zaw Zaw Hein,1
