Measurer,Measurer.name,Individuals.measured
AC,Andrea Corrales-Vargas,1302
AD,Adam J. M. Devenish,6
AER,Abigail E. Rothrauff,10
AF,Anna Fantur,188
AK,Adi Karya,40
AKW,Andrew Wiegardt,237
AME,Amancio Motove Etingue,20
AMGZ,Ada M. Grabowska-Zhang,255
AMR,Amilkar J. Moncada R.,647
AMS,Alejandra Martínez-Salinas,549
AN,Alexander Neu,419
AP,Alex L. Pigot,105
APH,Anna G. Phillips,1908
BAK,Billi Krochuk,180
BCW,Brian C. Weeks,1140
BD,Benjamin G. Daly,422
BDK,Bianca Darski,1878
BGF,Benjamin G. Freeman,1733
BL/JW,Bicheng Li/Junfu Wang,34
BM,Beata Matysioková,633
BP,Ben Phalan,63
CAY,Cayetano Ebana Ebana,156
CGM,Camila G. Meneses,179
CJ,Crinan Jarrett,126
CM,Cecilia Montauban,4
CR,Carsten Rahbek,3518
CRS,Christina Schultheiß,130
CS,Catherine Sheard,10981
CT,Christopher H. Trisos,1170
CV,Claire Vincent,2969
DBM,Delaney B. Morrow,2
DC,Dominic Chesire,29
DH,Dagmar M. Hanz,1159
DK,David J. Kelly,301
DMP,Dewi M. Prawiradilaga,12
DOC,Darren O'Connell,48
DS,Daniel Swindlehurst,1305
DTB,Daniel T. Baldassarre,600
ECJ,Eden Cottee-Jones,496
ED,Elizabeth P. Derryberry,25
ELK,Ethan Kistler,27
EM,Edson Mlamba,40
EMB,Ellie Barrie,93
ETM,Eliot T. Miller,9
FAMC,Flavia Montaño-Centellas,2031
FGS,F. Gary Stiles,64
FP,Faansie Peacock,14
FR,Frank E. Rheindt,1
FS,Ferran Sayol,205
GAB,Gustavo A. Bravo,827
GAJ,Gabriel A. Jamie,175
GRRB,Guilherme R. R. Brito,100
GT,Gavin H. Thomas,6542
HK,Heiko Korntheuer,1320
HM,Hannah E. A. MacGregor,3951
HP,Henry S. Pollock,275
HPG,Peng He,4
HSL,Hevana S. Lima,57
HST,Henrike Schulte to Bühne,14
IG,M. Isabel Gómez,35
JAT,Joseph A. Tobias,616
JC,Juan Carlos T. Gonzalez,191
JCC,Jacob C. Cooper,1
JDW,Jared D. Wolfe,522
JF,Jon Fjeldså,29
JHW,Joris Wiethase,224
JMM,James M. Maley,63
JPM,Jay P. McEntee,204
JRA,Jarome R. Ali,28
JRD,Julia Robinson-Willmott,9
JRF,Jérôme Fuchs,30
JTH,Jeffrey T. Howard,41
KEB,Kristin E. Brzeski,14
KLP,Kaiya L. Provost,52
KV,Kerri Vierling,1
KZ,Kristof Zyskowski,82
LB,Laura Kettering (née Birkmann),305
LC,Lincoln S. Carneiro,763
LDCF,Lincoln D. C. Fishpool,13
LFS,Luis Fabio Silveira,320
LJCS,Cardona-Salazar,3306
LLP,Luke L. Powell,177
LN,Larissa Nowak,758
LNN,Luciano N. Naka,1
LS,Lankani Somarathna,3
MAF,Miguel Angel Fuentes Rosua,44
MAHC,Marcus A. H. Chua,37
MAM,Marcia C. Muñoz,180
MB,Matheus Bitencourt,7
MCZ,Moses Chibesa,44
MEB,Matthew Brooks,58
MF,Michaela Forthuber,2
MFZ,Michael A. Ford,398
MH,Michael G. Harvey,74
MIH,Milly Hong,127
MJ,Maura Jurado Zevallos,69
ML,Maria Livrand,531
MLC,Monica L. Carlson,24
MM,Mmatjie Mashao,42
MME,Martin Meads,8
MNC,Montague H. C. Neate-Clegg,5089
MP,Martin Päckert,34
MPC,M. P. Camelo,153
MR,Matt J. Rayner,10
MS,Marjorie C. Sorensen,457
NCG,Natalia C. García,35
NF,Nicholas R. Friedman,1367
NJC,Nigel Collar,979
NJTA,Nico Alioravainen,4047
NM,Nicola M. Marples,2076
NNDA,Nathaniel N. D. Annorbah,283
NS,Nicolas Soulages,901
NT,Natasha Turner,342
OJ,Oscar Johnson,107
PC,Philip M. Chapman,524
PEC,Peter Capainolo,4
PFR,Patty Rodrigues,119
PH,Peter A. Hosner,63
PRS,Paul R. Sweet,21
PW,Patrick A. Walkden,1452
RB,Rauri C. K. Bowie,9
RBL,Rosalbina Butron Loayza,54
RC,Ross Crates,73
RCU,Rolly C. Urriza,17
RJ,Ron Johnstone,1
RJM,Rebekah J. Mayhew,323
RL,Robert Lauer,8
RML,René-Marie Lafontaine,6
RP,Robert Pople,4
RPS,R. Paul Scofield,4
SA,Sebastián Aveldaño,2
SAL,Susana Lin,199
SC,Santiago Claramunt,1868
SEIJ,Samuel E. I. Jones,2811
SEM,Silvestre Nelson Esteban Malanza,191
SF,Sylke Frahnert,1
SK,Sean Kelly,1
SPR,Steve P. Rogers,1
SRW,Sarah Rosenwohl-Mack,760
SS,Sonia Salazar,51
TB,Tom P. Bregman,1501
TJM,Thomas J. Matthews,169
TL,Tom Bradfer-Lawrence,66
TP,Tony Parker,1
TT,Till Töpfer,789
TV,Thomas Valqui,13
VC,Vivien Chua,41
VL,Victor Leandro-Silva,1992
VR,Vladimír Remeš,810
VS,Vinicio Santillán,25
YL,Yingqiang Lou,4
