Source,Institution name,Specimens sampled,Institution city,Institution country,Latitude,Longitude
NHMUK,Natural History Museum,1566,London,UK,,
UPLB,"University of the Philippines Los Baños, Museum of Natural History",831,Los Baños,Philippines,,
UMMZ,"University of Michigan, Museum of Vertebrate Zoology",688,Ann Arbor,USA,,
LSUMZ,"Louisiana State University, Museum of Natural Science",584,Baton Rouge,USA,,
ISCED,Instituto Superior de Ciências de Educação da Huíla (ISCED-Huíla),488,Lubango,Angola,,
ROM,"Royal Ontario Museum, Department of Natural History",452,Ontario,Canada,,
PNM,Philippine National Museum,234,Manila,Philippines,,
KU,University of Kansas Biodiversity Institute,228,Lawrence,USA,,
RMNH,Naturalis Biodiversity Center,206,Leiden,Netherlands,,
ANSP,Academy of Natural Sciences of Drexel University (Philadelphia),183,Philadelphia,USA,,
UMZC,"University Museum of Zoology, Cambridge",173,Cambridge,USA,,
USNM,Smithsonian Institute’s National Museum of Natural History,164,Washington DC,USA,,
CUMV,Cornell University Museum of Vertebrates,122,Ithaca,USA,,
NMP,National Museum in Prague,113,Prague,Czechia,,
SMNHTAU,The Steinhardt Museum of Natural History,83,Tel Aviv,Israel,,
ZFMK,Zoologisches Forschungsmuseum Alexander Koenig,79,Bonn,Germany,,
BNHS,Bombay Natural History Society,70,Mumbai,India,,
TBRI,Taiwan Biodiversity Research Institute,56,Jiji,Taiwan,,
UWBM,"University of Washington, Burke Museum of Natural History and Culture",54,Seattle,USA,,
SYS,"Museum of Biology, Sun Yat-sen University",42,Guangzhou,China,,
OUM,Oxford University Museum of Natural History,41,Oxford,UK,,
WFVZ,Western Foundation of Vertebrate Zoology,39,Camarillo,USA,,
AMNH,American Museum of Natural History,36,New York,USA,,
RBINS,Royal Belgian Institute of Natural Sciences,31,Brussels,Belgium,,
QM,Queensland Museum,25,Brisbane,Australia,,
MZUA,Museum Zoologi Universitas Andalas,19,Padang,Indonesia,,
SMF,Senckenberg Forschungsinstitut und Naturmuseum,17,Frankfurt,Germany,,
BRCAS,"Biodiversity Research Museum, Academia Sinica, Taiwan",16,Taipei,Taiwan,,
NMNZ,Museum of New Zealand Te Papa Tongarewa,16,Wellington,New Zealand,,
MZB,Museum Zoologicum Bogoriense,12,Bogor,Indonesia,,
ZMB,Leibniz-Institut für Evolutions und Biodiversitätsforschung an der Humboldt-Universität zu Berlin,11,Berlin,Germany,,
IZCAS,"Institute of Zoology, Chinese Academy of Sciences",10,Beijing,China,,
NHM-BS,Staatliches Naturhistorisches Museum,6,Braunschweig,Germany,,
NMV,Museums Victoria,5,Melbourne,Australia,,
MNHN,Muséum national d'Histoire naturelle,4,Paris,France,,
UWO,University of Western Ontario,4,London,Canada,,
MMUM,Manchester Metropolitan University Museum,3,Manchester,UK,,
AM,Australian Museum,2,Sydney,Australia,,
DNSM,Durban Natural Science Museum,2,Durban,South Africa,,
NHMD,"Natural History Museum of Denmark, University of Copenhagen",2,Copenhagen,Denmark,,
SNHM,Shanghai Natural History Museum,2,Shanghai,China,,
SNSB-ZSM,Staatliche Naturwissenschaftliche Sammlung Bayerns - Zoologische Staatssammlung München,2,München,Germany,,
BMNHC,Beijing Museum of Natural History,1,Beijing,China,,
MSNG,Natural History Museum of Giacomo Doria,1,Genova,Italy,,
Field1 (unpublished data from multiple field projects),NA,4851,NA,NA,,
Field2 (published data from live specimens) - (Shakya et al. 2019),NA,10,NA,NA,,
Total,,11574,,,,
