"","Scientific_name","IUCN_Category","Specimen_Count"
"1","Alophoixus bres","EN",10
"2","Alophoixus pallidus","NE",17
"3","Alophoixus tephrogenys","VU",13
"4","Arizelocichla kikuyuensis","NE",27
"5","Arizelocichla milanjensis","NT",27
"6","Arizelocichla nigriceps","NE",16
"7","Bleda eximius","NT",17
"8","Chlorocichla prigoginei","EN",1
"9","Criniger olivaceus","VU",13
"10","Hemixos cinereus","NE",20
"11","Hypsipetes borbonicus","NT",4
"12","Hypsipetes catarmanensis","NT",1
"13","Hypsipetes everetti","NE",13
"14","Hypsipetes guimarasensis","NE",9
"15","Hypsipetes mindorensis","NE",7
"16","Hypsipetes moheliensis","EN",1
"17","Hypsipetes nicobariensis","NT",11
"18","Hypsipetes olivaceus","VU",5
"19","Hypsipetes parvirostris","NT",7
"20","Hypsipetes philippinus","NE",10
"21","Hypsipetes platenae","CR",1
"22","Hypsipetes rufigularis","NT",10
"23","Hypsipetes siquijorensis","EN",2
"24","Iole cacharensis","NE",8
"25","Iole charlottae","NE",10
"26","Iole crypta","NE",11
"27","Iole finschii","NT",10
"28","Iole propinqua","NE",11
"29","Iole viridescens","NE",10
"30","Ixos malaccensis","NT",11
"31","Microtarsus eutilotus","NT",20
"32","Microtarsus melanoleucos","NT",20
"33","Microtarsus nieuwenhuisii","DD",2
"34","Microtarsus priocephalus","NT",20
"35","Phyllastrephus albigula","NT",21
"36","Phyllastrephus viridiceps","NT",1
"37","Pycnonotus bimaculatus","NT",20
"38","Pycnonotus blanfordi","NE",10
"39","Pycnonotus conradi","NE",11
"40","Pycnonotus snouckaerti","EN",1
"41","Pycnonotus taivanus","VU",3
"42","Pycnonotus zeylanicus","CR",11
"43","Rubigula cyaniventris","NT",17
"44","Rubigula dispar","VU",10
"45","Rubigula squamata","NT",20
"46","Setornis criniger","VU",10
