"","Common.name","area_square_miles","Estimate","Lower","Upper","Scientific.name","Order","Family","X95..Lower.CI","Abundance.estimate","X95..Upper.CI","Range.adjusted","Training.species"
"1","Abbott's Booby",261607.1646,NA,NA,NA,"Papasula abbotti","Suliformes","Sulidae (Boobies and Gannets)",2706,250226,23483301,TRUE,FALSE
"2","Abbott's Starling",1943.320922,"6250","2500","9999","Poeoptera femoralis","Passeriformes","Sturnidae (Starlings)",1,94,8259,TRUE,FALSE
"3","Aberdare Cisticola",491.3050749,"X","X","X","Cisticola aberdare","Passeriformes","Cisticolidae (Cisticolas and Allies)",1,103,8958,TRUE,FALSE
"4","Aberrant Bush Warbler",639294.8926,NA,NA,NA,"Horornis flavolivaceus","Passeriformes","Scotocercidae (Bush Warblers and Allies)",7647,647343,59021188,TRUE,FALSE
"5","Abert's Towhee",65728.5445,NA,NA,NA,"Melozone aberti","Passeriformes","Passerellidae (New World Sparrows)",5656,296667,16481028,FALSE,TRUE
"6","Abyssinian Catbird",30477.06967,NA,NA,NA,"Parophasma galinieri","Passeriformes","Sylviidae (Sylviid Warblers)",1310,111248,10214525,TRUE,FALSE
"7","Abyssinian Crimsonwing",99667.32058,NA,NA,NA,"Cryptospiza salvadorii","Passeriformes","Estrildidae (Waxbills and Allies)",793,69007,5828896,FALSE,FALSE
"8","Abyssinian Ground-Hornbill",1730567.791,NA,NA,NA,"Bucorvus abyssinicus","Bucerotiformes","Bucorvidae (Ground-Hornbills)",3976,362164,34379441,TRUE,FALSE
"9","Abyssinian Ground-Thrush",126679.6704,NA,NA,NA,"Geokichla piaggiae","Passeriformes","Turdidae (Thrushes and Allies)",1089,82706,8092730,TRUE,FALSE
"10","Abyssinian Longclaw",156366.6896,NA,NA,NA,"Macronyx flavicollis","Passeriformes","Motacillidae (Wagtails and Pipits)",981,81191,7187689,TRUE,FALSE
"11","Abyssinian Nightjar",311596.5056,NA,NA,NA,"Caprimulgus poliocephalus","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)",1209,100183,9832445,TRUE,FALSE
"12","Abyssinian Owl",59457.88774,NA,NA,NA,"Asio abyssinicus","Strigiformes","Strigidae (Owls)",1127,95304,8674336,TRUE,FALSE
"13","Abyssinian Roller",1928031.213,NA,NA,NA,"Coracias abyssinicus","Coraciiformes","Coraciidae (Rollers)",56440,4829299,468486256,TRUE,FALSE
"14","Abyssinian Scimitarbill",797077.8637,NA,NA,NA,"Rhinopomastus minor","Bucerotiformes","Phoeniculidae (Woodhoopoes and Scimitarbills)",8722,811493,78608800,TRUE,FALSE
