COMMON_NAME,area_square_miles
Emerald-chinned Hummingbird,55834.13008
Rufous-faced Warbler,658166.2546
Black-faced Warbler,351049.0522
Yellow-bellied Warbler,962717.1711
Spiny-cheeked Honeyeater,2307554.129
Common Redpoll,5222599.28
Rifleman,58881.79328
Inland Thornbill,1592382.549
Yellow-rumped Thornbill,1772570.013
Gray Thornbill,48073.31663
Tasmanian Thornbill,26274.32786
Western Thornbill,53052.57152
Slender-billed Thornbill,381131.8713
Mountain Thornbill,22469.53294
Striated Thornbill,403018.2834
Papuan Thornbill,32101.26943
Yellow Thornbill,780469.5488
Brown Thornbill,436995.6318
Buff-rumped Thornbill,711746.0618
Slaty-backed Thornbill,796080.4722
Chestnut-rumped Thornbill,1848969.757
Western Spinebill,70354.6474
Eastern Spinebill,294788.7034
Scrubtit,17387.07696
Pied Goshawk,14463.78774
Shikra,8010562.769
Bicolored Hawk,5524981.185
New Britain Sparrowhawk,13737.72522
Nicobar Sparrowhawk,126.5779864
Chestnut-flanked Sparrowhawk,809421.4773
Collared Sparrowhawk,2119165.811
Semicollared Hawk,97785.85233
Cooper's Hawk,2331412.923
Rufous-necked Sparrowhawk,18590.85777
Red-thighed Sparrowhawk,1507649.456
Brown Goshawk,3158377.11
Frances's Sparrowhawk,200567.1064
Sulawesi Goshawk,54287.61991
Japanese Sparrowhawk,202.9286083
Gundlach's Hawk,12938.77738
New Caledonia Goshawk,6328.028791
Moluccan Goshawk,8796.082838
Henst's Goshawk,167814.5553
Variable Goshawk,306763.5544
Slaty-mantled Goshawk,11125.38152
Madagascar Sparrowhawk,183983.5953
Black-mantled Goshawk,44575.26551
Black Goshawk,3500807.953
Meyer's Goshawk,103916.7617
Little Sparrowhawk,2623313.351
Small Sparrowhawk,42655.21323
Eurasian Sparrowhawk,3309528.123
Gray Goshawk,697709.3829
Ovambo Sparrowhawk,2816903.42
Gray-headed Goshawk,259266.6063
Gray-bellied Hawk,2305908.789
New Britain Goshawk,4459.311581
Vinous-breasted Sparrowhawk,56384.88443
Fiji Goshawk,6788.07736
Rufous-chested Sparrowhawk,291913.9811
Chinese Sparrowhawk,46854.12809
Sharp-shinned Hawk,3926398.695
Red-chested Goshawk,1775340.283
Spot-tailed Goshawk,46424.27022
Crested Goshawk,1299780.19
Besra,1698235.408
Rockrunner,163568.0244
Collared Myna,126722.9993
Vinous-breasted Starling,126437.1664
Pale-bellied Myna,7747.445625
Crested Myna,1186588.004
Jungle Myna,930937.8186
Bank Myna,633723.8924
Great Myna,659127.6462
Javan Myna,50512.05977
Black-winged Starling,14.94227487
Common Myna,3305632.305
Pink-legged Graveteiro,1424.533989
Kiritimati Reed Warbler,177.8508703
Tuamotu Reed Warbler,235.9680125
Australian Reed Warbler,2070935.153
Cape Verde Swamp Warbler,511.3727355
Tahiti Reed Warbler,103.0809954
Blunt-winged Warbler,21598.09388
Millerbird,0.599994787
Lesser Swamp Warbler,1857135.136
Saipan Reed Warbler,52.0875502
Cook Islands Reed Warbler,26.81368705
Moustached Warbler,188269.4675
Southern Marquesan Reed Warbler,229.1377774
Madagascar Swamp Warbler,228231.8557
Northern Marquesan Reed Warbler,184.7146488
Nauru Reed Warbler,7.064791214
Rimitara Reed Warbler,2.642595614
Rodrigues Warbler,1.054880183
Greater Swamp Warbler,540577.2481
Eurasian Reed Warbler,2495885.039
Seychelles Warbler,0.167552216
Clamorous Reed Warbler,859556.8269
Caroline Reed Warbler,217.0593475
Henderson Island Reed Warbler,15.87337234
Pitcairn Reed Warbler,1.851500486
Ocellated Tapaculo,43595.36761
Vulturine Guineafowl,473616.3102
Moustached Kingfisher,2464.47163
Rufous-collared Kingfisher,395532.9435
Blue-capped Kingfisher,9542.181286
Spotted Kingfisher,41166.35182
Green-backed Kingfisher,27895.69963
Scaly-breasted Kingfisher,38988.58683
Rusty-fronted Barwing,101293.034
Spectacled Barwing,22438.63712
Black-crowned Barwing,4037.37701
Spotted Sandpiper,36721.56852
African Jacana,6559246.586
Madagascar Jacana,43650.57478
Speckled Hummingbird,239466.9144
Clark's Grebe,317382.0173
Western Grebe,178688.4313
Long-tailed Tit,7045290.036
Black-throated Tit,1080117.797
Sooty Tit,83684.50397
Silver-throated Tit,692809.5034
Black-browed Tit,26332.48619
White-cheeked Tit,66242.7579
Great Iora,647070.9301
White-tailed Iora,275790.6338
Common Iora,2454057.342
Green Iora,428419.7374
Northern Saw-whet Owl,2205749.789
Boreal Owl,9110453.602
Buff-fronted Owl,424150.8772
Unspotted Saw-whet Owl,16985.6169
Vogelkop Owlet-nightjar,442.7379856
Mountain Owlet-nightjar,36752.16064
Archbold's Owlet-nightjar,17368.30875
Barred Owlet-nightjar,76491.58411
Moluccan Owlet-nightjar,7900.895175
Australian Owlet-nightjar,2974043.654
Feline Owlet-nightjar,64869.19672
