COMMON_NAME,area_square_miles,Estimate,Lower,Upper
New Caledonian Owlet-nightjar,4.143546239,25,1,49
Puerto Rican Parrot,59.70116337,25,1,49
Glaucous Macaw,0.377636738,25,1,49
Pohnpei Starling,23.73976023,25,1,49
Antioquia Brushfinch,88.90444389,25,1,49
Kinglet Calyptura,1.204219007,25,1,49
Red-throated Lorikeet,6377.47818,25,1,49
New Caledonian Lorikeet,0.375828009,25,1,49
Silvery Wood-Pigeon,694.7776639,25,1,49
Sulu Bleeding-heart,226.0623551,25,1,49
New Caledonian Rail,0.37733024,25,1,49
Tachira Antpitta,191.5761481,25,1,49
Semper's Warbler,0.379306321,25,1,49
Bali Myna,14.51967523,25,1,49
Stresemann's Bristlefront,8.398127055,25,1,49
Alagoas Antwren,58.9686339,25,1,49
Himalayan Quail,80.7194254,25,1,49
Tahiti Monarch,10.62603806,25,1,49
Fiji Petrel,56711.6936,25,1,49
Negros Fruit-Dove,44.75166398,25,1,49
Pink-headed Duck,0.378143692,25,1,49
Crested Shelduck,1.7815161,25,1,49
Cozumel Thrasher,9.608590128,25,1,49
White-chested White-eye,2.04817081,25,1,49
Sangihe White-eye,5.888646939,25,1,49
Black-winged Starling,14.94227487,35,20,49
Madagascar Pochard,230.7829609,35,20,49
Cerulean Paradise-Flycatcher,5.752273606,61,21,100
Cherry-throated Tanager,20.38350556,115,30,200
Black Stilt,1093.905402,44,38,50
Blue-banded Kingfisher,48403.72287,150,50,249
Marquesas Ground-Dove,3.790270372,150,50,249
Blue-throated Macaw,10730.6364,150,50,249
White-bellied Heron,24290.12964,150,50,249
Long-billed Tailorbird,153.2579551,150,50,249
Sao Tome Ibis,85.27622949,150,50,249
Sumatran Ground-Cuckoo,9722.855147,150,50,249
Black-hooded Coucal,269.9289138,150,50,249
Blue-fronted Lorikeet,3302.842923,150,50,249
Royal Cinclodes,2140.027273,150,50,249
Javan Green-Magpie,12915.98863,150,50,249
Purple-winged Ground-Dove,57193.76505,150,50,249
Dusky Starfrontlet,692.9108333,150,50,249
Blue-eyed Ground-Dove,456.5150932,150,50,249
Sangihe Whistler,2.044289001,150,50,249
Mariana Crow,35.65547572,150,50,249
Banggai Crow,53.27716985,150,50,249
Sao Tome Grosbeak,79.10429109,150,50,249
Zapata Rail,387.5656062,150,50,249
Malherbe's Parakeet,109.5149976,150,50,249
Tablas Drongo,261.7294159,150,50,249
Tooth-billed Pigeon,477.0399345,150,50,249
Sangihe Pitta,215.1295577,150,50,249
Mindoro Bleeding-heart,183.4862911,150,50,249
Rufous-fronted Laughingthrush,1842.34701,150,50,249
Whooping Crane,740.7381922,150,50,249
Chatham Oystercatcher,9.384645335,150,50,249
Indigo-winged Parrot,545.6735429,150,50,249
Liben Lark,46.72361939,150,50,249
Newton's Fiscal,58.21196965,150,50,249
Sapphire-bellied Hummingbird,932.0083811,150,50,249
Bugun Liocichla,1.062895307,150,50,249
Chestnut-capped Piha,16.16745491,150,50,249
Edwards's Pheasant,3184.149083,150,50,249
Brazilian Merganser,19795.61283,150,50,249
Wilkins's Finch,0.953224824,150,50,249
Isabela Oriole,417.7358393,150,50,249
Blue-bearded Helmetcrest,1093.548347,150,50,249
Sira Curassow,152.5144824,150,50,249
Night Parrot,17944.80824,150,50,249
Alagoas Foliage-gleaner,13.85416204,150,50,249
Alagoas Tyrannulet,7314.357373,150,50,249
Trinidad Piping-Guan,194.1207835,150,50,249
Junin Grebe,50.4784246,150,50,249
Blue-winged Racquet-tail,239.9799207,150,50,249
Beck's Petrel,46518.53353,150,50,249
Rapa Fruit-Dove,1.694880907,150,50,249
Rapa Shearwater,48495.0695,150,50,249
Jerdon's Courser,7454.340783,150,50,249
Narcondam Hornbill,2.513742317,150,50,249
White-winged Flufftail,166.4871325,150,50,249
Orange-bellied Antwren,51.1185393,150,50,249
Santa Marta Wren,513.7450038,150,50,249
Principe Thrush,18.13246845,150,50,249
Cebu Flowerpecker,45.2784524,65,60,70
Black-chinned Monarch,5.356187112,100,70,130
Guadalupe Junco,16.37867019,162,75,249
Bahama Oriole,2034.871072,137,93,180
Campbell Islands Teal,0.114698312,150,100,200
Okinawa Woodpecker,225.9635036,245,100,390
Flores Hawk-Eagle,13508.17164,170,100,240
Mascarene Petrel,28765.04938,150,100,200
Red-billed Curassow,443.9077817,150,130,170
Red-fronted Macaw,2867.196331,203,134,272
Black-breasted Puffleg,30.08867174,160,140,180
Seychelles Paradise-Flycatcher,5.410724465,165,140,190
Araripe Manakin,9.354755709,425,150,700
Yellow-billed Cotinga,846.1932235,425,150,700
Recurve-billed Bushbird,662.7209595,425,150,700
Blue-billed Curassow,1843.685747,425,150,700
Jocotoco Antpitta,46.50144832,425,150,700
Ochre-fronted Antpitta,470.1067177,425,150,700
Akikiki,33.0501874,380,150,610
Rufous-breasted Warbling-Finch,6811.99845,425,150,700
Shore Plover,1.503590684,188,156,220
Imperial Parrot,23.65951863,200,160,240
