Species,Trait,Min_N,Mean (Total across traits and species)
Eurillas virens,Beak.Depth,5,14
Eurillas virens,Beak.Length_Culmen,10,14
Eurillas virens,Beak.Length_Nares,10,14
Eurillas virens,Beak.Width,5,14
Eurillas virens,Kipps.Distance,5,14
Eurillas virens,Tail.Length,10,14
Eurillas virens,Tarsus.Length,5,14
Eurillas virens,Wing.Length,10,14
Hypsipetes guimarasensis,Beak.Depth,15,14
Hypsipetes guimarasensis,Beak.Length_Culmen,10,14
Hypsipetes guimarasensis,Beak.Length_Nares,10,14
Hypsipetes guimarasensis,Beak.Width,5,14
Hypsipetes guimarasensis,Kipps.Distance,10,14
Hypsipetes guimarasensis,Tail.Length,5,14
Hypsipetes guimarasensis,Tarsus.Length,5,14
Hypsipetes guimarasensis,Wing.Length,10,14
Hypsipetes philippinus,Beak.Depth,240,14
Hypsipetes philippinus,Beak.Length_Culmen,10,14
Hypsipetes philippinus,Beak.Length_Nares,35,14
Hypsipetes philippinus,Beak.Width,45,14
Hypsipetes philippinus,Kipps.Distance,5,14
Hypsipetes philippinus,Tail.Length,10,14
Hypsipetes philippinus,Tarsus.Length,15,14
Hypsipetes philippinus,Wing.Length,10,14
Ixos mcclellandii,Beak.Depth,25,14
Ixos mcclellandii,Beak.Length_Culmen,15,14
Ixos mcclellandii,Beak.Length_Nares,15,14
Ixos mcclellandii,Beak.Width,25,14
Ixos mcclellandii,Kipps.Distance,15,14
Ixos mcclellandii,Tail.Length,15,14
Ixos mcclellandii,Tarsus.Length,15,14
Ixos mcclellandii,Wing.Length,15,14
Microtarsus urostictus,Beak.Depth,10,14
Microtarsus urostictus,Beak.Length_Culmen,5,14
Microtarsus urostictus,Beak.Length_Nares,5,14
Microtarsus urostictus,Beak.Width,5,14
Microtarsus urostictus,Kipps.Distance,30,14
Microtarsus urostictus,Tail.Length,5,14
Microtarsus urostictus,Tarsus.Length,10,14
Microtarsus urostictus,Wing.Length,5,14
Pycnonotus cafer,Beak.Depth,5,14
Pycnonotus cafer,Beak.Length_Culmen,15,14
Pycnonotus cafer,Beak.Length_Nares,10,14
Pycnonotus cafer,Beak.Width,15,14
Pycnonotus cafer,Kipps.Distance,5,14
Pycnonotus cafer,Tail.Length,5,14
Pycnonotus cafer,Tarsus.Length,5,14
Pycnonotus cafer,Wing.Length,5,14
Pycnonotus goiavier,Beak.Depth,5,14
Pycnonotus goiavier,Beak.Length_Culmen,10,14
Pycnonotus goiavier,Beak.Length_Nares,20,14
Pycnonotus goiavier,Beak.Width,15,14
Pycnonotus goiavier,Kipps.Distance,15,14
Pycnonotus goiavier,Tail.Length,25,14
Pycnonotus goiavier,Tarsus.Length,15,14
Pycnonotus goiavier,Wing.Length,15,14
Pycnonotus jocosus,Beak.Depth,5,14
Pycnonotus jocosus,Beak.Length_Culmen,20,14
Pycnonotus jocosus,Beak.Length_Nares,10,14
Pycnonotus jocosus,Beak.Width,5,14
Pycnonotus jocosus,Kipps.Distance,10,14
Pycnonotus jocosus,Tail.Length,5,14
Pycnonotus jocosus,Tarsus.Length,10,14
Pycnonotus jocosus,Wing.Length,10,14
Pycnonotus xanthopygos,Beak.Depth,10,14
Pycnonotus xanthopygos,Beak.Length_Culmen,5,14
Pycnonotus xanthopygos,Beak.Length_Nares,5,14
Pycnonotus xanthopygos,Beak.Width,5,14
Pycnonotus xanthopygos,Kipps.Distance,10,14
Pycnonotus xanthopygos,Tail.Length,10,14
Pycnonotus xanthopygos,Tarsus.Length,15,14
Pycnonotus xanthopygos,Wing.Length,15,14
Spizixos canifrons,Beak.Depth,10,14
Spizixos canifrons,Beak.Length_Culmen,10,14
Spizixos canifrons,Beak.Length_Nares,5,14
Spizixos canifrons,Beak.Width,10,14
Spizixos canifrons,Kipps.Distance,10,14
Spizixos canifrons,Tail.Length,10,14
Spizixos canifrons,Tarsus.Length,5,14
Spizixos canifrons,Wing.Length,10,14
