AviList,n_specimens
Pycnonotus barbatus,1505
Pycnonotus conradi,727
Eurillas latirostris,629
Pycnonotus goiavier,458
Rubigula flaviventris,423
Hypsipetes philippinus,420
Pycnonotus jocosus,313
Pycnonotus cafer,285
Eurillas virens,243
Bleda notatus,240
Alophoixus pallidus,234
Ixos mcclellandii,219
Pycnonotus finlaysoni,207
Iole propinqua,202
Pycnonotus aurigaster,143
Microtarsus urostictus,129
Bleda syndactylus,123
Microtarsus melanocephalos,120
Phyllastrephus cabanisi,120
Spizixos canifrons,118
Hypsipetes guimarasensis,116
Phyllastrephus fulviventris,114
Rubigula dispar,112
Pycnonotus xanthopygos,108
Hypsipetes amaurotis,106
Acritillas indica,99
Hypsipetes ganeesa,98
Rubigula erythropthalmos,98
Hypsipetes everetti,90
Pycnonotus taivanus,86
Atimastillas flavigula,70
Iole palawanensis,70
Iole viridescens,69
Pycnonotus flavescens,68
Chlorocichla flaviventris,66
Stelgidillas gracilirostris,60
Hypsipetes leucocephalus,58
Tricholestes criniger,58
Alophoixus tephrogenys,57
Andropadus importunus,55
Hemixos flavala,54
Pycnonotus brunneus,54
Criniger calurus,53
Eurillas curvirostris,52
Phyllastrephus albigularis,52
Phyllastrephus icterinus,52
Pycnonotus nigricans,52
Pycnonotus sinensis,52
Eurillas gracilis,50
Pycnonotus luteolus,50
Hypsipetes siquijorensis,49
Alophoixus ruficrissus,48
Hypsipetes mindorensis,48
Hypsipetes chloris,46
Hypsipetes rufigularis,46
Pycnonotus bimaculatus,45
Pycnonotus leucotis,44
Arizelocichla milanjensis,41
Thescelocichla leucopleura,41
Hemixos cinereus,40
Pycnonotus leucogenys,39
Phyllastrephus flavostriatus,38
Pycnonotus plumosus,38
Alophoixus phaeocephalus,37
Microtarsus melanoleucos,37
Phyllastrephus terrestris,37
Spizixos semitorques,37
Chlorocichla falkensteini,35
Chlorocichla simplex,35
Arizelocichla masukuensis,34
Neolestes torquatus,33
Ixonotus guttatus,32
Hemixos castanonotus,31
Arizelocichla kikuyuensis,30
Setornis criniger,30
Alophoixus ochraceus,29
Arizelocichla striifacies,29
Bleda canicapillus,29
Pycnonotus zeylanicus,29
Bleda eximius,28
Iole finschii,27
Rubigula cyaniventris,27
Baeopogon indicator,25
Rubigula gularis,25
Alophoixus flaveolus,24
Criniger barbatus,24
Criniger chloronotus,24
Hypsipetes catarmanensis,24
Microtarsus priocephalus,24
Rubigula squamata,23
Arizelocichla tephrolaema,22
Criniger olivaceus,22
Iole charlottae,22
Ixos malaccensis,22
Microtarsus eutilotus,22
Phyllastrephus fischeri,22
Pycnonotus cinereifrons,22
Atimastillas flavicollis,21
Phyllastrephus albigula,21
Phyllastrephus hypochloris,21
Criniger ndussumensis,20
Alcurus striatus,19
Alophoixus frater,19
Eurillas ansorgei,19
Hypsipetes madagascariensis,19
Phyllastrephus strepitans,19
Pycnonotus leucops,19
Pycnonotus simplex,19
Calyptocichla serinus,18
Hypsipetes nicobariensis,18
Bleda ugandae,17
Chlorocichla laetissima,17
Phyllastrephus xavieri,17
Pycnonotus snouckaerti,17
Arizelocichla nigriceps,16
Hypsipetes mysticalis,16
Iole crypta,16
Ixos leucogrammicus,16
Phyllastrephus baumanni,16
Phyllastrephus poensis,16
Pycnonotus capensis,16
Rubigula melanictera,16
Rubigula montis,16
Arizelocichla montana,15
Hypsipetes longirostris,15
Phyllastrephus debilis,15
Phyllastrephus scandens,15
Pycnonotus blanfordi,15
Pycnonotus xantholaemus,15
Hypsipetes harterti,14
Hypsipetes crassirostris,13
Hypsipetes thompsoni,13
Pycnonotus penicillatus,13
Alophoixus bres,12
Arizelocichla chlorigula,12
Pycnonotus pseudosimplex,12
Hypsipetes affinis,11
Microtarsus fuscoflavescens,11
Phyllastrephus cerviniventris,11
Phyllastrephus poliocephalus,11
Phyllastrephus viridiceps,11
Pycnonotus tympanistrigus,11
Pycnonotus xanthorrhous,11
Arizelocichla fusciceps,10
Arizelocichla neumanni,10
Baeopogon clamans,10
Ixos sumatranus,10
Ixos virescens,10
Pycnonotus davisoni,10
Hypsipetes lucasi,9
Hypsipetes olivaceus,9
Hypsipetes parvirostris,9
Iole cacharensis,7
Hypsipetes borbonicus,6
Hypsipetes platenae,3
Microtarsus nieuwenhuisii,2
Chlorocichla prigoginei,1
Hypsipetes aureus,1
Nok hualon,1
Phyllastrephus lorenzi,1
